rocket_id,current_regime,target_regime,improvement_rank,limiting_factor,current_value,easy_median_value,required_change_pct,prob_lift_to_target_regime
R0079,FRAGILE,EASY,1,backlash,0.206567,0.046223,-77.62,0.6576
R0079,FRAGILE,EASY,2,Cm_alpha,-67.00802,-48.954533,26.94,0.0296
R0079,FRAGILE,EASY,3,deadband,0.018771,0.079617,324.16,0.0283
R0079,FRAGILE,EASY,4,best_u_max_frac,0.909122,0.744226,-18.14,0.0167
R0079,FRAGILE,EASY,5,mass,0.968268,1.544939,59.56,0.0154
R0081,INFEASIBLE,FRAGILE,1,backlash,0.191783,0.046223,-75.9,0.1048
R0081,INFEASIBLE,FRAGILE,2,Iyy,0.021278,0.027866,30.97,0.0334
R0081,INFEASIBLE,FRAGILE,3,thrust,41.044178,35.274838,-14.06,0.0124
R0081,INFEASIBLE,FRAGILE,4,servo_slew_deg_s,32.944345,74.855953,127.22,0.0088
R0081,INFEASIBLE,FRAGILE,5,Cm_alpha,-54.717943,-48.954533,10.53,0.0037
R0082,INFEASIBLE,FRAGILE,1,p_unstable,2.193334,1.152109,-47.47,0.1017
R0082,INFEASIBLE,FRAGILE,2,static_margin,0.195218,0.130246,-33.28,0.0783
R0082,INFEASIBLE,FRAGILE,3,servo_slew_deg_s,23.528476,74.855953,218.15,0.0534
R0082,INFEASIBLE,FRAGILE,4,backlash,0.138056,0.046223,-66.52,0.0371
R0082,INFEASIBLE,FRAGILE,5,best_u_max_frac,0.588902,0.744226,26.38,0.0303
R0083,INFEASIBLE,FRAGILE,1,mass,1.382614,1.544939,11.74,0.0143
R0083,INFEASIBLE,FRAGILE,2,Cm_alpha,-51.062669,-48.954533,4.13,0.0061
R0083,INFEASIBLE,FRAGILE,3,backlash,0.050677,0.046223,-8.79,0.0039
R0083,INFEASIBLE,FRAGILE,4,best_u_max_frac,0.593065,0.744226,25.49,0.0019
R0083,INFEASIBLE,FRAGILE,5,control_effectiveness,7.955601,8.881821,11.64,0.0019
R0084,INFEASIBLE,FRAGILE,1,backlash,0.175834,0.046223,-73.71,0.2514
R0084,INFEASIBLE,FRAGILE,2,Iyy,0.014755,0.027866,88.86,0.0573
R0084,INFEASIBLE,FRAGILE,3,thrust,47.619432,35.274838,-25.92,0.0314
