Iyy,keff,td,wind,latency,best_Kd,coarse_peak_sr,kp_floor,kp_ceil,window_ratio,opt_Kp,opt_rms,floor_cens,ceil_cens,infeasible
0.18,0.6544984694978736,5.235987755982989,0.4,3,0.0,1.0,0.05,600.0,12000.0,40.273232730696265,1.2185698562933733,True,True,False
0.003,39.269908169872416,314.1592653589793,0.1,6,0.13651967235989765,1.0,0.14261481179210397,31.908402222129887,223.73834681803038,12.13439940050158,0.7801316983628506,False,False,False
0.0037214155039839436,31.657234829998586,253.2578786399887,0.1,6,0.15205079362739032,1.0,0.17884367442104143,36.05553744455728,201.60364945127324,12.78668330059635,0.7634223328629862,False,False,False
0.004616311117764017,25.520317306230485,204.16253844984388,0.1,6,0.16934880843964367,1.0,0.1368032053286285,156.84916377803063,1146.5313506452408,14.436476491007557,0.668053281113372,False,False,False
0.005726403921620151,20.573072755979418,164.58458204783534,0.1,6,0.1886147269326776,1.0,0.05,156.84916377803063,3136.9832755606126,17.099655539520448,0.583365079336792,True,False,False
0.0071034427786638935,16.584876964656342,132.67901571725073,0.1,6,0.21007242710283222,1.0,0.05,52.87936703149762,1057.5873406299525,18.660238331363267,0.5278314234710199,True,False,False
0.008811620696060863,13.369813405867864,106.95850724694292,0.1,6,0.3275597589072499,1.0,0.05,600.0,12000.0,28.81927390685844,0.4695672157763336,True,True,False
0.010930567291182214,10.778006426496765,86.22405141197412,0.1,6,0.36482450068400746,1.0,0.05,600.0,12000.0,49.73771171023382,0.3733447536247052,True,True,False
0.013559060861581752,8.688634538356514,69.50907630685211,0.1,6,0.40632865509289384,1.0,0.05,600.0,12000.0,40.72446475299059,0.36924571767559483,True,True,False
0.016819633103250724,7.004298119133657,56.03438495306926,0.1,6,0.3232532269234918,1.0,0.05,600.0,12000.0,31.7237691529117,0.417093721923773,True,True,False
0.02086428113391959,5.646478963422852,45.171831707382815,0.1,6,0.36002803732753297,1.0,0.05,600.0,12000.0,35.89623743113376,0.4082385518357062,True,True,False
0.025881553097082673,4.551880023107908,36.415040184863265,0.1,6,0.40098652346197383,1.0,0.05,600.0,12000.0,41.92989471983174,0.4235786039281486,True,True,False
0.03210533765422235,3.669474707864455,29.35579766291564,0.1,6,0.4466046399931968,1.0,0.05,600.0,12000.0,27.99075724536778,0.44733077818512124,True,True,False
0.039825767102354144,2.9581281939112576,23.66502555129006,0.1,6,0.4974124884333365,1.0,0.05,600.0,12000.0,22.95568290531703,0.45677817625342865,True,True,False
0.04940274238425145,2.3846798542740917,19.077438834192733,0.1,6,0.39652272806083777,1.0,0.05,600.0,12000.0,11.041758296986664,0.42984887869252963,True,True,False
0.06128271048269263,1.922397419789206,15.379179358313648,0.1,6,0.31545215870849286,1.0,0.05,600.0,12000.0,11.136143580060121,0.4076839630436613,True,True,False
0.07601947630548388,1.5497308089337456,12.397846471469965,0.1,6,0.35133948283038335,1.0,0.05,600.0,12000.0,13.393005632621069,0.3844909661639364,True,True,False
0.09430001924265584,1.2493075341423365,9.994460273138692,0.1,6,0.0,1.0,0.05,600.0,12000.0,10.72432209957333,0.7520202357230144,True,True,False
0.11697651787853444,1.0071228537675228,8.056982830140182,0.1,6,0.0,1.0,0.05,600.0,12000.0,12.830053389536051,0.724977398792756,True,True,False
0.14510607574507764,0.811886917241049,6.495095337928392,0.1,6,0.0,1.0,0.05,600.0,12000.0,14.781622452595634,0.6909339564927542,True,True,False
0.18,0.6544984694978736,5.235987755982989,0.1,6,0.0,1.0,0.05,156.84916377803063,3136.9832755606126,16.896619371982357,0.6577162203398604,True,False,False
0.003,39.269908169872416,314.1592653589793,0.25,6,0.37384653695090403,1.0,0.7317777914891831,19.072078336268373,26.062663499880607,6.302796036068206,4.015567737107378,False,False,False
0.0037214155039839436,31.657234829998586,253.2578786399887,0.25,6,0.4163770807212555,1.0,0.7317777914891831,40.99605146385947,56.02254118758052,18.186168241135633,3.7230502660288596,False,False,False
0.004616311117764017,25.520317306230485,204.16253844984388,0.25,6,0.4637460995732665,1.0,0.7317777914891831,40.99605146385947,56.02254118758052,16.62149340086733,3.884374315322786,False,False,False
0.005726403921620151,20.573072755979418,164.58458204783534,0.25,6,0.2640606177057486,1.0,0.19126656003378711,10.711729106591742,56.00419176619019,10.494047550554905,1.4140157923224483,False,False,False
0.0071034427786638935,16.584876964656342,132.67901571725073,0.25,6,0.2941013979439651,1.0,0.19126656003378711,156.84916377803063,820.0553392622492,11.22063531916727,0.9759041403866798,False,False,False
0.008811620696060863,13.369813405867864,106.95850724694292,0.25,6,0.3275597589072499,1.0,0.19126656003378711,156.84916377803063,820.0553392622492,42.94338843126402,0.567919657011993,False,False,False
0.010930567291182214,10.778006426496765,86.22405141197412,0.25,6,0.36482450068400746,1.0,0.19126656003378711,106.42260245625322,556.4098734115034,48.29208967216939,0.5031924980133508,False,False,False
0.013559060861581752,8.688634538356514,69.50907630685211,0.25,6,0.40632865509289384,1.0,0.19126656003378711,156.84916377803063,820.0553392622492,41.05972538790863,0.5192886214998713,False,False,False
0.016819633103250724,7.004298119133657,56.03438495306926,0.25,6,0.6322851150553339,1.0,0.19126656003378711,600.0,3136.983275560612,79.88027488651171,0.7940757153800523,False,True,False
0.02086428113391959,5.646478963422852,45.171831707382815,0.25,6,0.7042168493453698,1.0,0.05,600.0,12000.0,33.57496509083991,0.6958756019919553,True,True,False
0.025881553097082673,4.551880023107908,36.415040184863265,0.25,6,0.78433187670173,1.0,0.05,600.0,12000.0,37.89111718358974,0.6414510249871347,True,True,False
0.03210533765422235,3.669474707864455,29.35579766291564,0.25,6,0.8735611671068609,1.0,0.05,600.0,12000.0,41.92989471983176,0.6560295401428192,True,True,False
0.039825767102354144,2.9581281939112576,23.66502555129006,0.25,6,0.9729416020755461,1.0,0.05,600.0,12000.0,47.243234883256314,0.7068262589629195,True,True,False
0.04940274238425145,2.3846798542740917,19.077438834192733,0.25,6,1.0836280236499263,1.0,0.05,600.0,12000.0,57.6992334002305,0.7941728384494775,True,True,False
0.06128271048269263,1.922397419789206,15.379179358313648,0.25,6,0.0,1.0,0.05,600.0,12000.0,16.61099521653458,1.9356492574008815,True,True,False
0.07601947630548388,1.5497308089337456,12.397846471469965,0.25,6,0.6872219882818636,1.0,0.05,600.0,12000.0,40.273232730696265,0.5538709404669966,True,True,False
