rocket_id,regime_label,theta_ddot_max,nom_sr,under_sr,over_sr,rise_time_best,tracking_rms_best,overshoot_best,rise_time_kp2,tracking_rms_kp2,overshoot_kp2,best_Kp,best_Kd,Iyy,motor_scale,max_gimbal_deg,wind_strength,servo_slew_deg_s,static_margin
R0039,EASY,123.11316277588676,1.0,1.0,1.0,0.17499999999999996,25.90781750681506,19.98715060372793,1.015,17.740687936568385,30.03734703590078,80.0,1.0,0.0143621897108525,2.4410432529254606,11.607660713589247,0.2157299403817236,111.33290665671625,0.0047681348853739
R0040,EASY,23.45210735958795,1.0,1.0,1.0,0.2083333333333334,27.235147061103294,53.867351485006964,1.1833333333333333,22.977827218811388,52.75772998879959,80.0,1.0,0.0299698552999725,2.980414521055223,3.7559610082591552,0.0563151196181475,146.1043924027455,0.20530157946236
R0041,EASY,46.03557965647531,1.0,1.0,1.0,0.18666666666666668,90.61386012299961,223.3923377005002,1.361666666666667,15.91350907762912,29.159705249677756,80.0,1.0,0.0196160842725461,1.528332425424889,9.44664626793511,0.3147475617763139,91.55547711692698,-0.0141934301706879
R0042,EASY,61.48177234723168,1.0,1.0,1.0,0.2516666666666667,43.49225909026319,17.9892219422552,1.165,14.821265651427709,27.556964319077462,40.0,1.0,0.0320371299088858,2.899752439204833,10.876031496456532,0.3767671766553753,128.2002544341048,0.0776496611106116
R0043,EASY,37.04585755583035,1.0,1.0,1.0,0.18666666666666668,81.26052998685948,210.9950372616049,1.2933333333333332,12.408800213620033,23.326597197782487,80.0,1.0,0.0313639180304728,1.67321079255454,11.12167347341214,0.1962375213450628,196.33623315631803,-0.1057968984204848
R0044,EASY,131.90214861269158,1.0,1.0,1.0,0.16499999999999995,32.60713959699947,17.928228388711275,1.3299999999999998,13.782863445861201,26.660600199340923,80.0,1.0,0.0123287389873734,2.795315711879031,9.299687533324338,0.2940911200139166,185.52549526339007,0.0231011967898966
R0045,EASY,34.49756562539445,1.0,1.0,1.0,0.19666666666666663,75.6959225673664,197.49006760067428,1.4283333333333335,15.356952910873437,29.279307895138015,80.0,1.0,0.0166676156900729,2.560080737138366,3.576930797188008,0.1033693626484373,161.60759924209515,0.2228366401977476
R0046,EASY,20.83095022597099,1.0,1.0,1.0,0.21166666666666667,81.8282630123636,30.69707883962972,1.1966666666666668,9.56360480247703,13.456641445842322,80.0,1.0,0.0139315467836426,2.0209348396153963,2.286080278548168,0.101340775095302,74.24572392621995,-0.1434986754372337
R0047,EASY,40.31918452525711,1.0,1.0,1.0,0.23500000000000001,56.879946667221446,29.074566899318466,0.8533333333333334,14.849980434468277,23.15771080131256,80.0,2.0,0.0226945878438391,2.5259988759444743,5.7750617101496085,0.3283248399195708,115.28564611432888,0.2404910393121453
R0048,EASY,74.1320847152679,1.0,1.0,1.0,0.17166666666666672,48.89755891716627,109.68247694918766,0.7233333333333333,9.097470476574253,15.35384251794182,80.0,1.0,0.0103201936952751,1.3746853421158505,8.893160031154208,0.4433331278229147,178.16034266299795,0.2492348678872933
R0049,EASY,45.23061844738739,1.0,1.0,1.0,0.25833333333333347,37.56878408388695,16.65687408735152,1.3,12.587288211244827,19.53854633323974,40.0,1.0,0.0174063812249186,2.0657904128060265,6.077003176778091,0.0606286245207561,174.55147966830077,-0.2578332735402526
R0050,EASY,49.89200663990833,1.0,1.0,1.0,0.18833333333333338,91.27937608727684,227.01109576043655,1.3516666666666666,15.18275435876752,28.97382125262997,80.0,1.0,0.0284172481339171,1.935573504861365,11.739960915428563,0.3536907514097016,106.84139008541348,0.1661895902728152
R0051,EASY,76.05316088671968,1.0,1.0,1.0,0.18000000000000002,52.704130590596456,118.32709457540977,1.39,14.826218636755309,25.68281434258596,80.0,1.0,0.0175010150789887,1.4985817332514175,14.283275338111762,0.0824309956510351,111.92756570482716,-0.2386136143575746
R0052,EASY,88.3593605232548,1.0,1.0,1.0,0.17333333333333334,27.35449643326758,46.198912213643275,1.33,12.274679801636864,20.957672386459148,80.0,1.0,0.0220740236450864,2.2758692835858523,13.771997839140043,0.4110676949086619,184.6743643062837,-0.1575074586925249
R0053,EASY,43.06271144374664,1.0,1.0,1.0,0.18166666666666664,66.3040444716467,163.6368928561778,1.3983333333333334,11.589029239716345,20.347017011717305,80.0,1.0,0.0149857035167318,1.1135502349209077,9.26366019273972,0.3208504496333743,179.1164328897239,0.1430767261432676
R0054,EASY,20.91817104264783,1.0,1.0,1.0,0.20833333333333334,75.1508876443713,29.60929037138443,1.0250000000000001,15.380777753228946,27.61657194051922,80.0,1.0,0.0276843291936679,2.911794145037917,3.16692908694202,0.3724142361580191,88.83266343797493,-0.0121526925333088
R0055,EASY,58.32341115516639,1.0,1.0,1.0,0.18333333333333335,59.12452787379264,141.2163993022624,1.2300000000000002,13.679616515467854,25.367568814113337,80.0,1.0,0.0179025496430461,1.295948274560755,12.9325526830097,0.1919667430011834,139.42695791099763,0.2816199424832384
