rocket_id,group_type,td,keff,Iyy,best_Kp_exp1,lat_natural,wind_natural,wind,latency,Kp,sr
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.22,1,27,1.0
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.22,1,40,1.0
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.22,1,60,1.0
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.22,1,90,1.0
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.22,1,130,1.0
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.22,1,190,1.0
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.22,1,270,1.0
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.22,1,320,1.0
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.22,3,1,0.2857142857142857
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.22,3,2,0.2857142857142857
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.22,3,3,0.7142857142857143
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.22,3,5,0.8571428571428571
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.22,3,8,1.0
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.22,3,12,1.0
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.22,3,18,1.0
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.22,3,27,1.0
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.22,3,40,1.0
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.22,3,60,1.0
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.22,3,90,1.0
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.22,3,130,1.0
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.22,3,190,1.0
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.22,3,270,0.8571428571428571
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.22,3,320,0.42857142857142855
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.22,6,1,0.2857142857142857
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.22,6,2,0.42857142857142855
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.22,6,3,0.2857142857142857
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.22,6,5,0.5714285714285714
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.22,6,8,0.5714285714285714
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.22,6,12,1.0
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.22,6,18,1.0
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.22,6,27,0.7142857142857143
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.22,6,40,0.8571428571428571
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.22,6,60,0.2857142857142857
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.22,6,90,0.5714285714285714
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.22,6,130,0.2857142857142857
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.22,6,190,0.14285714285714285
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.22,6,270,0.0
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.22,6,320,0.0
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.32,1,1,0.5714285714285714
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.32,1,2,1.0
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.32,1,3,1.0
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.32,1,5,1.0
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.32,1,8,1.0
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.32,1,12,1.0
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.32,1,18,1.0
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.32,1,27,1.0
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.32,1,40,1.0
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.32,1,60,1.0
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.32,1,90,1.0
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.32,1,130,1.0
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.32,1,190,1.0
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.32,1,270,1.0
