rocket_id,regime,theta_ddot,Iyy,keff_full,best_Kd,Kp,sr,rms_deg,slew_sat
R1155,EASY,50.97534389299394,0.0246329498777466,5.136226295067508,1.0,5,1.0,0.9179317837606796,0.1335714285714286
R1155,EASY,50.97534389299394,0.0246329498777466,5.136226295067508,1.0,6,1.0,0.8577220042125688,0.13142857142857142
R1155,EASY,50.97534389299394,0.0246329498777466,5.136226295067508,1.0,8,1.0,0.810296393459868,0.13214285714285715
R1155,EASY,50.97534389299394,0.0246329498777466,5.136226295067508,1.0,10,1.0,0.7623069678248819,0.13142857142857142
R1155,EASY,50.97534389299394,0.0246329498777466,5.136226295067508,1.0,13,1.0,0.6638882021358061,0.13095238095238096
R1155,EASY,50.97534389299394,0.0246329498777466,5.136226295067508,1.0,16,1.0,0.5864750667828876,0.13404761904761905
R1155,EASY,50.97534389299394,0.0246329498777466,5.136226295067508,1.0,20,1.0,0.5362455712285672,0.13214285714285715
R1155,EASY,50.97534389299394,0.0246329498777466,5.136226295067508,1.0,25,1.0,0.548446148862422,0.13285714285714284
R1155,EASY,50.97534389299394,0.0246329498777466,5.136226295067508,1.0,32,1.0,0.5513569659058181,0.1319047619047619
R1155,EASY,50.97534389299394,0.0246329498777466,5.136226295067508,1.0,40,1.0,0.532273879030148,0.12999999999999998
R1155,EASY,50.97534389299394,0.0246329498777466,5.136226295067508,1.0,51,1.0,0.4653088593765954,0.1311904761904762
R1155,EASY,50.97534389299394,0.0246329498777466,5.136226295067508,1.0,64,1.0,0.4602887883064607,0.1311904761904762
R1155,EASY,50.97534389299394,0.0246329498777466,5.136226295067508,1.0,80,1.0,0.4858741880914253,0.13166666666666665
R1155,EASY,50.97534389299394,0.0246329498777466,5.136226295067508,1.0,101,1.0,0.4445870179809849,0.13142857142857142
R1155,EASY,50.97534389299394,0.0246329498777466,5.136226295067508,1.0,127,1.0,0.47380235957483424,0.1326190476190476
R1155,EASY,50.97534389299394,0.0246329498777466,5.136226295067508,1.0,160,1.0,0.5936477705754858,0.13119047619047616
R1155,EASY,50.97534389299394,0.0246329498777466,5.136226295067508,1.0,202,1.0,0.5757161842974332,0.12976190476190477
R1155,EASY,50.97534389299394,0.0246329498777466,5.136226295067508,1.0,254,1.0,0.6785134471872359,0.1295238095238095
R1155,EASY,50.97534389299394,0.0246329498777466,5.136226295067508,1.0,320,1.0,0.8304135984583014,0.13142857142857142
R1120,EASY,62.139053645375895,0.0224960227707407,6.3758932841132925,1.0,1,0.8571428571428571,6.88961467011156,0.3869047619047619
R1120,EASY,62.139053645375895,0.0224960227707407,6.3758932841132925,1.0,2,1.0,5.008493003153285,0.3871428571428571
R1120,EASY,62.139053645375895,0.0224960227707407,6.3758932841132925,1.0,3,1.0,4.057466209207025,0.39071428571428574
R1120,EASY,62.139053645375895,0.0224960227707407,6.3758932841132925,1.0,4,1.0,3.7818894988616623,0.3921428571428572
R1120,EASY,62.139053645375895,0.0224960227707407,6.3758932841132925,1.0,5,1.0,3.5827682815083066,0.39238095238095244
R1120,EASY,62.139053645375895,0.0224960227707407,6.3758932841132925,1.0,6,1.0,3.4615900181581987,0.395
R1120,EASY,62.139053645375895,0.0224960227707407,6.3758932841132925,1.0,8,1.0,2.7199339967939724,0.3902380952380953
R1120,EASY,62.139053645375895,0.0224960227707407,6.3758932841132925,1.0,10,1.0,2.338349846831174,0.3902380952380952
R1120,EASY,62.139053645375895,0.0224960227707407,6.3758932841132925,1.0,13,1.0,1.993912210150773,0.390952380952381
R1120,EASY,62.139053645375895,0.0224960227707407,6.3758932841132925,1.0,16,1.0,1.7805519352374257,0.3866666666666667
R1120,EASY,62.139053645375895,0.0224960227707407,6.3758932841132925,1.0,20,1.0,1.5165235396431933,0.37976190476190474
R1120,EASY,62.139053645375895,0.0224960227707407,6.3758932841132925,1.0,25,1.0,1.3801784734224367,0.3880952380952381
R1120,EASY,62.139053645375895,0.0224960227707407,6.3758932841132925,1.0,32,1.0,1.4705602979395773,0.3809523809523809
R1120,EASY,62.139053645375895,0.0224960227707407,6.3758932841132925,1.0,40,1.0,1.3635066295714078,0.37761904761904763
R1120,EASY,62.139053645375895,0.0224960227707407,6.3758932841132925,1.0,51,1.0,1.2499812320055281,0.37523809523809526
R1120,EASY,62.139053645375895,0.0224960227707407,6.3758932841132925,1.0,64,1.0,1.1388829037618413,0.3795238095238095
R1120,EASY,62.139053645375895,0.0224960227707407,6.3758932841132925,1.0,80,1.0,1.0014330396150684,0.3752380952380952
R1120,EASY,62.139053645375895,0.0224960227707407,6.3758932841132925,1.0,101,1.0,1.1376076288077526,0.3721428571428572
R1120,EASY,62.139053645375895,0.0224960227707407,6.3758932841132925,1.0,127,1.0,1.4567508388511499,0.3595238095238095
R1120,EASY,62.139053645375895,0.0224960227707407,6.3758932841132925,1.0,160,1.0,1.5291381994866777,0.3583333333333333
R1120,EASY,62.139053645375895,0.0224960227707407,6.3758932841132925,1.0,202,0.8571428571428571,2.103104160694802,0.3604761904761905
R1120,EASY,62.139053645375895,0.0224960227707407,6.3758932841132925,1.0,254,0.42857142857142855,5.095394796716572,0.36476190476190473
R1120,EASY,62.139053645375895,0.0224960227707407,6.3758932841132925,1.0,320,0.42857142857142855,11.007101310196166,0.3654761904761905
R0203,EASY,72.94804618674901,0.0246244630296578,9.176279212121234,1.0,1,0.42857142857142855,8.907127088684437,0.61
R0203,EASY,72.94804618674901,0.0246244630296578,9.176279212121234,1.0,2,0.7142857142857143,7.097030207576566,0.6073809523809525
R0203,EASY,72.94804618674901,0.0246244630296578,9.176279212121234,1.0,3,0.8571428571428571,7.318225564606635,0.6080952380952381
R0203,EASY,72.94804618674901,0.0246244630296578,9.176279212121234,1.0,4,0.8571428571428571,6.516991160880122,0.6085714285714285
R0203,EASY,72.94804618674901,0.0246244630296578,9.176279212121234,1.0,5,0.8571428571428571,5.281206666691957,0.6088095238095238
R0203,EASY,72.94804618674901,0.0246244630296578,9.176279212121234,1.0,6,0.8571428571428571,4.980240605701206,0.605952380952381
R0203,EASY,72.94804618674901,0.0246244630296578,9.176279212121234,1.0,8,1.0,4.430046129078069,0.6121428571428572
R0203,EASY,72.94804618674901,0.0246244630296578,9.176279212121234,1.0,10,1.0,4.110907112942558,0.6119047619047621
R0203,EASY,72.94804618674901,0.0246244630296578,9.176279212121234,1.0,13,1.0,3.7743147638885537,0.6097619047619048
R0203,EASY,72.94804618674901,0.0246244630296578,9.176279212121234,1.0,16,1.0,3.052334242810511,0.6111904761904762
R0203,EASY,72.94804618674901,0.0246244630296578,9.176279212121234,1.0,20,1.0,2.4438036233455946,0.6090476190476191
R0203,EASY,72.94804618674901,0.0246244630296578,9.176279212121234,1.0,25,1.0,2.374025063608197,0.6095238095238095
R0203,EASY,72.94804618674901,0.0246244630296578,9.176279212121234,1.0,32,1.0,2.404783475346022,0.604047619047619
R0203,EASY,72.94804618674901,0.0246244630296578,9.176279212121234,1.0,40,1.0,2.112986759506872,0.6021428571428571
R0203,EASY,72.94804618674901,0.0246244630296578,9.176279212121234,1.0,51,1.0,2.252119133093174,0.602857142857143
R0203,EASY,72.94804618674901,0.0246244630296578,9.176279212121234,1.0,64,1.0,2.1937099558685778,0.6059523809523809
R0203,EASY,72.94804618674901,0.0246244630296578,9.176279212121234,1.0,80,1.0,1.7948906994128004,0.5983333333333334
R0203,EASY,72.94804618674901,0.0246244630296578,9.176279212121234,1.0,101,0.8571428571428571,2.692335709935663,0.5923809523809523
R0203,EASY,72.94804618674901,0.0246244630296578,9.176279212121234,1.0,127,0.7142857142857143,3.058504458583561,0.5821428571428572
R0203,EASY,72.94804618674901,0.0246244630296578,9.176279212121234,1.0,160,0.7142857142857143,4.231515240434014,0.5580952380952381
R0203,EASY,72.94804618674901,0.0246244630296578,9.176279212121234,1.0,202,0.42857142857142855,7.495639257948029,0.5238095238095238
R0203,EASY,72.94804618674901,0.0246244630296578,9.176279212121234,1.0,254,0.0,13.06927564294077,0.5004761904761904
R0203,EASY,72.94804618674901,0.0246244630296578,9.176279212121234,1.0,320,0.0,45.77284575103901,0.4414285714285714
R0961,EASY,99.52336968606491,0.019788809945065,9.81939103459751,1.0,1,0.5714285714285714,10.876653033762432,0.6295238095238095
R0961,EASY,99.52336968606491,0.019788809945065,9.81939103459751,1.0,2,0.7142857142857143,10.209402403451667,0.6311904761904762
R0961,EASY,99.52336968606491,0.019788809945065,9.81939103459751,1.0,3,0.7142857142857143,7.959657883643186,0.6278571428571429
R0961,EASY,99.52336968606491,0.019788809945065,9.81939103459751,1.0,4,0.5714285714285714,7.595954081133416,0.6238095238095237
R0961,EASY,99.52336968606491,0.019788809945065,9.81939103459751,1.0,5,0.8571428571428571,6.129558022199154,0.6297619047619047
R0961,EASY,99.52336968606491,0.019788809945065,9.81939103459751,1.0,6,0.7142857142857143,6.010682236879739,0.6252380952380953
R0961,EASY,99.52336968606491,0.019788809945065,9.81939103459751,1.0,8,1.0,4.457058882748454,0.629047619047619
R0961,EASY,99.52336968606491,0.019788809945065,9.81939103459751,1.0,10,1.0,4.6154206224639625,0.6252380952380953
R0961,EASY,99.52336968606491,0.019788809945065,9.81939103459751,1.0,13,1.0,3.4301481534581293,0.6242857142857142
R0961,EASY,99.52336968606491,0.019788809945065,9.81939103459751,1.0,16,1.0,3.0810216634165926,0.6257142857142858
R0961,EASY,99.52336968606491,0.019788809945065,9.81939103459751,1.0,20,1.0,2.4673102550185333,0.6285714285714287
R0961,EASY,99.52336968606491,0.019788809945065,9.81939103459751,1.0,25,1.0,2.2384969605264198,0.6257142857142857
R0961,EASY,99.52336968606491,0.019788809945065,9.81939103459751,1.0,32,1.0,2.8479597597732824,0.6223809523809524
R0961,EASY,99.52336968606491,0.019788809945065,9.81939103459751,1.0,40,1.0,2.5805956653118334,0.6245238095238095
R0961,EASY,99.52336968606491,0.019788809945065,9.81939103459751,1.0,51,1.0,2.6721878335230693,0.6211904761904761
R0961,EASY,99.52336968606491,0.019788809945065,9.81939103459751,1.0,64,1.0,2.3434512948955564,0.623095238095238
