rocket_id,pi_bin,keff,lat,Pi,Kp,Kd,Kd_Kp_ratio,sr
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,12.020785383475069,3.846651322712022,0.32,0.7333333333333333
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,12.020785383475069,12.020785383475069,1.0,0.4
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,12.020785383475069,32.0,2.662055679322774,0.13333333333333333
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,17.15206188515574,0.57,0.0332321562163501,1.0
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,17.15206188515574,1.715206188515574,0.1,1.0
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,17.15206188515574,5.488659803249837,0.32,0.6
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,17.15206188515574,17.15206188515574,1.0,0.26666666666666666
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,17.15206188515574,32.0,1.865664910391585,0.2
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,24.47371095374841,0.57,0.023290297130550135,1.0
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,24.47371095374841,2.447371095374841,0.1,0.9333333333333333
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,24.47371095374841,7.831587505199491,0.32,0.5333333333333333
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,24.47371095374841,24.47371095374841,1.0,0.3333333333333333
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,24.47371095374841,32.0,1.3075254529431655,0.26666666666666666
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,34.92073033889863,0.57,0.016322682672105227,1.0
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,34.92073033889863,3.492073033889863,0.1,0.9333333333333333
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,34.92073033889863,11.174633708447562,0.32,0.7333333333333333
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,34.92073033889863,32.0,0.9163611324690655,0.26666666666666666
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,49.82723746744672,0.57,0.011439526431149108,1.0
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,49.82723746744672,4.982723746744672,0.1,0.9333333333333333
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,49.82723746744672,15.944715989582951,0.32,0.5333333333333333
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,49.82723746744672,32.0,0.6422190277136343,0.3333333333333333
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,71.09684045959827,0.57,0.008017233906813484,1.0
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,71.09684045959827,7.109684045959828,0.1,0.8666666666666667
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,71.09684045959827,22.750988947071445,0.32,0.7333333333333333
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,71.09684045959827,32.0,0.4500903245930377,0.5333333333333333
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,101.44573490834127,0.57,0.005618767516594059,1.0
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,101.44573490834127,10.144573490834127,0.1,0.6666666666666666
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,101.44573490834127,32.0,0.31543957987896476,0.5333333333333333
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,144.74957064993038,0.57,0.003937835514403815,1.0
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,144.74957064993038,14.474957064993038,0.1,0.8666666666666667
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,144.74957064993038,32.0,0.2210714674753019,0.8
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,206.53838450941518,0.57,0.0027597775655789354,1.0
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,206.53838450941518,20.65383845094152,0.10000000000000002,0.8
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,206.53838450941518,32.0,0.1549348808746069,0.6
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,294.70280349864026,0.57,0.0019341519430188586,1.0
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,294.70280349864026,29.470280349864026,0.1,0.8666666666666667
