rocket_id,design_id,p_unstable,mass,Iyy,static_margin,Cm_alpha,control_effectiveness,motor_scale,servo_slew_deg_s,max_gimbal_deg,latency_steps,deadband,backlash,wind_strength,best_Kp,best_Kd,nominal_success_rate,under_success_rate,over_success_rate,robustness,n_success_gain_sets,nominal_diverge_rate,nominal_band_30_rate,nominal_band_20_rate,nominal_band_10_rate,under_diverge_rate,over_diverge_rate,rms_error_deg,peak_error_deg,end_error_deg,max_theta_deg,u_cmd_sat_frac,slew_sat_frac,settling_time_s,oscillation_score,under_u_sat_frac,over_u_sat_frac,regime_label,regime_code,td,new_label,corrected_label
R0716,716,0.0,1.1109635951856474,0.0458654482620399,-0.1929834407772634,-41.10542761047291,5.897355726896723,2.7220066521630035,91.29562928503056,7.223442008355343,6,0.0669540687966391,0.0377735035688692,0.1494197660477031,50.74,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.8940258584465267,3.559849262433785,1.7732470652461976,3.559849262433785,0.0,0.1405555555555555,1.0,6.333333333333333,0.0,0.0,EASY,2,26.93565858732095,,EASY
R0717,717,0.1312927191978744,0.7345904170851437,0.0592222277113114,0.0146736855966774,-47.36376958772174,9.027234968124096,2.5187700307966185,186.0055553762597,11.752820730377229,1,0.1218119434620322,0.0895084759595969,0.1082555325864173,69.63,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.4231860352728434,2.1682207898915573,1.0176553298815396,2.1682207898915573,0.0,0.0183333333333333,1.0,7.333333333333333,0.0,0.0,EASY,2,31.406949597351467,,EASY
R0718,718,0.0,1.0978964942214144,0.0278174723698605,-0.2135086190980307,-61.48070340623331,5.109151387749062,1.9553669916376752,143.32761232118395,3.243874427423834,5,0.0383075657993144,0.0841512955202872,0.0644582377633389,12.98,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,1.2450644428147009,3.4239415540156064,1.0027846221025702,3.4239415540156064,0.0,0.0,1.94,4.666666666666667,0.0,0.0,EASY,2,14.326975448710465,,EASY
R0719,719,6.181955700627834,0.520660259160294,0.043930807046554,0.2911906572822866,-81.80268985172269,8.182487814820686,1.3345570077828877,126.44159552098816,4.254366633733769,5,0.0900820239487003,0.1748069609952742,0.3123702178149158,88.81,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.6487452339295863,2.2388960539983294,0.7026318167810873,2.2388960539983294,0.0,0.0,0.9,7.0,0.0,0.0,EASY,2,8.1204992519047,,EASY
R0720,720,0.0,1.0678212377914773,0.0952071033367865,-0.1721881852734059,-53.3799900941173,8.438913260359234,1.9429508611248492,125.48307605017004,4.073526593047857,5,0.0163732332218071,0.172901139634085,0.0978268186722462,11.97,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.945155455672944,2.6959823769413607,1.3606719507754217,2.6959823769413607,0.0,0.0,1.0,3.0,0.0,0.0,EASY,2,5.223274971925876,,EASY
R0721,721,0.97769136731914,1.0149328843486458,0.0230120225180613,0.13266039140695,-27.90039234475732,12.525251575982352,1.2882450239394705,173.61470486387623,3.1731780130559124,6,0.0013203568511527,0.1249332823931338,0.2550852698551819,81.89,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.622383700550948,2.437755644491733,0.9697229375538208,2.437755644491733,0.0,0.0,0.9783333333333334,6.0,0.0,0.0,EASY,2,11.161382407331379,,EASY
R0722,722,0.0,0.8581620149904363,0.0313548490048851,-0.0636102561939379,-79.70594567129197,7.879734991075749,1.7175180048089065,143.8125109879016,4.137055391085708,1,0.1439229971988221,0.0374493242134957,0.07036314346632,69.63,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.564473698203452,1.405900507073662,0.7840880566895673,1.405900507073662,0.0,0.0,0.0,5.333333333333333,0.0,0.0,EASY,2,14.238616364847083,,EASY
R0723,723,0.9309538074413322,0.995414258101586,0.0270826301222612,0.0994388794907125,-40.73483933145869,11.438733349637626,1.7017159097807608,156.7423831026781,14.240183019357824,3,0.1018739926691803,0.0520078780521278,0.3316096540052511,19.32,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.556229067483263,1.9151932623072327,0.936879781462418,1.9151932623072327,0.0,0.045,0.0,5.0,0.0,0.0,EASY,2,56.220106003914374,,EASY
R0724,724,1.330690957428016,0.7213910808976045,0.0554034527375922,0.1501282229337894,-45.27882096093218,13.081905059239846,2.3456292054649763,151.18342594736083,9.8275811432296,2,0.0534377240604716,0.0116193427411586,0.4152095415466381,69.63,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.5083996115100092,2.411149427419375,1.0217874473169344,2.411149427419375,0.0,0.1949999999999999,1.0,6.666666666666667,0.0,0.0,EASY,2,26.142615554105404,,EASY
R0725,725,0.0,0.9021029206372828,0.009759420657294,-0.1264701163190246,-47.32542159693559,13.79183145770908,1.5582921187345309,87.8443530337036,6.363348129744955,6,0.0517847652432749,0.0984134149003837,0.315642595589974,69.63,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,2,0.0,1.0,1.0,0.6666666666666666,0.0,0.0,2.8248251980852053,12.190457525203556,4.389155990800284,12.190457525203556,0.0,0.5977777777777779,3.0,11.666666666666666,0.0,0.0127565169162506,FRAGILE,1,63.83963398477202,EASY,EASY
