rocket_id,keff,Pi,latency_steps,Kp_ceiling,kp_simple,kp_full,overtuned,false_rejection_v2,sr_simple_in_full,sr_full_in_full,wind_strength,label
R1314,2.0243228228820507,50.60807057205127,5,76.0,50.74,81.89,0,0,1.0,1.0,0.2248346765832682,EASY
R1315,4.679628856916648,42.116659712249835,3,126.66666666666667,320.0,22.73,1,0,1.0,1.0,0.2720622313595091,EASY
R1316,1.515197646219324,6.060790584877296,2,190.0,11.97,88.81,0,0,1.0,1.0,0.0510694802490451,EASY
R1317,10.460865787943098,261.52164469857746,5,76.0,43.14,24.65,0,0,1.0,1.0,0.2252448770296379,EASY
R1318,1.377262281414079,5.509049125656316,2,190.0,1.0,96.31,0,0,1.0,1.0,0.1729029611308351,EASY
R1319,12.446461728037733,199.14338764860372,4,95.0,24.65,81.89,0,0,0.6666666666666666,1.0,0.3728764471817031,FRAGILE
R1320,3.7996271018277916,136.7865756658005,6,63.333333333333336,88.81,31.43,1,0,0.6666666666666666,1.0,0.1121654695660764,EASY
R1321,4.368039887318745,109.20099718296864,5,76.0,46.78,81.89,0,0,1.0,1.0,0.1791898939175182,EASY
R1322,2.032820545753922,50.82051364384805,5,76.0,1.0,59.21,0,0,1.0,1.0,0.4189324988747227,EASY
R1323,1.7047624837658097,61.37144941556915,6,63.333333333333336,2.83,43.14,0,0,0.6666666666666666,1.0,0.3446355841229982,EASY
R1324,3.1482201869224204,78.70550467306052,5,76.0,88.81,88.81,1,0,1.0,1.0,0.3630600720748657,EASY
R1325,2.244967401951112,8.979869607804448,2,190.0,88.81,88.81,0,0,1.0,1.0,0.22685172681419,EASY
R1326,5.9092497925009875,5.9092497925009875,1,380.0,168.58,272.09,0,0,1.0,1.0,0.3647368171239689,EASY
R1327,1.5387812843077668,13.849031558769902,3,126.66666666666667,2.83,6.84,0,0,0.6666666666666666,1.0,0.1001941771212128,EASY
R1328,6.211210655930433,99.37937049488693,4,95.0,3.6,155.45,0,0,0.6666666666666666,1.0,0.055017818175825,EASY
R1329,2.0239671062812414,18.215703956531172,3,126.66666666666667,4.6,81.89,0,0,1.0,1.0,0.3956351535170306,EASY
R1330,2.494237543430082,39.90780069488131,4,95.0,22.73,31.43,0,0,1.0,1.0,0.3430170078209935,EASY
R1331,1.1249430310457071,17.999088496731314,4,95.0,6.84,43.14,0,0,1.0,1.0,0.3556954601242338,EASY
R1332,9.327138477109282,83.94424629398354,3,126.66666666666667,12.98,70.18,0,0,1.0,1.0,0.4159872060730798,EASY
R1333,4.152774777756442,16.61109911102577,2,190.0,50.74,26.73,0,0,1.0,1.0,0.4160672165892904,EASY
R1334,1.9136677079190556,68.89203748508601,6,63.333333333333336,272.09,88.81,1,0,1.0,1.0,0.4005152390501486,EASY
R1335,1.1753182840885494,18.80509254541679,4,95.0,155.45,10.18,1,0,1.0,1.0,0.1078736860791771,EASY
R1336,3.2946670545934325,52.71467287349492,4,95.0,96.31,59.67,1,0,0.6666666666666666,1.0,0.0799134925407984,EASY
R1337,1.2505279649613217,20.008447439381147,4,95.0,168.58,43.14,1,0,1.0,1.0,0.2348420188197232,EASY
R1338,1.7100023986087454,15.390021587478708,3,126.66666666666667,3.6,81.89,0,0,1.0,1.0,0.3884976721266671,EASY
R1339,1.7551476806540514,15.796329125886462,3,126.66666666666667,1.0,96.31,0,0,0.6666666666666666,1.0,0.1413757528345809,EASY
R1340,10.853636605217115,173.65818568347385,4,95.0,36.97,81.89,0,1,0.3333333333333333,1.0,0.3405886603761258,EASY
R1341,5.286923392506865,190.32924213024714,6,63.333333333333336,31.19,88.81,0,0,1.0,1.0,0.0800076319951649,EASY
R1342,1.3286435344136882,5.314574137654753,2,190.0,81.89,96.31,0,0,1.0,1.0,0.2395428769224768,EASY
R1343,1.5869884180091023,25.391814688145637,4,95.0,6.31,88.81,0,0,1.0,1.0,0.3906579910242893,EASY
R1344,0.658960255822376,5.930642302401385,3,126.66666666666667,59.67,88.81,0,0,1.0,1.0,0.194015367414632,EASY
R1345,6.923280258515261,62.30952232663735,3,126.66666666666667,50.74,155.45,0,0,0.6666666666666666,1.0,0.3756103566754861,EASY
R1346,0.9599683732919507,23.99920933229877,5,76.0,213.33,46.78,1,0,1.0,1.0,0.241309511893093,EASY
R1347,14.782838922185704,14.782838922185704,1,380.0,24.65,320.0,0,0,0.6666666666666666,1.0,0.1658526261266447,EASY
R1348,4.857065572607871,77.71304916172593,4,95.0,295.07,59.67,1,0,0.6666666666666666,1.0,0.322175538933254,EASY
R1349,2.940739256910356,11.762957027641423,2,190.0,59.21,81.89,0,0,1.0,1.0,0.4041572285347439,EASY
R1350,30.88887147001623,123.55548588006492,2,190.0,50.74,132.17,0,0,1.0,1.0,0.319574804429337,EASY
R1351,8.066920356108167,201.67300890270417,5,76.0,70.18,88.81,0,1,0.3333333333333333,1.0,0.2803351880676085,EASY
R1352,5.382885962589721,21.531543850358883,2,190.0,3.32,24.65,0,1,0.3333333333333333,1.0,0.2800714765207607,EASY
R1353,2.9219212648541832,2.9219212648541832,1,380.0,81.89,69.63,0,0,1.0,1.0,0.4374672041217238,EASY
R1354,1.506830489677228,6.027321958708912,2,190.0,320.0,81.89,1,0,0.6666666666666666,1.0,0.4422541847578312,EASY
R1355,1.7389636251612148,6.955854500644859,2,190.0,22.73,96.31,0,0,1.0,1.0,0.3815568039627435,EASY
R1356,2.959914465202764,73.9978616300691,5,76.0,295.07,70.18,1,0,1.0,1.0,0.0941702744569613,EASY
R1357,0.9291958684520216,8.362762816068194,3,126.66666666666667,168.58,8.66,1,0,1.0,1.0,0.1878315400368397,EASY
R1358,3.2392360614741373,12.95694424589655,2,190.0,2.4,59.67,0,1,0.3333333333333333,1.0,0.221811205686438,EASY
R1359,1.2000979485078354,10.800881536570518,3,126.66666666666667,4.6,8.72,0,0,1.0,1.0,0.0940221053317116,EASY
R1360,2.541186397637092,2.541186397637092,1,380.0,70.18,69.63,0,0,0.6666666666666666,1.0,0.2636434288160729,EASY
R1361,0.9081151850336031,14.52984296053765,4,95.0,2.83,50.74,0,0,1.0,1.0,0.3702860601161791,EASY
R1362,1.118692827309338,17.899085236949407,4,95.0,3.6,46.78,0,0,1.0,1.0,0.1360376843933931,EASY
R1363,10.13950925227482,91.25558327047338,3,126.66666666666667,320.0,168.58,1,0,1.0,1.0,0.1448927896843306,EASY
R1364,13.160024873798836,118.44022386418952,3,126.66666666666667,24.65,215.01,0,1,0.3333333333333333,1.0,0.2218359895314091,EASY
R1365,1.6314221745640343,58.731198284305236,6,63.333333333333336,6.31,43.14,0,0,1.0,1.0,0.3420222689428055,EASY
R1366,2.586592167556399,23.279329508007592,3,126.66666666666667,59.21,81.89,0,0,1.0,1.0,0.343501058783098,EASY
R1367,0.9737115359354034,24.342788398385085,5,76.0,1.0,43.14,0,0,1.0,1.0,0.2685065897084421,EASY
R1368,3.278986541488623,13.115946165954492,2,190.0,31.43,69.63,0,0,1.0,1.0,0.2402190226812373,EASY
R1369,3.1000617091091267,12.400246836436507,2,190.0,168.58,69.63,0,0,1.0,1.0,0.2847013636282421,EASY
R1370,2.5732382225733663,2.5732382225733663,1,380.0,59.21,81.89,0,0,1.0,1.0,0.3086068352340663,EASY
R1371,2.0517534771908292,18.465781294717463,3,126.66666666666667,59.21,81.89,0,0,1.0,1.0,0.1904936902533549,EASY
R1372,3.242602104606086,29.183418941454775,3,126.66666666666667,295.07,26.73,1,0,1.0,1.0,0.0816776863217573,EASY
R1373,8.007602442281001,288.27368792211604,6,63.333333333333336,46.78,31.43,0,0,1.0,1.0,0.1349097756736755,EASY
R1374,5.859996547043118,210.95987569355225,6,63.333333333333336,1.0,69.63,0,0,1.0,1.0,0.0679638601260896,EASY
R1375,2.660623670747934,66.51559176869834,5,76.0,320.0,88.81,1,1,0.3333333333333333,1.0,0.3955097429806222,EASY
R1376,1.8405898460636136,16.565308614572523,3,126.66666666666667,2.42,36.97,0,0,1.0,1.0,0.3802787151077824,EASY
R1377,2.6494594380713172,95.38053977056742,6,63.333333333333336,2.42,88.81,0,0,1.0,1.0,0.3939611236083281,EASY
R1378,2.7362681522478,68.406703806195,5,76.0,31.43,11.97,0,0,1.0,1.0,0.2659764737072939,EASY
R1379,2.706477324033409,24.35829591630068,3,126.66666666666667,88.81,81.89,0,0,1.0,1.0,0.4438309772071357,EASY
R1380,7.548591117290009,30.194364469160035,2,190.0,320.0,24.65,1,0,1.0,1.0,0.1994005061417179,EASY
R1381,3.219141151132257,80.47852877830643,5,76.0,295.07,88.81,1,0,1.0,1.0,0.3875451963149898,EASY
R1382,3.1942361411338447,28.748125270204604,3,126.66666666666667,295.07,3.6,1,0,1.0,1.0,0.2140924610577372,EASY
R1383,6.216564420983854,24.866257683935416,2,190.0,295.07,50.74,1,0,1.0,1.0,0.1517911240108468,EASY
R1384,2.429075233094146,9.716300932376583,2,190.0,168.58,69.63,0,0,1.0,1.0,0.2981542485239178,EASY
R1385,0.6230000362868776,0.6230000362868776,1,380.0,6.31,59.67,0,0,1.0,1.0,0.3645375783911704,EASY
R1386,2.0506381218215295,18.455743096393764,3,126.66666666666667,320.0,31.43,1,0,1.0,1.0,0.2777403529946662,EASY
R1387,1.6686577529464122,26.698524047142595,4,95.0,26.73,88.81,0,0,1.0,1.0,0.1970261800698666,EASY
R1388,1.1920722681191316,29.80180670297829,5,76.0,168.58,10.18,1,0,0.6666666666666666,1.0,0.0572536719648232,EASY
R1389,5.201819922946622,130.04549807366556,5,76.0,168.58,70.18,1,0,1.0,1.0,0.4270813665882306,EASY
R1390,3.9244354744409784,62.790967591055654,4,95.0,69.63,81.89,0,0,1.0,1.0,0.4499302979306289,EASY
R1391,4.363029714633597,69.80847543413755,4,95.0,133.21,69.63,1,0,1.0,1.0,0.086642620698503,EASY
R1392,1.5336871389940319,55.21273700378515,6,63.333333333333336,113.27,36.68,1,0,1.0,1.0,0.1985752449955989,EASY
R1393,2.001689455496458,72.06082039787249,6,63.333333333333336,2.4,70.18,0,0,1.0,1.0,0.3798087096967794,EASY
R1394,15.905754427929063,63.62301771171625,2,190.0,320.0,250.9,1,0,1.0,1.0,0.11178277466308,EASY
R1395,1.0126229118947463,16.20196659031594,4,95.0,43.14,43.14,0,0,1.0,1.0,0.4066448517928857,EASY
R1396,1.5392914739890915,38.48228684972729,5,76.0,43.14,36.68,0,0,1.0,1.0,0.3183132840427763,EASY
R1397,2.647661687998859,95.31582076795893,6,63.333333333333336,36.68,96.31,0,0,1.0,1.0,0.1326811342184115,EASY
R1398,30.05716317716142,120.22865270864568,2,190.0,320.0,215.01,1,0,1.0,1.0,0.0740203911042771,EASY
R1399,6.363741578781942,159.09353946954855,5,76.0,6.84,88.81,0,0,1.0,1.0,0.3440543050180301,EASY
R1400,1.901689736121486,47.54224340303715,5,76.0,26.73,46.78,0,0,1.0,1.0,0.4013283472144845,EASY
R1401,1.7496458406582716,1.7496458406582716,1,380.0,22.73,88.81,0,0,1.0,1.0,0.3542083940975706,EASY
R1402,1.220865122181485,10.987786099633365,3,126.66666666666667,88.81,43.14,0,0,1.0,1.0,0.2815491923180671,EASY
R1403,0.5434525105220342,8.695240168352548,4,95.0,3.6,12.98,0,0,1.0,1.0,0.1322929930475616,EASY
R1404,2.8555276616029706,45.68844258564753,4,95.0,3.6,81.89,0,0,0.6666666666666666,1.0,0.2860739050932821,EASY
R1405,4.0628890324757805,16.251556129903122,2,190.0,24.65,69.63,0,0,1.0,1.0,0.089861128973478,EASY
R1406,1.3553843351587487,5.421537340634995,2,190.0,3.6,88.81,0,0,0.6666666666666666,1.0,0.3383422974188222,EASY
R1407,1.2026332759370326,4.8105331037481305,2,190.0,133.21,88.81,0,0,1.0,1.0,0.1467607205982193,EASY
R1408,3.2608070907158764,3.2608070907158764,1,380.0,43.14,81.89,0,0,1.0,1.0,0.0560217918231175,EASY
R1409,1.4399494550115346,51.838180380415245,6,63.333333333333336,2.83,10.26,0,0,1.0,1.0,0.2783068748899672,EASY
R1410,1.2718497683095826,31.796244207739566,5,76.0,320.0,43.14,1,0,0.6666666666666666,1.0,0.3845629129629124,EASY
R1411,3.073872655691272,3.073872655691272,1,380.0,59.21,59.67,0,0,0.6666666666666666,1.0,0.0511269086264731,EASY
R1412,9.236229667363313,36.94491866945325,2,190.0,3.6,215.01,0,0,0.6666666666666666,1.0,0.1852103956773667,EASY
R1413,3.429120277935164,85.7280069483791,5,76.0,31.43,69.63,0,1,0.3333333333333333,1.0,0.0543913520296214,EASY
R1414,0.8236423763937375,29.651125550174548,6,63.333333333333336,46.78,59.67,0,0,1.0,1.0,0.3105841172717537,EASY
R1415,0.9687319348831087,15.49971095812974,4,95.0,36.68,43.14,0,0,1.0,1.0,0.2791051717079331,EASY
R1416,2.728500350135563,10.914001400542253,2,190.0,3.6,81.89,0,0,0.6666666666666666,1.0,0.0839973879298575,EASY
R1417,1.4592414066538377,36.48103516634594,5,76.0,22.73,8.72,0,0,1.0,1.0,0.2992146891375168,EASY
R1418,1.365160348999747,1.365160348999747,1,380.0,113.27,113.27,0,0,1.0,1.0,0.2572521314015192,EASY
