rocket_id,regime_label,Kp_sweep,Kd,best_Kp_exp1,sr,rms_deg,peak_deg,Iyy,authority_inertia_ratio,static_margin,motor_scale,max_gimbal_deg,wind_strength,servo_slew_deg_s
R0353,EASY,320,1.0,15.0,0.0,132.42071966867076,361.07886579274907,0.0356793632009572,757.2764888512281,0.2722739105749771,1.8506076360302472,14.60014665627748,0.1946833023508158,65.69544885119237
R1155,EASY,1,1.0,80.0,1.0,1.748824927416921,3.106655390561589,0.0246329498777466,817.7746093405183,-0.0897300219204714,1.6109078271823862,12.504874967559566,0.2867847057998826,185.0392019421396
R1155,EASY,2,1.0,80.0,1.0,1.3662586549642755,2.3834799716407757,0.0246329498777466,817.7746093405183,-0.0897300219204714,1.6109078271823862,12.504874967559566,0.2867847057998826,185.0392019421396
R1155,EASY,3,1.0,80.0,1.0,1.0763454057087016,1.9756998637944037,0.0246329498777466,817.7746093405183,-0.0897300219204714,1.6109078271823862,12.504874967559566,0.2867847057998826,185.0392019421396
R1155,EASY,5,1.0,80.0,1.0,0.8602265069517735,1.7555856026938783,0.0246329498777466,817.7746093405183,-0.0897300219204714,1.6109078271823862,12.504874967559566,0.2867847057998826,185.0392019421396
R1155,EASY,8,1.0,80.0,1.0,0.7963623339667314,1.5982418155908658,0.0246329498777466,817.7746093405183,-0.0897300219204714,1.6109078271823862,12.504874967559566,0.2867847057998826,185.0392019421396
R1155,EASY,12,1.0,80.0,1.0,0.6623235992883529,1.3883817765795536,0.0246329498777466,817.7746093405183,-0.0897300219204714,1.6109078271823862,12.504874967559566,0.2867847057998826,185.0392019421396
R1155,EASY,20,1.0,80.0,1.0,0.562471668019062,1.2480403776296138,0.0246329498777466,817.7746093405183,-0.0897300219204714,1.6109078271823862,12.504874967559566,0.2867847057998826,185.0392019421396
R1155,EASY,30,1.0,80.0,1.0,0.6054581600551271,1.4805957740973408,0.0246329498777466,817.7746093405183,-0.0897300219204714,1.6109078271823862,12.504874967559566,0.2867847057998826,185.0392019421396
R1155,EASY,40,1.0,80.0,1.0,0.6161075656234694,1.5061221358151353,0.0246329498777466,817.7746093405183,-0.0897300219204714,1.6109078271823862,12.504874967559566,0.2867847057998826,185.0392019421396
R1155,EASY,60,1.0,80.0,1.0,0.49019092625167177,1.3854293116270182,0.0246329498777466,817.7746093405183,-0.0897300219204714,1.6109078271823862,12.504874967559566,0.2867847057998826,185.0392019421396
R1155,EASY,80,1.0,80.0,1.0,0.4877771687885442,1.26196633202369,0.0246329498777466,817.7746093405183,-0.0897300219204714,1.6109078271823862,12.504874967559566,0.2867847057998826,185.0392019421396
R1155,EASY,120,1.0,80.0,1.0,0.4046137160350286,0.9587776936351802,0.0246329498777466,817.7746093405183,-0.0897300219204714,1.6109078271823862,12.504874967559566,0.2867847057998826,185.0392019421396
R1155,EASY,160,1.0,80.0,1.0,0.4966757542430013,1.4559018530215284,0.0246329498777466,817.7746093405183,-0.0897300219204714,1.6109078271823862,12.504874967559566,0.2867847057998826,185.0392019421396
R1155,EASY,240,1.0,80.0,1.0,0.6450631405921152,2.237728159985922,0.0246329498777466,817.7746093405183,-0.0897300219204714,1.6109078271823862,12.504874967559566,0.2867847057998826,185.0392019421396
R1155,EASY,320,1.0,80.0,1.0,0.6031755766438455,2.3393900523221696,0.0246329498777466,817.7746093405183,-0.0897300219204714,1.6109078271823862,12.504874967559566,0.2867847057998826,185.0392019421396
R0011,EASY,1,1.0,80.0,1.0,5.620819842764172,9.3497921757758,0.0247630887575616,920.8085073339179,0.0356772705404649,1.8042332879478655,12.638090067478291,0.2510418986634238,87.75706454397438
R0011,EASY,2,1.0,80.0,1.0,3.8202507116180406,6.015449040871208,0.0247630887575616,920.8085073339179,0.0356772705404649,1.8042332879478655,12.638090067478291,0.2510418986634238,87.75706454397438
R0011,EASY,3,1.0,80.0,1.0,2.7630327999358526,4.932396082203274,0.0247630887575616,920.8085073339179,0.0356772705404649,1.8042332879478655,12.638090067478291,0.2510418986634238,87.75706454397438
R0011,EASY,5,1.0,80.0,1.0,2.0946747182657193,3.807491013647577,0.0247630887575616,920.8085073339179,0.0356772705404649,1.8042332879478655,12.638090067478291,0.2510418986634238,87.75706454397438
R0011,EASY,8,1.0,80.0,1.0,1.6854118307057455,3.34952786717873,0.0247630887575616,920.8085073339179,0.0356772705404649,1.8042332879478655,12.638090067478291,0.2510418986634238,87.75706454397438
R0011,EASY,12,1.0,80.0,1.0,1.4932317475031367,2.9639720881225875,0.0247630887575616,920.8085073339179,0.0356772705404649,1.8042332879478655,12.638090067478291,0.2510418986634238,87.75706454397438
R0011,EASY,20,1.0,80.0,1.0,1.146991241020189,2.6197840463415956,0.0247630887575616,920.8085073339179,0.0356772705404649,1.8042332879478655,12.638090067478291,0.2510418986634238,87.75706454397438
