rocket_id,keff,latency,Pi,fsat_floor,frozen_floor,frozen_ceil,opt_Kd,Kp,Kd,sr,kd_mult
R2866,25.64,3,230.8,0.55,3.24,140.49,1.0,1.7820000000000003,0.707,0.5333333333333333,0.707
R2866,25.64,3,230.8,0.55,3.24,140.49,1.0,1.7820000000000003,1.0,0.6,1.0
R2866,25.64,3,230.8,0.55,3.24,140.49,1.0,1.7820000000000003,1.414,0.4666666666666667,1.414
R2866,25.64,3,230.8,0.55,3.24,140.49,1.0,1.7820000000000003,2.0,0.13333333333333333,2.0
R2866,25.64,3,230.8,0.55,3.24,140.49,1.0,1.7820000000000003,4.0,0.2,4.0
R2866,25.64,3,230.8,0.55,3.24,140.49,1.0,1.7820000000000003,8.0,0.0,8.0
R2866,25.64,3,230.8,0.55,3.24,140.49,1.0,3.24,0.125,0.9333333333333333,0.125
R2866,25.64,3,230.8,0.55,3.24,140.49,1.0,3.24,0.25,1.0,0.25
R2866,25.64,3,230.8,0.55,3.24,140.49,1.0,3.24,0.5,1.0,0.5
R2866,25.64,3,230.8,0.55,3.24,140.49,1.0,3.24,0.707,0.9333333333333333,0.707
R2866,25.64,3,230.8,0.55,3.24,140.49,1.0,3.24,1.0,0.5333333333333333,1.0
R2866,25.64,3,230.8,0.55,3.24,140.49,1.0,3.24,1.414,0.13333333333333333,1.414
R2866,25.64,3,230.8,0.55,3.24,140.49,1.0,3.24,2.0,0.5333333333333333,2.0
R2866,25.64,3,230.8,0.55,3.24,140.49,1.0,3.24,4.0,0.2,4.0
R2866,25.64,3,230.8,0.55,3.24,140.49,1.0,3.24,8.0,0.06666666666666667,8.0
R2866,25.64,3,230.8,0.55,3.24,140.49,1.0,5.184000000000001,0.125,0.8,0.125
R2866,25.64,3,230.8,0.55,3.24,140.49,1.0,5.184000000000001,0.25,1.0,0.25
R2866,25.64,3,230.8,0.55,3.24,140.49,1.0,5.184000000000001,0.5,1.0,0.5
R2866,25.64,3,230.8,0.55,3.24,140.49,1.0,5.184000000000001,0.707,1.0,0.707
R2866,25.64,3,230.8,0.55,3.24,140.49,1.0,5.184000000000001,1.0,0.7333333333333333,1.0
R2866,25.64,3,230.8,0.55,3.24,140.49,1.0,5.184000000000001,1.414,0.4,1.414
R2866,25.64,3,230.8,0.55,3.24,140.49,1.0,5.184000000000001,2.0,0.4666666666666667,2.0
R2866,25.64,3,230.8,0.55,3.24,140.49,1.0,5.184000000000001,4.0,0.26666666666666666,4.0
R2866,25.64,3,230.8,0.55,3.24,140.49,1.0,5.184000000000001,8.0,0.06666666666666667,8.0
R2866,25.64,3,230.8,0.55,3.24,140.49,1.0,8.100000000000001,0.125,0.7333333333333333,0.125
R2866,25.64,3,230.8,0.55,3.24,140.49,1.0,8.100000000000001,0.25,1.0,0.25
R2866,25.64,3,230.8,0.55,3.24,140.49,1.0,8.100000000000001,0.5,1.0,0.5
R2866,25.64,3,230.8,0.55,3.24,140.49,1.0,8.100000000000001,0.707,0.8666666666666667,0.707
R2866,25.64,3,230.8,0.55,3.24,140.49,1.0,8.100000000000001,1.0,0.7333333333333333,1.0
