rocket_id,keff,lat,Pi_keff,td,kp,adrc,pd,h1,h2,h3,h4,h5
R1474,3.544,6,253.2,69.1,7.36,1.0,1.0,1.0,0.0,0.0,0.0,0.0
R1474,3.544,6,253.2,69.1,14.31,1.0,1.0,1.0,0.0,0.0,0.0,0.0
R1474,3.544,6,253.2,69.1,27.83,1.0,1.0,0.125,0.0,0.0,0.0,0.0
R1474,3.544,6,253.2,69.1,54.12,1.0,1.0,0.0,0.0,0.0,0.0,0.0
R1474,3.544,6,253.2,69.1,105.25,1.0,1.0,0.0,0.0,0.0,0.0,0.0
R1474,3.544,6,253.2,69.1,204.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0
R1474,3.544,6,253.2,69.1,398.11,1.0,0.0,0.0,0.0,0.0,0.0,0.0
R0197,7.18,2,22.8,61.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R0197,7.18,2,22.8,61.6,1.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R0197,7.18,2,22.8,61.6,3.78,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R0197,7.18,2,22.8,61.6,7.36,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R0197,7.18,2,22.8,61.6,14.31,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R0197,7.18,2,22.8,61.6,27.83,1.0,1.0,0.125,1.0,1.0,1.0,1.0
R0197,7.18,2,22.8,61.6,54.12,1.0,1.0,0.0,1.0,1.0,1.0,1.0
R0197,7.18,2,22.8,61.6,105.25,1.0,1.0,0.0,1.0,1.0,1.0,1.0
R0197,7.18,2,22.8,61.6,204.7,1.0,1.0,0.0,1.0,1.0,1.0,1.0
R0197,7.18,2,22.8,61.6,398.11,1.0,0.375,0.0,1.0,1.0,1.0,1.0
R1811,30.47,4,482.8,117.4,1.0,1.0,0.625,1.0,0.25,0.5,0.875,1.0
R1811,30.47,4,482.8,117.4,1.94,1.0,0.75,1.0,0.25,0.5,0.875,1.0
R1811,30.47,4,482.8,117.4,3.78,1.0,1.0,1.0,0.25,0.75,1.0,1.0
R1811,30.47,4,482.8,117.4,7.36,1.0,1.0,1.0,0.25,0.625,1.0,1.0
R1811,30.47,4,482.8,117.4,14.31,1.0,1.0,0.0,0.25,0.75,1.0,1.0
R1811,30.47,4,482.8,117.4,27.83,1.0,1.0,0.0,0.25,0.875,1.0,1.0
R1811,30.47,4,482.8,117.4,54.12,1.0,1.0,0.0,0.375,1.0,1.0,1.0
R1811,30.47,4,482.8,117.4,105.25,1.0,1.0,0.0,0.75,1.0,1.0,1.0
R1811,30.47,4,482.8,117.4,204.7,1.0,0.125,0.0,1.0,1.0,1.0,1.0
R1811,30.47,4,482.8,117.4,398.11,1.0,0.0,0.0,1.0,1.0,1.0,1.0
