p_unstable,tau_act_s,nat_freq_hz,act_bw_hz,disturb_freq_hz,freq_over_nat,freq_over_act_bw,success_rate,mean_theta_rms_deg,best_Kp,best_Kd
8,0.03,1.27323954473516,5.30516476972984,0.4,0.314159265358979,0.075398223686155,1,2.43042281044692,10,1
8,0.03,1.27323954473516,5.30516476972984,0.7,0.549778714378214,0.131946891450771,1,2.34474076370946,10,1
8,0.03,1.27323954473516,5.30516476972984,1,0.785398163397448,0.188495559215388,1,2.25039725386288,10,1
8,0.03,1.27323954473516,5.30516476972984,1.4,1.09955742875643,0.263893782901543,1,2.25320166765956,10,1
8,0.03,1.27323954473516,5.30516476972984,2,1.5707963267949,0.376991118430775,1,2.21381203026634,10,1
8,0.03,1.27323954473516,5.30516476972984,3,2.35619449019234,0.565486677646163,1,2.20663097247964,10,1
8,0.03,1.27323954473516,5.30516476972984,4.5,3.53429173528852,0.848230016469244,1,2.19926281256926,10,1
8,0.03,1.27323954473516,5.30516476972984,6,4.71238898038469,1.13097335529233,1,2.17161747360856,10,1
8,0.05,1.27323954473516,3.18309886183791,0.2,0.15707963267949,0.0628318530717959,1,2.30905960859265,10,1
8,0.05,1.27323954473516,3.18309886183791,0.4,0.314159265358979,0.125663706143592,1,2.5043420946809,10,1
8,0.05,1.27323954473516,3.18309886183791,0.7,0.549778714378214,0.219911485751285,1,2.47658956867246,10,1
8,0.05,1.27323954473516,3.18309886183791,1,0.785398163397448,0.314159265358979,1,2.36525569025712,10,1
8,0.05,1.27323954473516,3.18309886183791,1.4,1.09955742875643,0.439822971502571,1,2.34784477660194,10,1
8,0.05,1.27323954473516,3.18309886183791,2,1.5707963267949,0.628318530717959,1,2.32049506064176,10,1
8,0.05,1.27323954473516,3.18309886183791,3,2.35619449019234,0.942477796076938,1,2.29192162699472,10,1
8,0.05,1.27323954473516,3.18309886183791,4.5,3.53429173528852,1.41371669411541,1,2.29253203467061,10,1
8,0.05,1.27323954473516,3.18309886183791,6,4.71238898038469,1.88495559215388,1,2.26844762002221,10,1
8,0.08,1.27323954473516,1.98943678864869,0.2,0.15707963267949,0.100530964914873,1,2.7865288843319,10,1
8,0.08,1.27323954473516,1.98943678864869,0.4,0.314159265358979,0.201061929829747,1,2.88765532880502,10,1
8,0.08,1.27323954473516,1.98943678864869,0.7,0.549778714378214,0.351858377202057,1,3.11842376650085,10,1
8,0.08,1.27323954473516,1.98943678864869,1,0.785398163397448,0.502654824574367,1,3.01224712651579,10,1
8,0.08,1.27323954473516,1.98943678864869,1.4,1.09955742875643,0.703716754404114,1,2.89816278799233,10,1
8,0.08,1.27323954473516,1.98943678864869,2,1.5707963267949,1.00530964914873,1,2.85094718482884,10,1
8,0.08,1.27323954473516,1.98943678864869,3,2.35619449019234,1.5079644737231,1,2.7961453633013,10,1
8,0.08,1.27323954473516,1.98943678864869,4.5,3.53429173528852,2.26194671058465,1,2.78925309823593,10,1
8,0.08,1.27323954473516,1.98943678864869,6,4.71238898038469,3.0159289474462,1,2.79069948654207,10,1
8,0.12,1.27323954473516,1.32629119243246,0.2,0.15707963267949,0.15079644737231,1,2.88590413205202,10,3
8,0.12,1.27323954473516,1.32629119243246,0.4,0.314159265358979,0.30159289474462,1,2.85434820860941,10,3
8,0.12,1.27323954473516,1.32629119243246,0.7,0.549778714378214,0.527787565803085,1,2.78894389943955,10,3
8,0.12,1.27323954473516,1.32629119243246,1,0.785398163397448,0.75398223686155,1,2.75003027408725,10,3
8,0.12,1.27323954473516,1.32629119243246,1.4,1.09955742875643,1.05557513160617,1,2.73719923500137,10,3
8,0.12,1.27323954473516,1.32629119243246,2,1.5707963267949,1.5079644737231,1,2.73503049179653,10,3
8,0.12,1.27323954473516,1.32629119243246,3,2.35619449019234,2.26194671058465,1,2.70884040831514,10,3
8,0.12,1.27323954473516,1.32629119243246,4.5,3.53429173528852,3.39292006587698,1,2.69596703325687,10,3
8,0.12,1.27323954473516,1.32629119243246,6,4.71238898038469,4.5238934211693,1,2.69004501133422,10,3
