rocket_id,regime,wind_mult,sr,rms
R0301,EASY,1.5x,1.0,3.5459748375054487
R0302,EASY,1.5x,1.0,2.855023074508155
R0303,EASY,1.5x,1.0,1.3631908460172593
R0304,EASY,1.5x,1.0,2.9239955032699094
R0305,EASY,1.5x,1.0,3.324222464612898
R0306,EASY,1.5x,1.0,1.9440066582243134
R0307,EASY,1.5x,1.0,2.20806789178234
R0308,EASY,1.5x,0.6666666666666666,6.223267458200222
R0309,EASY,1.5x,1.0,4.42548552220976
R0310,EASY,1.5x,1.0,3.456710996613337
R0311,EASY,1.5x,1.0,4.91575601993723
R0312,EASY,1.5x,1.0,2.719650885430347
R0313,EASY,1.5x,1.0,1.7928724516330468
R0314,EASY,1.5x,1.0,1.6690158643237172
R0315,EASY,1.5x,1.0,2.7687756797644716
R0316,EASY,1.5x,1.0,3.7922764129230693
R0317,EASY,1.5x,1.0,2.0091316119562843
R0318,EASY,1.5x,1.0,2.8448200295207027
R0319,EASY,1.5x,1.0,1.7325736942434897
R0320,EASY,1.5x,1.0,2.0772492636915394
R0321,EASY,1.5x,1.0,1.6967919030375747
R0322,EASY,1.5x,1.0,3.814043327253458
R0323,EASY,1.5x,0.6666666666666666,6.419652764773244
R0324,EASY,1.5x,1.0,3.0022737500114407
R0325,EASY,1.5x,1.0,2.797179993132509
R0326,EASY,1.5x,1.0,1.574275723283458
R0327,EASY,1.5x,1.0,4.032387078515814
R0328,EASY,1.5x,1.0,3.0611623253763462
R0329,EASY,1.5x,1.0,3.44554957489116
R0330,EASY,1.5x,1.0,3.958956341351069
R0331,EASY,1.5x,1.0,2.728349077126269
R0332,EASY,1.5x,1.0,3.837640826046608
R0333,EASY,1.5x,1.0,4.3997891150495825
R0334,EASY,1.5x,0.3333333333333333,8.383272575908398
R0335,EASY,1.5x,1.0,3.9483486583146195
R0336,EASY,1.5x,1.0,7.686118066606338
R0337,EASY,1.5x,1.0,4.120078820912776
R0338,EASY,1.5x,1.0,2.25230289122591
R0339,EASY,1.5x,1.0,3.060362468817171
R0340,EASY,1.5x,1.0,3.800819376765413
R0341,EASY,1.5x,1.0,5.854409052101097
R0342,EASY,1.5x,1.0,7.492913189674355
R0343,EASY,1.5x,0.3333333333333333,6.872463282028728
R0344,EASY,1.5x,1.0,4.342530567035485
R0345,EASY,1.5x,1.0,3.651386510037115
R0346,EASY,1.5x,1.0,2.5687116139289863
R0347,EASY,1.5x,1.0,2.3716649437381943
R0348,EASY,1.5x,1.0,2.0790626048692777
R0349,EASY,1.5x,1.0,4.056182319736875
R0350,EASY,1.5x,1.0,6.1582388150511
R0351,EASY,1.5x,1.0,2.0312918590587246
R0352,EASY,1.5x,1.0,2.8136392525820852
