label,rocket_id,regime,theta_ddot,Iyy,Kp,sr,rms_deg
FRAG_hi,R0759,FRAGILE,212.58949415522002,0.0117237357226526,1,0.2,33.883027994786985
FRAG_hi,R0759,FRAGILE,212.58949415522002,0.0117237357226526,2,0.2,34.23269598175134
FRAG_hi,R0759,FRAGILE,212.58949415522002,0.0117237357226526,3,0.2,31.60116202567563
FRAG_hi,R0759,FRAGILE,212.58949415522002,0.0117237357226526,4,0.2,30.29545812559643
FRAG_hi,R0759,FRAGILE,212.58949415522002,0.0117237357226526,5,0.0,27.358955380844435
FRAG_hi,R0759,FRAGILE,212.58949415522002,0.0117237357226526,6,0.2,22.755875149022543
FRAG_hi,R0759,FRAGILE,212.58949415522002,0.0117237357226526,7,0.2,20.6179628350757
FRAG_hi,R0759,FRAGILE,212.58949415522002,0.0117237357226526,10,0.0,32.118271333614516
FRAG_hi,R0759,FRAGILE,212.58949415522002,0.0117237357226526,12,0.4,11.879209822128662
FRAG_hi,R0759,FRAGILE,212.58949415522002,0.0117237357226526,16,0.0,20.354781297662214
FRAG_hi,R0759,FRAGILE,212.58949415522002,0.0117237357226526,20,0.2,19.91726053477712
FRAG_hi,R0759,FRAGILE,212.58949415522002,0.0117237357226526,26,0.6,11.9665797125138
FRAG_hi,R0759,FRAGILE,212.58949415522002,0.0117237357226526,33,0.2,15.822842591826781
