lambda_s,Kp,Kd,sr,rocket_id,td,keff,latency,final_label
10.0,113.30729922370725,11.330729922370725,1.0,R2160,17.562420881770112,2.1321669358272404,2,EASY
10.0,155.3132164353244,15.53132164353244,1.0,R2160,17.562420881770112,2.1321669358272404,2,EASY
10.0,212.89180277662857,21.289180277662858,0.9,R2160,17.562420881770112,2.1321669358272404,2,EASY
10.0,291.81624545362695,29.181624545362695,1.0,R2160,17.562420881770112,2.1321669358272404,2,EASY
10.0,400.0000000000001,40.000000000000014,1.0,R2160,17.562420881770112,2.1321669358272404,2,EASY
0.2,1.0,5.0,0.1,R0234,11.17084765817729,6.810427366810912,5,EASY
0.2,1.3707256063767186,6.853628031883592,0.0,R0234,11.17084765817729,6.810427366810912,5,EASY
0.2,1.8788886879768232,9.394443439884116,0.1,R0234,11.17084765817729,6.810427366810912,5,EASY
0.2,2.575440836141388,12.87720418070694,0.0,R0234,11.17084765817729,6.810427366810912,5,EASY
0.2,3.5302227018072676,17.651113509036335,0.0,R0234,11.17084765817729,6.810427366810912,5,EASY
0.2,4.838966653579624,24.19483326789812,0.0,R0234,11.17084765817729,6.810427366810912,5,EASY
0.2,6.632895500464652,33.16447750232326,0.0,R0234,11.17084765817729,6.810427366810912,5,EASY
0.2,9.091879706907822,45.459398534539105,0.1,R0234,11.17084765817729,6.810427366810912,5,EASY
0.2,12.462472324355405,62.31236162177702,0.1,R0234,11.17084765817729,6.810427366810912,5,EASY
0.2,17.082629933755133,85.41314966877566,0.1,R0234,11.17084765817729,6.810427366810912,5,EASY
0.2,23.41559827445559,117.07799137227795,0.1,R0234,11.17084765817729,6.810427366810912,5,EASY
0.2,32.09636014342679,160.48180071713395,0.0,R0234,11.17084765817729,6.810427366810912,5,EASY
0.2,43.99530272008423,219.97651360042116,0.1,R0234,11.17084765817729,6.810427366810912,5,EASY
0.2,60.30548799871475,301.52743999357375,0.1,R0234,11.17084765817729,6.810427366810912,5,EASY
0.2,82.66227660488225,413.3113830244112,0.1,R0234,11.17084765817729,6.810427366810912,5,EASY
0.2,113.30729922370725,566.5364961185362,0.2,R0234,11.17084765817729,6.810427366810912,5,EASY
0.2,155.3132164353244,776.5660821766219,0.1,R0234,11.17084765817729,6.810427366810912,5,EASY
0.2,212.89180277662857,1064.4590138831427,0.2,R0234,11.17084765817729,6.810427366810912,5,EASY
0.2,291.81624545362695,1459.0812272681346,0.1,R0234,11.17084765817729,6.810427366810912,5,EASY
0.2,400.0000000000001,2000.0000000000005,0.1,R0234,11.17084765817729,6.810427366810912,5,EASY
0.5,1.0,2.0,0.2,R0234,11.17084765817729,6.810427366810912,5,EASY
0.5,1.3707256063767186,2.741451212753437,0.2,R0234,11.17084765817729,6.810427366810912,5,EASY
0.5,1.8788886879768232,3.7577773759536464,0.1,R0234,11.17084765817729,6.810427366810912,5,EASY
0.5,2.575440836141388,5.150881672282776,0.1,R0234,11.17084765817729,6.810427366810912,5,EASY
0.5,3.5302227018072676,7.060445403614535,0.0,R0234,11.17084765817729,6.810427366810912,5,EASY
