method,p_unstable,gust_std,Kp,Kd,design_success_rate,deploy_success_rate,rms_error_deg,peak_error_deg,end_error_deg,max_theta_deg,u_cmd_sat_frac,slew_sat_frac,control_rms,n_trials
AMATEUR_BASIC_PID,4,1.5,45,8,1,1,1.00405615613397,2.61226079490237,0.866394644010991,21.8266509375946,0,0.0180555555555556,0.822623714118713,12
BENCH_TUNED_PID,4,1.5,45,16,1,1,1.00411063795274,2.47289542987983,0.852234039666778,21.5958630699392,0,0.0983796296296296,0.885401620381672,12
BENCH_TUNED_PCH,4,1.5,45,6,1,1,0.791683137002258,2.43282898625222,0.882491065161295,21.5048444563469,0,0.0722222222222222,0.923089988171501,12
AMATEUR_BASIC_PID,6,0.3,45,16,1,1,1.72697113424514,3.47288780518007,0.969593700090531,22.6736212319879,0,0.0982638888888889,1.49201768217115,12
BENCH_TUNED_PID,6,0.3,45,16,1,1,1.72697113424514,3.47288780518007,0.969593700090531,22.6736212319879,0,0.0982638888888889,1.49201768217115,12
BENCH_TUNED_PCH,6,0.3,30,6,1,1,1.08267450589258,2.63299639688144,0.987972186241216,22.1413025924803,0,0.179050925925926,1.51102345169287,12
AMATEUR_BASIC_PID,6,0.9,45,16,1,1,1.7288178936038,3.45916994951441,0.916228560006103,22.683244965373,0,0.100578703703704,1.49574297812632,12
BENCH_TUNED_PID,6,0.9,45,16,1,1,1.7288178936038,3.45916994951441,0.916228560006103,22.683244965373,0,0.100578703703704,1.49574297812632,12
BENCH_TUNED_PCH,6,0.9,30,8,1,1,1.07474435511808,2.59331760834021,0.933211369653726,22.027284689368,0,0.269907407407407,1.55977211042778,12
AMATEUR_BASIC_PID,6,1.5,45,16,1,1,1.73334791864314,3.44272280930602,0.880677564919568,22.7159346877953,0,0.0996527777777778,1.50474297561319,12
BENCH_TUNED_PID,6,1.5,45,16,1,1,1.73334791864314,3.44272280930602,0.880677564919568,22.7159346877953,0,0.0996527777777778,1.50474297561319,12
BENCH_TUNED_PCH,6,1.5,30,8,1,1,1.07818090513042,2.6042629211058,0.896502374699491,22.0416985969292,0,0.288541666666667,1.59306749325279,12
