rocket_id,final_label,td,keff,latency,Pi,best_Kp,best_Kd,peak_pid_sr,peak_adrc_sr,best_wc,sr_delta,adrc_sr_wc1.5,adrc_sr_wc2.0,adrc_sr_wc3.0,adrc_sr_wc5.0,adrc_sr_wc7.0,adrc_sr_wc10.0,adrc_sr_wc15.0
R0835,EASY,104.43180129467022,14.417124092803073,5,2610.7950323667555,41.78105458855241,0.5,1.0,1.0,1.5,0.0,1.0,0.6666666666666666,1.0,1.0,0.5333333333333333,0.06666666666666667,0.0
R1270,EASY,72.65573532587297,13.978287442127753,6,2615.6064717314266,41.78105458855241,2.0,0.8,1.0,3.0,0.19999999999999996,0.6666666666666666,0.6,1.0,1.0,0.4666666666666667,0.0,0.0
R0969,FRAGILE,115.84897376423486,14.638691821579592,5,2896.2243441058713,41.78105458855241,0.5,1.0,1.0,2.0,0.0,0.4666666666666667,1.0,1.0,1.0,0.6666666666666666,0.13333333333333333,0.0
R1300,FRAGILE,174.6253028282724,20.85035314019539,5,4365.63257070681,41.78105458855241,0.5,0.9333333333333333,1.0,3.0,0.06666666666666665,0.4,0.2,1.0,1.0,0.4666666666666667,0.0,0.0
R0725,EASY,63.839633984772014,12.540496112093654,6,2298.2268234517924,41.78105458855241,0.5,1.0,1.0,3.0,0.0,0.4666666666666667,0.7333333333333333,1.0,1.0,0.2,0.0,0.0
R2258,EASY,128.36628976841902,19.69405899490668,5,3209.1572442104757,41.78105458855241,1.0,0.8,1.0,5.0,0.19999999999999996,0.06666666666666667,0.2,0.4,1.0,0.4666666666666667,0.0,0.0
R1474,EASY,69.14031782320365,7.034658217595555,6,2489.0514416353312,41.78105458855241,0.5,1.0,1.0,3.0,0.0,0.8666666666666667,0.9333333333333333,1.0,1.0,0.5333333333333333,0.2,0.06666666666666667
R2264,FRAGILE,211.02914141229115,17.925805043349094,6,7597.049090842482,41.78105458855241,0.5,0.9333333333333333,1.0,5.0,0.06666666666666665,0.26666666666666666,0.3333333333333333,0.8,1.0,0.13333333333333333,0.0,0.0
R2106,FRAGILE,144.8414763585204,31.857029227708004,6,5214.293148906734,41.78105458855241,0.5,0.4666666666666667,0.9333333333333333,5.0,0.4666666666666667,0.0,0.13333333333333333,0.7333333333333333,0.9333333333333333,0.4,0.0,0.0
R0540,FRAGILE,143.03955295219825,13.633976400338609,6,5149.423906279137,41.78105458855241,0.5,1.0,1.0,3.0,0.0,0.6,0.8,1.0,1.0,0.3333333333333333,0.0,0.0
R0815,EASY,143.24327127054778,15.774281412289193,6,5156.75776573972,41.78105458855241,0.5,0.8,1.0,1.5,0.19999999999999996,1.0,0.7333333333333333,1.0,1.0,0.8,0.0,0.0
R0581,FRAGILE,227.87584343420303,22.498723546172275,5,5696.896085855076,41.78105458855241,0.5,0.9333333333333333,1.0,5.0,0.06666666666666665,0.0,0.06666666666666667,0.6666666666666666,1.0,0.4,0.0,0.0
R2080,FRAGILE,311.79245101667595,29.606545749199764,5,7794.811275416899,41.78105458855241,0.5,0.8666666666666667,0.8,3.0,-0.06666666666666665,0.13333333333333333,0.2,0.8,0.8,0.2,0.0,0.0
R0400,FRAGILE,214.6999063287188,19.379628939556724,5,5367.497658217971,41.78105458855241,0.5,1.0,1.0,5.0,0.0,0.06666666666666667,0.13333333333333333,0.8,1.0,0.26666666666666666,0.0,0.0
R0350,INFEASIBLE,330.5595613382317,29.00135022804474,5,8263.989033455791,41.78105458855241,0.5,0.8666666666666667,1.0,3.0,0.1333333333333333,0.2,0.6666666666666666,1.0,1.0,1.0,0.0,0.0
R0236,FRAGILE,168.59986686672784,21.485337127938408,6,6069.595207202202,41.78105458855241,0.5,1.0,1.0,5.0,0.0,0.0,0.3333333333333333,0.9333333333333333,1.0,0.5333333333333333,0.0,0.0
R1715,FRAGILE,170.13315758703897,25.566546778741852,6,6124.793673133403,41.78105458855241,0.5,0.8,1.0,5.0,0.19999999999999996,0.13333333333333333,0.13333333333333333,0.8,1.0,0.2,0.0,0.0
R1513,EASY,283.50681934531883,24.075687846154526,6,10206.245496431478,41.78105458855241,1.0,0.6,1.0,5.0,0.4,0.2,0.26666666666666666,0.9333333333333333,1.0,0.7333333333333333,0.0,0.0
R0026,FRAGILE,367.97884529976704,32.39137830158145,5,9199.471132494176,29.758952096260835,0.5,0.9333333333333333,1.0,3.0,0.06666666666666665,0.26666666666666666,0.6,1.0,1.0,1.0,0.0,0.0
R2072,FRAGILE,351.33675929242315,33.474462067189485,6,12648.123334527234,41.78105458855241,0.5,0.3333333333333333,0.7333333333333333,5.0,0.39999999999999997,0.0,0.0,0.4666666666666667,0.7333333333333333,0.2,0.0,0.0
