rocket_id,final_label,td,keff,latency_steps,kp_simple,kp_full,Kp_floor,Kp_ceiling,window_ratio,Kp_miss,Kp_miss_fraction,miss_type,gain_ok,sr_simple_in_full,sr_full_in_full,false_rejection_v2
R0483,EASY,13.503793399300406,2.3250402319306493,4,26.73,69.63,0.558881601835451,95.0,169.98233559309477,0.0,0.0,inside,True,1.0,1.0,0
R0484,EASY,22.091643846838128,2.487766635343731,2,69.63,11.97,0.30782096346647697,190.0,617.2419118579356,0.0,0.0,inside,True,1.0,1.0,0
R0485,EASY,56.09212722685108,5.340066924100765,5,50.74,88.81,1.6745008914811366,76.0,45.38665842857579,0.0,0.0,inside,True,0.3333333333333333,1.0,1
R0486,EASY,42.89101090063482,6.577864182061535,1,6.31,50.74,0.4427303874632415,380.0,858.3101832637368,0.0,0.0,inside,True,1.0,1.0,0
R0487,EASY,204.43193191159588,17.429488493343353,4,320.0,59.21,4.7374003429686695,95.0,20.05319228318979,225.0,11.22015870703106,overtuned,False,0.6666666666666666,0.6666666666666666,0
R0488,EASY,5.593468914401799,2.2561801243062636,4,2.4,96.31,0.5413356776424104,95.0,175.49185084888134,0.0,0.0,inside,True,1.0,1.0,0
R0489,EASY,52.666960067307926,17.55578020224282,2,59.21,155.45,2.4472251616344254,190.0,77.63895328417796,0.0,0.0,inside,True,1.0,1.0,0
R0490,EASY,12.450800069563018,2.710182990153446,5,36.97,81.89,0.8153984194571858,76.0,93.20596923721476,0.0,0.0,inside,True,1.0,1.0,0
R0491,EASY,46.00302376543552,8.224336799568592,4,36.97,182.82,2.135301097087251,95.0,44.49021270564083,0.0,0.0,inside,True,1.0,1.0,0
R0492,EASY,9.147659786971296,1.1712481346780226,6,88.81,43.14,0.39914027447957773,63.333333333333336,158.6743743560106,25.476666666666667,0.16055942725512698,overtuned,False,1.0,1.0,0
R0493,EASY,9.571908750463836,1.340167707273815,2,3.6,88.81,0.15968349270956675,190.0,1189.853733632775,0.0,0.0,inside,True,0.6666666666666666,1.0,0
R0494,EASY,2.114131921099239,0.7431385607118693,3,22.73,96.31,0.12627029484032848,126.66666666666667,1003.1390742125011,0.0,0.0,inside,True,1.0,1.0,0
R0495,EASY,4.474874992102044,1.5531803392674035,6,113.27,59.67,0.5384873124658299,63.333333333333336,117.61341793424742,49.93666666666666,0.4245830751605577,overtuned,False,1.0,1.0,0
R0496,EASY,5.525413663376815,0.9790010104534356,2,12.98,50.74,0.11443663470235184,190.0,1660.3074749112245,0.0,0.0,inside,True,1.0,1.0,0
R0497,EASY,34.83843202506945,6.133684808518724,5,3.6,113.27,1.9396831739679181,76.0,39.18165658184805,0.0,0.0,inside,True,0.3333333333333333,1.0,1
R0498,EASY,22.994952685961604,2.4778337610970196,2,155.45,70.18,0.30651711860796477,190.0,619.8674999389183,0.0,0.0,inside,True,1.0,1.0,0
R0499,EASY,18.867195016766576,1.8292170574086701,1,88.81,81.89,0.11387140328900329,380.0,3337.0977174626346,0.0,0.0,inside,True,1.0,1.0,0
R0500,EASY,13.71694406869538,2.250816387645992,5,46.78,81.89,0.6695625384976506,76.0,113.50694764155578,0.0,0.0,inside,True,1.0,1.0,0
R0501,EASY,4.358354783299588,0.6473588842171756,6,3.6,4.56,0.2127717767463845,63.333333333333336,297.65852549525,0.0,0.0,inside,True,1.0,1.0,0
R0502,EASY,7.898110247312221,1.3205693187703373,3,11.97,96.31,0.2323933927113763,126.66666666666667,545.0527882433466,0.0,0.0,inside,True,1.0,1.0,0
R0503,EASY,7.035067794999062,0.997988733928698,4,295.07,11.97,0.2278291997196792,95.0,416.9790356850127,200.07,0.47980829460964436,overtuned,False,0.6666666666666666,1.0,0
R0504,EASY,5.975955084286323,0.9513375050195999,5,3.6,50.74,0.2685167393150767,76.0,283.0363581572538,0.0,0.0,inside,True,1.0,1.0,0
R0505,EASY,28.37651773405088,2.9676277758015974,4,3.6,81.89,0.7240415415127295,95.0,131.20794119287393,0.0,0.0,inside,True,0.6666666666666666,1.0,0
R0506,EASY,14.05084895908927,3.7347966816478317,3,88.81,22.73,0.7002794613549406,126.66666666666667,180.88016807116517,0.0,0.0,inside,True,1.0,1.0,0
R0507,EASY,9.888583460219582,1.7102036801844116,2,46.78,88.81,0.2068273277869122,190.0,918.6406943078196,0.0,0.0,inside,True,1.0,1.0,0
R0508,EASY,1.4645489652206003,0.6266804910860875,3,59.67,112.39,0.10538095541416798,126.66666666666667,1201.9882166454238,0.0,0.0,inside,True,1.0,1.0,0
R0509,EASY,22.30471688096654,3.2661605386909995,5,2.4,69.63,0.9939216510787389,76.0,76.46477961066093,0.0,0.0,inside,True,0.3333333333333333,1.0,1
