rocket_id,keff,lat,Pi_keff,td,kp,sr_pd,sr_h1,sr_h5,sr_adrc
R0197,7.18,2,22.8,61.6,5.12,1.0,1.0,1.0,1.0
R0197,7.18,2,22.8,61.6,8.82,1.0,1.0,1.0,1.0
R0197,7.18,2,22.8,61.6,15.2,1.0,1.0,1.0,1.0
R0197,7.18,2,22.8,61.6,26.19,1.0,0.4,1.0,1.0
R0197,7.18,2,22.8,61.6,45.14,1.0,0.0,1.0,1.0
R0197,7.18,2,22.8,61.6,77.79,1.0,0.0,1.0,1.0
R0197,7.18,2,22.8,61.6,134.05,1.0,0.0,1.0,1.0
R0197,7.18,2,22.8,61.6,231.01,1.0,0.0,1.0,1.0
R0197,7.18,2,22.8,61.6,398.11,0.2,0.0,1.0,1.0
R1811,30.47,4,482.8,117.4,1.0,0.5,1.0,1.0,1.0
R1811,30.47,4,482.8,117.4,1.72,0.7,1.0,1.0,1.0
R1811,30.47,4,482.8,117.4,2.97,0.8,1.0,1.0,1.0
R1811,30.47,4,482.8,117.4,5.12,1.0,1.0,1.0,1.0
R1811,30.47,4,482.8,117.4,8.82,1.0,0.3,1.0,1.0
R1811,30.47,4,482.8,117.4,15.2,1.0,0.0,1.0,1.0
R1811,30.47,4,482.8,117.4,26.19,1.0,0.0,1.0,1.0
R1811,30.47,4,482.8,117.4,45.14,1.0,0.0,1.0,1.0
R1811,30.47,4,482.8,117.4,77.79,1.0,0.0,1.0,1.0
R1811,30.47,4,482.8,117.4,134.05,0.7,0.0,1.0,1.0
R1811,30.47,4,482.8,117.4,231.01,0.0,0.0,1.0,1.0
R1811,30.47,4,482.8,117.4,398.11,0.0,0.0,1.0,1.0
R1951,7.302,4,165.0,112.7,1.0,1.0,1.0,1.0,1.0
R1951,7.302,4,165.0,112.7,1.72,1.0,1.0,1.0,1.0
R1951,7.302,4,165.0,112.7,2.97,1.0,1.0,1.0,1.0
R1951,7.302,4,165.0,112.7,5.12,1.0,1.0,1.0,1.0
R1951,7.302,4,165.0,112.7,8.82,1.0,1.0,1.0,1.0
R1951,7.302,4,165.0,112.7,15.2,1.0,1.0,1.0,1.0
R1951,7.302,4,165.0,112.7,26.19,1.0,0.0,1.0,1.0
R1951,7.302,4,165.0,112.7,45.14,1.0,0.0,1.0,1.0
R1951,7.302,4,165.0,112.7,77.79,1.0,0.0,1.0,1.0
R1951,7.302,4,165.0,112.7,134.05,1.0,0.0,1.0,1.0
R1951,7.302,4,165.0,112.7,231.01,0.2,0.0,1.0,1.0
R1951,7.302,4,165.0,112.7,398.11,0.0,0.0,1.0,1.0
R1672,8.907,6,263.4,76.1,1.0,1.0,1.0,0.8,1.0
R1672,8.907,6,263.4,76.1,1.72,1.0,1.0,0.8,1.0
R1672,8.907,6,263.4,76.1,2.97,1.0,1.0,0.8,1.0
R1672,8.907,6,263.4,76.1,5.12,1.0,1.0,0.8,1.0
R1672,8.907,6,263.4,76.1,8.82,1.0,1.0,0.8,1.0
R1672,8.907,6,263.4,76.1,15.2,1.0,0.0,0.8,1.0
R1672,8.907,6,263.4,76.1,26.19,1.0,0.0,0.8,1.0
R1672,8.907,6,263.4,76.1,45.14,1.0,0.0,0.9,1.0
R1672,8.907,6,263.4,76.1,77.79,1.0,0.0,1.0,1.0
R1672,8.907,6,263.4,76.1,134.05,0.6,0.0,1.0,1.0
R1672,8.907,6,263.4,76.1,231.01,0.0,0.0,1.0,1.0
R1672,8.907,6,263.4,76.1,398.11,0.0,0.0,1.0,1.0
R1794,11.781,2,36.1,88.1,1.0,1.0,1.0,1.0,1.0
R1794,11.781,2,36.1,88.1,1.72,1.0,1.0,1.0,1.0
R1794,11.781,2,36.1,88.1,2.97,1.0,1.0,1.0,1.0
R1794,11.781,2,36.1,88.1,5.12,1.0,1.0,1.0,1.0
R1794,11.781,2,36.1,88.1,8.82,1.0,1.0,1.0,1.0
R1794,11.781,2,36.1,88.1,15.2,1.0,1.0,1.0,1.0
R1794,11.781,2,36.1,88.1,26.19,1.0,0.0,1.0,1.0
R1794,11.781,2,36.1,88.1,45.14,1.0,0.0,1.0,1.0
R1794,11.781,2,36.1,88.1,77.79,1.0,0.0,1.0,1.0
R1794,11.781,2,36.1,88.1,134.05,1.0,0.0,1.0,1.0
R1794,11.781,2,36.1,88.1,231.01,1.0,0.0,1.0,1.0
R1794,11.781,2,36.1,88.1,398.11,1.0,0.0,1.0,1.0
R0386,21.102,4,319.7,77.2,1.0,1.0,1.0,1.0,1.0
R0386,21.102,4,319.7,77.2,1.72,1.0,1.0,1.0,1.0
R0386,21.102,4,319.7,77.2,2.97,1.0,1.0,1.0,1.0
R0386,21.102,4,319.7,77.2,5.12,1.0,1.0,1.0,1.0
R0386,21.102,4,319.7,77.2,8.82,1.0,1.0,1.0,1.0
R0386,21.102,4,319.7,77.2,15.2,1.0,0.0,1.0,1.0
R0386,21.102,4,319.7,77.2,26.19,1.0,0.0,1.0,1.0
R0386,21.102,4,319.7,77.2,45.14,1.0,0.0,1.0,1.0
R0386,21.102,4,319.7,77.2,77.79,1.0,0.0,1.0,1.0
R0386,21.102,4,319.7,77.2,134.05,1.0,0.0,1.0,1.0
R0386,21.102,4,319.7,77.2,231.01,0.5,0.0,1.0,1.0
R0386,21.102,4,319.7,77.2,398.11,0.0,0.0,1.0,1.0
R0269,8.461,5,182.4,67.5,1.0,1.0,1.0,1.0,1.0
R0269,8.461,5,182.4,67.5,1.72,1.0,1.0,1.0,1.0
R0269,8.461,5,182.4,67.5,2.97,1.0,1.0,1.0,1.0
R0269,8.461,5,182.4,67.5,5.12,1.0,1.0,1.0,1.0
R0269,8.461,5,182.4,67.5,8.82,1.0,1.0,1.0,1.0
R0269,8.461,5,182.4,67.5,15.2,1.0,0.7,1.0,1.0
R0269,8.461,5,182.4,67.5,26.19,1.0,0.0,1.0,1.0
R0269,8.461,5,182.4,67.5,45.14,1.0,0.0,1.0,1.0
R0269,8.461,5,182.4,67.5,77.79,1.0,0.0,1.0,1.0
R0269,8.461,5,182.4,67.5,134.05,1.0,0.0,1.0,1.0
R0269,8.461,5,182.4,67.5,231.01,0.2,0.0,1.0,1.0
R0269,8.461,5,182.4,67.5,398.11,0.0,0.0,1.0,1.0
R2093,7.211,4,122.7,89.4,1.0,1.0,1.0,1.0,1.0
R2093,7.211,4,122.7,89.4,1.72,1.0,1.0,1.0,1.0
R2093,7.211,4,122.7,89.4,2.97,1.0,1.0,1.0,1.0
R2093,7.211,4,122.7,89.4,5.12,1.0,1.0,1.0,1.0
R2093,7.211,4,122.7,89.4,8.82,1.0,1.0,1.0,1.0
R2093,7.211,4,122.7,89.4,15.2,1.0,0.9,1.0,1.0
R2093,7.211,4,122.7,89.4,26.19,1.0,0.0,1.0,1.0
R2093,7.211,4,122.7,89.4,45.14,1.0,0.0,1.0,1.0
R2093,7.211,4,122.7,89.4,77.79,1.0,0.0,1.0,1.0
R2093,7.211,4,122.7,89.4,134.05,1.0,0.0,1.0,1.0
R2093,7.211,4,122.7,89.4,231.01,0.0,0.0,1.0,1.0
R2093,7.211,4,122.7,89.4,398.11,0.0,0.0,1.0,1.0
R0024,16.669,4,288.5,156.3,1.0,0.9,1.0,1.0,1.0
R0024,16.669,4,288.5,156.3,1.72,1.0,1.0,1.0,1.0
R0024,16.669,4,288.5,156.3,2.97,1.0,1.0,1.0,1.0
