rocket_id,td,Iyy,wind,latency,Kp,sr
R0024,156.25481013841963,0.0051563210769216,0.22,6,8,0.8
R0024,156.25481013841963,0.0051563210769216,0.22,6,12,0.8
R0024,156.25481013841963,0.0051563210769216,0.22,6,18,1.0
R0024,156.25481013841963,0.0051563210769216,0.22,6,27,0.8
R0024,156.25481013841963,0.0051563210769216,0.22,6,40,1.0
R0024,156.25481013841963,0.0051563210769216,0.22,6,60,0.8
R0024,156.25481013841963,0.0051563210769216,0.22,6,90,0.2
R0024,156.25481013841963,0.0051563210769216,0.22,6,130,0.0
R0024,156.25481013841963,0.0051563210769216,0.22,6,190,0.0
R0024,156.25481013841963,0.0051563210769216,0.22,6,270,0.0
R0024,156.25481013841963,0.0051563210769216,0.22,6,320,0.0
R0024,156.25481013841963,0.0051563210769216,0.32,1,1,0.8
R0024,156.25481013841963,0.0051563210769216,0.32,1,2,1.0
R0024,156.25481013841963,0.0051563210769216,0.32,1,3,1.0
R0024,156.25481013841963,0.0051563210769216,0.32,1,5,1.0
R0024,156.25481013841963,0.0051563210769216,0.32,1,8,1.0
R0024,156.25481013841963,0.0051563210769216,0.32,1,12,1.0
R0024,156.25481013841963,0.0051563210769216,0.32,1,18,1.0
R0024,156.25481013841963,0.0051563210769216,0.32,1,27,1.0
R0024,156.25481013841963,0.0051563210769216,0.32,1,40,1.0
R0024,156.25481013841963,0.0051563210769216,0.32,1,60,1.0
R0024,156.25481013841963,0.0051563210769216,0.32,1,90,1.0
R0024,156.25481013841963,0.0051563210769216,0.32,1,130,1.0
R0024,156.25481013841963,0.0051563210769216,0.32,1,190,1.0
R0024,156.25481013841963,0.0051563210769216,0.32,1,270,1.0
R0024,156.25481013841963,0.0051563210769216,0.32,1,320,1.0
R0024,156.25481013841963,0.0051563210769216,0.32,3,1,0.2
R0024,156.25481013841963,0.0051563210769216,0.32,3,2,0.6
R0024,156.25481013841963,0.0051563210769216,0.32,3,3,0.2
R0024,156.25481013841963,0.0051563210769216,0.32,3,5,0.8
R0024,156.25481013841963,0.0051563210769216,0.32,3,8,1.0
R0024,156.25481013841963,0.0051563210769216,0.32,3,12,0.8
R0024,156.25481013841963,0.0051563210769216,0.32,3,18,1.0
R0024,156.25481013841963,0.0051563210769216,0.32,3,27,1.0
R0024,156.25481013841963,0.0051563210769216,0.32,3,40,1.0
R0024,156.25481013841963,0.0051563210769216,0.32,3,60,1.0
R0024,156.25481013841963,0.0051563210769216,0.32,3,90,1.0
R0024,156.25481013841963,0.0051563210769216,0.32,3,130,1.0
R0024,156.25481013841963,0.0051563210769216,0.32,3,190,1.0
R0024,156.25481013841963,0.0051563210769216,0.32,3,270,0.8
R0024,156.25481013841963,0.0051563210769216,0.32,3,320,0.6
R0024,156.25481013841963,0.0051563210769216,0.32,6,1,0.0
R0024,156.25481013841963,0.0051563210769216,0.32,6,2,0.0
R0024,156.25481013841963,0.0051563210769216,0.32,6,3,0.2
R0024,156.25481013841963,0.0051563210769216,0.32,6,5,0.8
R0024,156.25481013841963,0.0051563210769216,0.32,6,8,0.6
R0024,156.25481013841963,0.0051563210769216,0.32,6,12,1.0
R0024,156.25481013841963,0.0051563210769216,0.32,6,18,1.0
R0024,156.25481013841963,0.0051563210769216,0.32,6,27,0.8
