cell_id,regime_label,regime_code,robustness,p_unstable,servo_slew_deg_s,max_gimbal_deg,u_max_frac,Kp,Kd,max_ang_accel_deg_s2,rise_time_s,settling_time_s,overshoot_pct,peak_att_rate_deg_s,control_effort_usage,actuator_sat_frac,slew_sat_frac,success_like_rate,rms_err_deg,peak_err_deg,end_err_deg,n_trials,rise_reached_frac,settled_frac,bounded_window_s,boundary_slew_deg_s,slew_margin_to_boundary,agility_index
43,FRAGILE,1,0.666666666666667,1,75,12,0.8,10,16,251.03234614897,0.9075,NaN,46.8225207328718,76.1312432876266,0.696261253870652,0.37624750499002,0.998,0,15.3855271663435,25.0244791495583,10.7075241653968,2,1,0,2.5,90,-15,2.37268946780524
44,FRAGILE,1,0.666666666666667,1,75,15,1,10,16,251.03234614897,0.9075,NaN,46.8225207328718,76.1312432876266,0.623542289253183,0.289421157684631,0.998,0,15.3855271663435,25.0244791495583,10.7075241653968,2,1,0,2.5,90,-15,2.37268946780524
45,EASY,2,1,1,90,8,0.533333333333333,10,16,272.473519144405,1.225,NaN,8.81359986405864,55.321259461227,0.744595623815589,0.496007984031936,0.996,0,15.0010398704873,24.1309081927283,13.249446748093,2,1,0,2.5,90,0,6.7652069145843
46,EASY,2,1,1,90,10,0.666666666666667,10,16,272.473519144405,1.225,NaN,8.81359986405864,55.321259461227,0.680392812893807,0.358283433133733,0.996,0,15.0010398704873,24.1309081927283,13.249446748093,2,1,0,2.5,90,0,6.7652069145843
47,EASY,2,1,1,90,12,0.8,10,16,272.473519144405,1.225,NaN,8.81359986405864,55.321259461227,0.618782171226736,0.274451097804391,0.996,0,15.0010398704873,24.1309081927283,13.249446748093,2,1,0,2.5,90,0,6.7652069145843
48,EASY,2,1,1,90,15,1,10,16,272.473519144405,1.225,NaN,8.81359986405864,55.321259461227,0.534292063429768,0.130738522954092,0.996,0,15.0010398704873,24.1309081927283,13.249446748093,2,1,0,2.5,90,0,6.7652069145843
49,INFEASIBLE,0,0,2,20,8,0.533333333333333,10,16,111.812277769809,0.9925,NaN,149.553197160705,85.5848893188301,0.820396225878918,0.703592814371258,0.998,0,66.3629145151407,90,90,2,1,0,1.5175,NaN,NaN,-2.02797578106672
50,INFEASIBLE,0,0,2,20,10,0.666666666666667,10,16,111.812277769809,0.9925,NaN,149.553197160705,85.5848893188301,0.793623082839812,0.671656686626746,0.998,0,66.3629145151407,90,90,2,1,0,1.5175,NaN,NaN,-2.02797578106672
51,INFEASIBLE,0,0,2,20,12,0.8,10,16,111.812277769809,0.9925,NaN,149.553197160705,85.5848893188301,0.770802461342029,0.643712574850299,0.998,0,66.3629145151407,90,90,2,1,0,1.5175,NaN,NaN,-2.02797578106672
52,INFEASIBLE,0,0,2,20,15,1,10,16,111.812277769809,0.9925,NaN,149.553197160705,85.5848893188301,0.740720944198251,0.600798403193613,0.998,0,66.3629145151407,90,90,2,1,0,1.5175,NaN,NaN,-2.02797578106672
53,INFEASIBLE,0,0,2,30,8,0.533333333333333,45,24,193.033010597439,1.04,NaN,148.762146146084,127.681349768261,0.968343893028941,0.937125748502994,1,0,78.1036786378172,90,90,2,1,0,1.3525,NaN,NaN,-1.26219936905144
54,INFEASIBLE,0,0,2,30,10,0.666666666666667,45,24,193.033010597439,1.04,NaN,148.762146146084,127.681349768261,0.960160726353301,0.919161676646707,1,0,78.1036786378172,90,90,2,1,0,1.3525,NaN,NaN,-1.26219936905144
55,INFEASIBLE,0,0,2,30,12,0.8,45,24,193.033010597439,1.04,NaN,148.762146146084,127.681349768261,0.951796840842515,0.903193612774451,1,0,78.1036786378172,90,90,2,1,0,1.3525,NaN,NaN,-1.26219936905144
