policy,p_unstable,slew_scale,util_frac,actual_slew_deg_s,actual_u_max_deg,design_slew_deg_s,design_u_max_deg,gain1,gain2,success_rate,rms_deg,peak_deg
VALIDATOR_LQR,12,1,1,90,10,90,8.5,37.5959179422655,3.05244554295358,1,1.17399876667486,4.74176262386971
NOMINAL_PD,12,1,0.75,90,7.5,90,10,30,3,1,1.4517379613843,5.1562000702826
MEASURED_PD,12,1,0.75,90,7.5,90,7.5,30,3,1,1.4517379613843,5.1562000702826
VALIDATOR_LQR,12,1,0.75,90,7.5,90,7.5,37.5959179422655,3.05244554295358,1,1.17399876667486,4.74176262386971
NOMINAL_PD,12,1,0.55,90,5.5,90,10,30,3,1,1.4517379613843,5.1562000702826
MEASURED_PD,12,1,0.55,90,5.5,90,5.5,30,3,1,1.4517379613843,5.1562000702826
VALIDATOR_LQR,12,1,0.55,90,5.5,90,5.5,37.5959179422655,3.05244554295358,1,1.17399876667486,4.74176262386971
NOMINAL_PD,12,1,0.35,90,3.5,90,10,30,3,1,1.4517379613843,5.1562000702826
MEASURED_PD,12,1,0.35,90,3.5,90,3.5,30,3,1,1.45542621421583,5.16113545065187
VALIDATOR_LQR,12,1,0.35,90,3.5,90,3.5,37.5959179422655,3.05244554295358,1,1.2002284974596,4.77905085746761
NOMINAL_PD,12,0.7,1,63,10,90,10,30,3,1,1.4517379613843,5.1562000702826
MEASURED_PD,12,0.7,1,63,10,63,10,30,3,1,1.4517379613843,5.1562000702826
VALIDATOR_LQR,12,0.7,1,63,10,63,8.5,37.5959179422655,3.05244554295358,1,1.17779369353806,4.75176786105819
NOMINAL_PD,12,0.7,0.75,63,7.5,90,10,30,3,1,1.4517379613843,5.1562000702826
MEASURED_PD,12,0.7,0.75,63,7.5,63,7.5,30,3,1,1.4517379613843,5.1562000702826
VALIDATOR_LQR,12,0.7,0.75,63,7.5,63,7.5,37.5959179422655,3.05244554295358,1,1.17779369353806,4.75176786105819
NOMINAL_PD,12,0.7,0.55,63,5.5,90,10,30,3,1,1.4517379613843,5.1562000702826
MEASURED_PD,12,0.7,0.55,63,5.5,63,5.5,30,3,1,1.4517379613843,5.1562000702826
VALIDATOR_LQR,12,0.7,0.55,63,5.5,63,5.5,37.5959179422655,3.05244554295358,1,1.17779369353806,4.75176786105819
NOMINAL_PD,12,0.7,0.35,63,3.5,90,10,30,3,1,1.4517379613843,5.1562000702826
MEASURED_PD,12,0.7,0.35,63,3.5,63,3.5,30,3,1,1.45542621421583,5.16113545065187
VALIDATOR_LQR,12,0.7,0.35,63,3.5,63,3.5,37.5959179422655,3.05244554295358,1,1.20341542477772,4.7864353354619
NOMINAL_PD,12,0.5,1,45,10,90,10,30,3,1,1.46982176986668,5.21272878645951
MEASURED_PD,12,0.5,1,45,10,45,10,30,3,1,1.46982176986668,5.21272878645951
VALIDATOR_LQR,12,0.5,1,45,10,45,8.5,37.5959179422655,3.05244554295358,1,1.22795702848161,4.8886488688347
NOMINAL_PD,12,0.5,0.75,45,7.5,90,10,30,3,1,1.46982176986668,5.21272878645951
MEASURED_PD,12,0.5,0.75,45,7.5,45,7.5,30,3,1,1.46982176986668,5.21272878645951
VALIDATOR_LQR,12,0.5,0.75,45,7.5,45,7.5,37.5959179422655,3.05244554295358,1,1.22795702848161,4.8886488688347
NOMINAL_PD,12,0.5,0.55,45,5.5,90,10,30,3,1,1.46982176986668,5.21272878645951
MEASURED_PD,12,0.5,0.55,45,5.5,45,5.5,30,3,1,1.46982176986668,5.21272878645951
VALIDATOR_LQR,12,0.5,0.55,45,5.5,45,5.5,37.5959179422655,3.05244554295358,1,1.22795702848161,4.8886488688347
NOMINAL_PD,12,0.5,0.35,45,3.5,90,10,30,3,1,1.46982176986668,5.21272878645951
MEASURED_PD,12,0.5,0.35,45,3.5,45,3.5,30,3,1,1.48080493683042,5.23011679020734
VALIDATOR_LQR,12,0.5,0.35,45,3.5,45,3.5,37.5959179422655,3.05244554295358,1,1.25985771680488,4.92502649385512
NOMINAL_PD,12,0.35,1,31.5,10,90,10,30,3,1,1.60185395407707,5.62519647681782
MEASURED_PD,12,0.35,1,31.5,10,31.5,10,30,3,1,1.60185395407707,5.62519647681782
VALIDATOR_LQR,12,0.35,1,31.5,10,31.5,3.75,53.8329457343378,4.21092282995545,0.5,45.3988766533724,46.5819363936469
NOMINAL_PD,12,0.35,0.75,31.5,7.5,90,10,30,3,1,1.60185395407707,5.62519647681782
MEASURED_PD,12,0.35,0.75,31.5,7.5,31.5,7.5,30,3,1,1.60185395407707,5.62519647681782
VALIDATOR_LQR,12,0.35,0.75,31.5,7.5,31.5,3.75,53.8329457343378,4.21092282995545,0.5,45.3988766533724,46.5819363936469
NOMINAL_PD,12,0.35,0.55,31.5,5.5,90,10,30,3,1,1.60185395407707,5.62519647681782
MEASURED_PD,12,0.35,0.55,31.5,5.5,31.5,5.5,30,3,1,1.60185395407707,5.62519647681782
VALIDATOR_LQR,12,0.35,0.55,31.5,5.5,31.5,3.75,53.8329457343378,4.21092282995545,0.5,45.3988766533724,46.5819363936469
NOMINAL_PD,12,0.35,0.35,31.5,3.5,90,10,30,3,1,1.60840672115183,5.62578782402407
MEASURED_PD,12,0.35,0.35,31.5,3.5,31.5,3.5,30,3,1,1.64950763210255,5.68359208686145
VALIDATOR_LQR,12,0.35,0.35,31.5,3.5,31.5,3.5,53.8329457343378,4.21092282995545,0.5,45.3988766533724,46.5819363936469
