rocket_id,group_type,td,keff,Iyy,best_Kp_exp1,lat_natural,wind_natural,wind,latency,kp_floor,kp_ceil,window_ratio,collapsed
R1526,FRAGILE,66.78993016253548,7.063009914611905,0.0149295391708157,168.58,5,0.2770599419256715,0.32,3,1,320,320.0,False
R1526,FRAGILE,66.78993016253548,7.063009914611905,0.0149295391708157,168.58,5,0.2770599419256715,0.32,6,5,90,18.0,False
R1526,FRAGILE,66.78993016253548,7.063009914611905,0.0149295391708157,168.58,5,0.2770599419256715,0.42,1,1,320,320.0,False
R1526,FRAGILE,66.78993016253548,7.063009914611905,0.0149295391708157,168.58,5,0.2770599419256715,0.42,3,1,320,320.0,False
R1526,FRAGILE,66.78993016253548,7.063009914611905,0.0149295391708157,168.58,5,0.2770599419256715,0.42,6,8,90,11.25,False
R1585,EASY,128.39313660552483,19.65290392039132,0.0087305812887679,168.58,2,0.1429515299014863,0.05,1,1,320,320.0,False
R1585,EASY,128.39313660552483,19.65290392039132,0.0087305812887679,168.58,2,0.1429515299014863,0.05,3,2,320,160.0,False
R1585,EASY,128.39313660552483,19.65290392039132,0.0087305812887679,168.58,2,0.1429515299014863,0.05,6,3,60,20.0,False
R1585,EASY,128.39313660552483,19.65290392039132,0.0087305812887679,168.58,2,0.1429515299014863,0.12,1,1,320,320.0,False
R1585,EASY,128.39313660552483,19.65290392039132,0.0087305812887679,168.58,2,0.1429515299014863,0.12,3,2,320,160.0,False
R1585,EASY,128.39313660552483,19.65290392039132,0.0087305812887679,168.58,2,0.1429515299014863,0.12,6,5,90,18.0,False
R1585,EASY,128.39313660552483,19.65290392039132,0.0087305812887679,168.58,2,0.1429515299014863,0.22,1,1,320,320.0,False
R1585,EASY,128.39313660552483,19.65290392039132,0.0087305812887679,168.58,2,0.1429515299014863,0.22,3,2,190,95.0,False
R1585,EASY,128.39313660552483,19.65290392039132,0.0087305812887679,168.58,2,0.1429515299014863,0.22,6,3,60,20.0,False
R1585,EASY,128.39313660552483,19.65290392039132,0.0087305812887679,168.58,2,0.1429515299014863,0.32,1,1,320,320.0,False
R1585,EASY,128.39313660552483,19.65290392039132,0.0087305812887679,168.58,2,0.1429515299014863,0.32,3,3,190,63.333333333333336,False
R1585,EASY,128.39313660552483,19.65290392039132,0.0087305812887679,168.58,2,0.1429515299014863,0.32,6,8,60,7.5,False
R1585,EASY,128.39313660552483,19.65290392039132,0.0087305812887679,168.58,2,0.1429515299014863,0.42,1,1,320,320.0,False
R1585,EASY,128.39313660552483,19.65290392039132,0.0087305812887679,168.58,2,0.1429515299014863,0.42,3,1,190,190.0,False
R1585,EASY,128.39313660552483,19.65290392039132,0.0087305812887679,168.58,2,0.1429515299014863,0.42,6,8,40,5.0,False
R1641,FRAGILE,209.91106234246683,25.462129728160907,0.0075829148039415,96.31,4,0.0534468035174175,0.05,1,1,320,320.0,False
R1641,FRAGILE,209.91106234246683,25.462129728160907,0.0075829148039415,96.31,4,0.0534468035174175,0.05,3,12,190,15.833333333333334,False
R1641,FRAGILE,209.91106234246683,25.462129728160907,0.0075829148039415,96.31,4,0.0534468035174175,0.05,6,12,40,3.3333333333333335,False
R1641,FRAGILE,209.91106234246683,25.462129728160907,0.0075829148039415,96.31,4,0.0534468035174175,0.12,1,1,320,320.0,False
R1641,FRAGILE,209.91106234246683,25.462129728160907,0.0075829148039415,96.31,4,0.0534468035174175,0.12,3,8,190,23.75,False
R1641,FRAGILE,209.91106234246683,25.462129728160907,0.0075829148039415,96.31,4,0.0534468035174175,0.12,6,18,60,3.3333333333333335,False
R1641,FRAGILE,209.91106234246683,25.462129728160907,0.0075829148039415,96.31,4,0.0534468035174175,0.22,1,1,320,320.0,False
R1641,FRAGILE,209.91106234246683,25.462129728160907,0.0075829148039415,96.31,4,0.0534468035174175,0.22,3,8,190,23.75,False
R1641,FRAGILE,209.91106234246683,25.462129728160907,0.0075829148039415,96.31,4,0.0534468035174175,0.22,6,18,60,3.3333333333333335,False
R1641,FRAGILE,209.91106234246683,25.462129728160907,0.0075829148039415,96.31,4,0.0534468035174175,0.32,1,1,320,320.0,False
R1641,FRAGILE,209.91106234246683,25.462129728160907,0.0075829148039415,96.31,4,0.0534468035174175,0.32,3,8,270,33.75,False
R1641,FRAGILE,209.91106234246683,25.462129728160907,0.0075829148039415,96.31,4,0.0534468035174175,0.32,6,18,40,2.2222222222222223,False
R1641,FRAGILE,209.91106234246683,25.462129728160907,0.0075829148039415,96.31,4,0.0534468035174175,0.42,1,1,320,320.0,False
R1641,FRAGILE,209.91106234246683,25.462129728160907,0.0075829148039415,96.31,4,0.0534468035174175,0.42,3,5,190,38.0,False
R1641,FRAGILE,209.91106234246683,25.462129728160907,0.0075829148039415,96.31,4,0.0534468035174175,0.42,6,40,60,1.5,False
R1648,EASY,213.67197467696982,17.8146626316146,0.0127395659467984,26.73,4,0.3391225453944487,0.05,1,1,320,320.0,False
R1648,EASY,213.67197467696982,17.8146626316146,0.0127395659467984,26.73,4,0.3391225453944487,0.05,3,1,320,320.0,False
R1648,EASY,213.67197467696982,17.8146626316146,0.0127395659467984,26.73,4,0.3391225453944487,0.05,6,8,18,2.25,False
R1648,EASY,213.67197467696982,17.8146626316146,0.0127395659467984,26.73,4,0.3391225453944487,0.12,1,1,320,320.0,False
R1648,EASY,213.67197467696982,17.8146626316146,0.0127395659467984,26.73,4,0.3391225453944487,0.12,3,1,270,270.0,False
