rocket_id,design_id,regime_label,kp_simple,kd_simple,kp_full,kd_full,sr_simple_in_full,sr_full_in_full,sr_gap,sr_simple_go,sr_full_go,decision_agrees,false_approval,false_rejection,rms_simple_in_full,rms_full_in_full,rms_gap,p_unstable,mass,Iyy,static_margin,Cm_alpha,control_effectiveness,motor_scale,servo_slew_deg_s,max_gimbal_deg,latency_steps,deadband,backlash,wind_strength,final_label,nom_sr,sr_full_in_full_v2,sr_gap_v2,full_go_v2,simple_go,false_approval_v2,false_rejection_v2
R0025,25,EASY,46.78,16.0,69.63,1.0,1.0,1.0,0.0,1,1,1,0,0,2.3807748499364667,0.6274389894737697,-1.753335860462697,0.0,1.0795738963649573,0.0502212953208751,-0.0784420085044934,-89.96115973234673,13.824017052229769,2.8961131253304204,119.22626822303042,3.8968095161404,4,0.0786206322371576,0.2194021938919779,0.2697985925526171,EASY,,1.0,0.0,1,1,0,0
R0026,26,EASY,320.0,1.0,22.73,1.0,0.0,1.0,1.0,0,1,0,0,1,444.29505073568026,4.635642684070423,-439.6594080516098,1.7908577823416825,1.1936054182620537,0.006392292542218,0.2457744510215065,-39.46144878556352,6.982563279445123,2.63630825228428,94.10356561609927,14.200493487560284,5,0.0694731025291148,0.0577535363105572,0.1831154683549548,FRAGILE,0.6666666666666666,0.6666666666666666,0.6666666666666666,1,0,0,1
R0027,27,EASY,6.84,4.0,88.81,1.0,1.0,1.0,0.0,1,1,1,0,0,4.772930973690367,0.8095787111319478,-3.963352262558419,3.4016453124477226,0.6340069652033831,0.0194335535448571,0.187614438347647,-46.9052490597297,11.63911736013118,0.601583916538589,107.25580754486418,12.644850444571237,4,0.0652564026612817,0.0967736444238115,0.3423122180538467,EASY,,1.0,0.0,1,1,0,0
R0028,28,EASY,168.58,1.0,113.27,1.0,0.6666666666666666,1.0,0.3333333333333333,1,1,1,0,0,5.524599816186531,3.733880889116086,-1.7907189270704449,0.0,0.7088931139319269,0.0060272854846315,-0.130077020712503,-42.70580142662645,13.13831571760349,2.833556025773941,191.00307543303805,13.94233453894132,3,0.047693773602609,0.2001306170200221,0.0956167005465397,EASY,0.9666666666666668,0.9666666666666668,0.30000000000000016,1,1,0,0
R0029,29,EASY,16.56,16.0,70.18,1.0,0.6666666666666666,1.0,0.3333333333333333,1,1,1,0,0,6.5616657782625225,1.2031628624401949,-5.358502915822328,0.0,0.9805308613822952,0.0206330469393942,-0.2983896379457375,-41.923245453311104,8.401891506340549,2.9909278081766715,64.3815822920292,4.60901541492229,3,0.1184719260453949,0.1693873681173401,0.1681441220882575,EASY,,1.0,0.33333333333333337,1,1,0,0
R0030,30,EASY,4.6,4.0,8.72,1.0,0.6666666666666666,1.0,0.3333333333333333,1,1,1,0,0,6.987081070303296,1.3374366662116737,-5.649644404091623,1.4614371588660315,0.6476760553307416,0.0833291933753918,0.1311052985439219,-55.18980911519597,7.06449476100617,2.203417758313959,99.655486505169,13.259273767872331,5,0.0936582456254113,0.2270426926305255,0.1377933858696562,EASY,,1.0,0.33333333333333337,1,1,0,0
R0031,31,EASY,46.78,16.0,24.65,1.0,0.6666666666666666,1.0,0.3333333333333333,1,1,1,0,0,7.121636013751691,1.004677552539597,-6.116958461212094,0.0,0.7029451142434507,0.0314815145840067,-0.1117147200295004,-45.09298741656256,11.534152852667717,1.7464320137087548,102.24391867838358,5.466336462121175,2,0.0147598094885904,0.1722910259017766,0.1662121401698465,EASY,,1.0,0.33333333333333337,1,1,0,0
R0032,32,EASY,4.6,4.0,59.67,1.0,1.0,1.0,0.0,1,1,1,0,0,1.6659986092638677,0.5730405368065595,-1.092958072457308,0.8536432983400702,0.8326712959046172,0.0975004043526234,0.0346926814897752,-79.92878615823544,8.929433886141044,0.948479978179419,160.28137892396657,5.964700489720219,5,0.0840975249992403,0.1699852131021945,0.2646802586183616,EASY,,1.0,0.0,1,1,0,0
R0033,33,EASY,295.07,4.0,81.89,1.0,1.0,1.0,0.0,1,1,1,0,0,1.144434112929943,0.5895305540410952,-0.5549035588888477,0.0,0.5082969804849354,0.034093767718876,-0.2798332105920133,-53.55703320336811,11.841705423636904,1.259949461771408,135.48248751448986,5.514764424009472,5,0.1152257260018533,0.2281667601964993,0.1440907801477391,EASY,,1.0,0.0,1,1,0,0
R0034,34,EASY,6.31,4.0,113.27,1.0,1.0,1.0,0.0,1,1,1,0,0,2.803862962036453,0.4615641316600243,-2.342298830376429,2.703550159017046,0.7761126274317647,0.0888565759463548,0.252874321270734,-48.25080715495335,13.07073889029191,1.830832561556844,158.7805422093984,3.495407851050417,2,0.0388812198795737,0.1262016773213451,0.3090189909667413,EASY,,1.0,0.0,1,1,0,0
