rocket_id,design_id,regime_label,best_Kp,best_Kd,grad_magnitude,topology_class,best_param,best_direction,best_magnitude,p_unstable,mass,Iyy,static_margin,Cm_alpha,control_effectiveness,thrust,servo_slew_deg_s,max_gimbal_deg,latency_steps,deadband,backlash,wind_strength,grad_rms_mass,grad_rms_Iyy,grad_rms_static_margin,grad_rms_Cm_alpha,grad_rms_control_effectiveness,grad_rms_thrust,grad_rms_servo_slew_deg_s,grad_rms_max_gimbal_deg,grad_rms_deadband,grad_rms_backlash,grad_rms_wind_strength,grad_rms_latency_steps,curv_rms_mass,curv_rms_Iyy,curv_rms_static_margin,curv_rms_Cm_alpha,curv_rms_control_effectiveness,curv_rms_thrust,curv_rms_servo_slew_deg_s,curv_rms_max_gimbal_deg,curv_rms_deadband,curv_rms_backlash,curv_rms_wind_strength,topology_class_pop
R0888,888,INFEASIBLE,10.0,4.0,135.84182159396264,bowl,Cm_alpha,+,70.07321263165366,2.2674072485042727,1.2393631446013331,0.025316969364211,0.2384170120644885,-47.72721057226502,9.303009930595884,32.599345661355336,38.52293045163946,12.804074173345327,5,0.0404820395517301,0.1115967299035105,0.1405773000311366,-21.24979914939708,-110.9639053318194,194.65785686894637,-1.7518303157913415,-0.9360967365520458,-1.8215449005842856,-0.40704732649506814,1.284078611664498,96.74893142650589,21.453541500388415,212.77880136748757,0.5652435604443262,-2090.716731802466,1538193.026431875,-5309044.476977793,-0.5927310960651688,-39.83628849310643,-2.6221878096053843,0.01113110868604167,-42.94294290934813,-77519.62030819413,-68508.32012811882,-1847.9783344492332,bowl
R0889,889,EASY,10.0,8.0,25.11515403607383,bowl,max_gimbal_deg,+,16.153970626710105,0.3278720418403493,1.3683021318519335,0.0225810167696668,0.0422573328840189,-44.5826009792133,8.441509760879082,42.735378581378896,109.41730686386671,8.129628789261815,1,0.1405471096575507,0.0859802173311116,0.0726566078156945,-1.4071671753522814,134.18311921295629,-54.53770580076214,0.12651614472232708,-0.3317675774440956,0.4529473615780308,-0.038186690640838884,-2.307710089530015,0.0,-28.385041036558903,5.061511420967201,0.6841370630047221,-374.2694629900655,165783.78639030503,-327435.06719849195,-0.05537523206857298,9.722064172032136,-0.8990485123970018,0.03351653052737465,-134.10255210341356,0.0,26268.852292506926,3218.0608355861523,bowl
R0890,890,EASY,10.0,4.0,14.050865548742664,bowl,servo_slew_deg_s,+,9.303533017306139,0.3776839350755997,1.6668201771443445,0.0349474351606934,0.0484673445744053,-37.05985348071496,13.742803758994771,29.275895001021976,56.92092812042977,13.87665007349544,2,0.1236562341030512,0.1864381062208556,0.103857262637505,1.128398215993286,-12.350897763351732,10.074072923933565,-0.07204757975130538,-0.02278310499432022,-0.12277842816074358,-0.09303533017306138,0.25132760290522277,0.0,20.70142341476325,18.90641106202158,0.13360580022129254,-597.8399246576213,-290365.73730178864,-17562.44617020391,-0.19348006420500563,0.19990314429396303,-0.5146433954739598,-0.040072623057344894,-0.07052742602454191,0.0,-1750.6077364002008,-7003.562152100171,plateau
R0891,891,FRAGILE,20.0,4.0,23.105544259183024,bowl,servo_slew_deg_s,+,17.830592146471602,1.031873493308998,1.6735011754050682,0.02505422371724,0.1255309637232947,-48.46160884532833,11.902265953040992,44.98894675401698,43.76434338988805,10.077405852577677,2,0.1251267922615138,0.2173177462239627,0.2654965101115262,-5.876545406931716,-238.11137882727093,29.033543281874547,-0.09728053711700668,0.30091460578035056,0.019559265840859652,-0.17830592146471602,0.7774895764555375,-2.3482382235109474,4.1086824068122105,13.216450317563032,-0.12629840800979864,-767.0745228824746,-1403188.6032285972,-44175.40066247033,-0.9733263845799103,-4.494930480460374,-1.0881633157963473,-0.07095310707464286,-18.83315956748516,1544.850694668264,-3123.7342062489633,-5149.052600503632,bowl
R0892,892,EASY,10.0,4.0,36.08112571654312,bowl,max_gimbal_deg,+,14.609538706124145,1.1550421462563254,1.320930712404653,0.0105193876987282,0.1385372669034372,-42.67037180856662,6.878976499502605,33.90406557933115,81.51013776430247,9.348391835799788,4,0.1498240382196736,0.0630953647386786,0.0817767835634807,1.4331633806905928,-338.4847061576313,-23.665318260159808,-0.1441954984410112,-0.09474424992066703,0.653074449080879,0.19764093296831886,-2.087076958017735,0.0,-53.57880824083059,-23.629437320348696,0.5874870649159538,579.0987299973251,12155623.584739814,-16191.052734704586,0.3592944725456677,-2.489037957909391,-0.8963496713988929,-0.08117268390479022,-2.226211728936705,0.0,-19350.013402965862,-7311.6191412042745,bowl
R0893,893,FRAGILE,20.0,4.0,19.031988655535887,bowl,Cm_alpha,+,9.919848451342093,1.035336913696093,1.913818711377512,0.0334109671379147,0.1576698869695894,-32.41834365919358,12.682658323495549,31.54838384433508,52.76413430352704,13.060795946044376,2,0.0213530034982594,0.1754969416900547,0.4285680806645586,-3.2929886708162925,45.75413852897632,51.75819945640318,-0.24799621128355231,-0.4793293889384868,-0.13364563168924892,-0.08287489713165366,0.13107872244632357,-23.73089640273746,11.079032925274486,11.044558307779385,-0.06464551371022154,-105.32155921063139,-1048492.2485484708,6071.3946648939545,0.003597467597596715,-2.8334295876264446,0.10254756116865964,-0.004911379580279203,-9.388391875935433,-18801.658590024508,-7392.592287990156,2008.0946269889573,plateau
R0894,894,EASY,80.0,4.0,24.350704306416144,bowl,max_gimbal_deg,+,8.812136446208543,0.634067423166439,1.7474923752511111,0.0364808360701622,0.0566637383492196,-64.58546385088614,11.04369916237017,43.1191795137545,72.74710722665941,10.944844800565582,4,0.08450018465485,0.2298500316833563,0.2521293810484096,-1.0317335212181395,592.3978393919413,20.514266404951844,-0.018910263898186175,0.5646440720620501,0.30289152584066664,-0.0726880275025084,-1.258876635172649,3.9802549528419147,17.97983046648229,-12.237792321273389,-0.12523903051118035,558.2041267868641,494857.2381571203,9320.298815711176,-0.07826244591820597,4.627743120110632,0.5795722674106958,0.02758700603929995,3.16596583674359,0.0,10016.364398748834,-907.0810098719578,bowl
R0895,895,INFEASIBLE,10.0,4.0,51.90777529450067,bowl,servo_slew_deg_s,+,24.30207127452773,1.223900174403296,1.340222993046901,0.0115025861431953,0.1535801158234057,-42.83450946664726,10.214679531345649,37.39615411454016,86.56182892033567,13.807296450868144,3,0.0852011915632212,0.1802663750012759,0.380207198536748,12.699677108169272,587.4243363139473,175.30917232727668,-0.17592029361813122,-0.15553455372306604,-0.27839900940624107,-0.2430207127452773,1.1451891772058596,-13.252782929635613,13.714110055821594,30.8020199483747,-0.18908780490918353,108.82550595552054,1884243.5684845175,33084.50675591861,0.2692452751473269,10.841169256622292,2.133966103431524,0.18576707480944976,31.68061446673453,0.0,14686.455312795462,3392.444409193385,bowl
R0896,896,FRAGILE,20.0,4.0,111.10432736964928,cliff,thrust,+,29.777180578364394,2.44910562662813,0.9560589158745412,0.0140552585386559,0.205162058829152,-67.22728496273446,12.58420356933171,41.05173971399206,33.458598550271134,11.72262609306311,3,0.1158550672070883,0.0878514794098231,0.0822449325322141,7.5373006503684294,47.7054867602315,312.7378658631622,-0.5272824050343394,-0.49557609180710965,-1.1910872231345757,-0.21969292651662062,-0.5814572057742653,0.0,-21.324208249609317,201.07622538035784,-0.12730063302272754,764.1278744561591,-1701204.1509235264,-31865.5520162499,-2.8933761262247724,-10.632048786156968,-1.4889130646647448,0.174720114997061,-43.06292904645813,0.0,-29894.236981987982,-22509.245789746263,cliff
R0897,897,FRAGILE,20.0,4.0,36.69305471476678,bowl,backlash,+,11.987020319771975,0.5899396697641791,1.3103189409703486,0.0219205281662489,0.0868925379272612,-39.915532231575455,13.70120254302941,44.7398958595163,50.67251633878588,10.217247263420669,4,0.029539229205956,0.1805802865105998,0.0560588985645898,-5.099976841376215,-196.89133233671492,37.59456228572177,-0.05623164287913274,-0.4882620473624943,0.14813103060142083,0.18072198520695051,0.29036441639632066,-28.950847440306827,-47.9480812790879,65.48549745007384,0.3452559584675128,-734.5351121619879,-1096262.9755328707,-10066.005132478824,-0.20910080804322329,-15.474473609362065,-0.34792229030460303,-0.1329614324884232,6.3391613404559095,5312.431917714888,3407.3066905719143,-58908.14767715653,bowl
R0898,898,EASY,20.0,4.0,69.2614109464105,bowl,Cm_alpha,+,17.752935858862983,2.199973190214348,1.3783642768454636,0.0309926470576429,0.2184584793952693,-57.94765258850151,11.42899457771404,42.85841329981168,64.83055198120377,10.261569991243086,3,0.0169268022483194,0.0258021818731636,0.1355549056598237,14.082376778501336,-23.163381640092837,212.8510100699541,-0.44382339647157454,-1.9284785303394545,-0.39595067186419863,-0.09170061780268908,1.8078889538852108,34.61117334525502,53.51047751947554,97.92580931346113,-0.25152068768621927,-253.44222672382298,474986.21846967516,-14064.334039648082,-0.5650264177386077,-20.771298409850548,-2.18283779874427,-0.17229334769804516,44.45870937896717,0.0,-3982.7727212628806,-3769.4278633181702,bowl
