rocket_id,regime_label,theta0_deg,sr,rms_deg,peak_deg,diverge_rate,best_Kp,best_Kd,Iyy,authority_inertia_ratio,static_margin,motor_scale,max_gimbal_deg,wind_strength,servo_slew_deg_s,p_unstable
R0504,FRAGILE,2.0,0.8,6.764981163338537,15.103573946723007,0.0,80.0,2.0,0.0171936037228453,2224.530033701332,0.1885020176476954,2.594373363589788,14.742553406463346,0.1876711824832981,184.92270041029468,1.3850401179636382
R0504,FRAGILE,3.0,0.4,7.615047434666204,18.01272817085352,0.0,80.0,2.0,0.0171936037228453,2224.530033701332,0.1885020176476954,2.594373363589788,14.742553406463346,0.1876711824832981,184.92270041029468,1.3850401179636382
R0504,FRAGILE,5.0,0.6,9.489918902800358,21.41783657092511,0.0,80.0,2.0,0.0171936037228453,2224.530033701332,0.1885020176476954,2.594373363589788,14.742553406463346,0.1876711824832981,184.92270041029468,1.3850401179636382
R0504,FRAGILE,7.0,0.2,10.066612903869032,22.535039987444954,0.0,80.0,2.0,0.0171936037228453,2224.530033701332,0.1885020176476954,2.594373363589788,14.742553406463346,0.1876711824832981,184.92270041029468,1.3850401179636382
R0504,FRAGILE,10.0,0.0,15.091845738072966,37.417125089130224,0.2,80.0,2.0,0.0171936037228453,2224.530033701332,0.1885020176476954,2.594373363589788,14.742553406463346,0.1876711824832981,184.92270041029468,1.3850401179636382
R0504,FRAGILE,13.0,0.0,19.097089837222676,47.270168013558404,0.6,80.0,2.0,0.0171936037228453,2224.530033701332,0.1885020176476954,2.594373363589788,14.742553406463346,0.1876711824832981,184.92270041029468,1.3850401179636382
R0504,FRAGILE,17.0,0.0,25.418083366286826,56.834205903141104,0.6,80.0,2.0,0.0171936037228453,2224.530033701332,0.1885020176476954,2.594373363589788,14.742553406463346,0.1876711824832981,184.92270041029468,1.3850401179636382
R0504,FRAGILE,21.0,0.0,30.6435966311793,66.80930870529515,0.8,80.0,2.0,0.0171936037228453,2224.530033701332,0.1885020176476954,2.594373363589788,14.742553406463346,0.1876711824832981,184.92270041029468,1.3850401179636382
R0504,FRAGILE,25.0,0.0,38.856405678700426,82.50968494727529,1.0,80.0,2.0,0.0171936037228453,2224.530033701332,0.1885020176476954,2.594373363589788,14.742553406463346,0.1876711824832981,184.92270041029468,1.3850401179636382
R0504,FRAGILE,30.0,0.0,47.34702748322861,99.40007546557642,1.0,80.0,2.0,0.0171936037228453,2224.530033701332,0.1885020176476954,2.594373363589788,14.742553406463346,0.1876711824832981,184.92270041029468,1.3850401179636382
R0523,FRAGILE,0.0,1.0,1.1734011827003554,3.4002906302617637,0.0,80.0,1.0,0.0315892004537939,192.7494816525599,0.2999861240927406,0.8203342342786845,7.422342941278607,0.1153290037400089,68.61978564078377,2.657363593231934
R0523,FRAGILE,1.0,1.0,3.722900389868304,9.593061231920778,0.0,80.0,1.0,0.0315892004537939,192.7494816525599,0.2999861240927406,0.8203342342786845,7.422342941278607,0.1153290037400089,68.61978564078377,2.657363593231934
R0523,FRAGILE,2.0,0.2,9.121911968856566,26.196328581297536,0.0,80.0,1.0,0.0315892004537939,192.7494816525599,0.2999861240927406,0.8203342342786845,7.422342941278607,0.1153290037400089,68.61978564078377,2.657363593231934
