rocket_id,design_id,regime_label,kp_simple,kd_simple,kp_full,kd_full,sr_simple_in_full,sr_full_in_full,sr_gap,sr_simple_go,sr_full_go,decision_agrees,false_approval,false_rejection,rms_simple_in_full,rms_full_in_full,rms_gap,p_unstable,mass,Iyy,static_margin,Cm_alpha,control_effectiveness,motor_scale,servo_slew_deg_s,max_gimbal_deg,latency_steps,deadband,backlash,wind_strength
R0038,38,EASY,36.97,4.0,155.45,1.0,1.0,1.0,0.0,1,1,1,0,0,5.614014230427228,1.506228179948831,-4.1077860504783965,0.0,1.2765452238780644,0.014055160950743287,-0.15146256857470844,-84.01064346236224,12.865629436405507,1.6171547801656203,131.9772095165727,13.8820078405887,4,0.0353355729849772,0.1610231763976628,0.3616101907273984
R0039,39,EASY,3.6,4.0,69.63,1.0,0.6666666666666666,1.0,0.33333333333333337,1,1,1,0,0,11.390048040033449,0.6409379484277418,-10.749110091605708,0.03506787599637817,1.8844041984951687,0.014362189710852517,0.004768134885373976,-38.326506479008025,11.400096743478422,2.4410432529254606,111.33290665671623,11.607660713589247,1,0.04127288938918317,0.030314395213797654,0.21572994038172366
R0040,40,EASY,7.42,4.0,295.07,1.0,1.0,1.0,0.0,1,1,1,0,0,4.426581211138896,1.0675143215855913,-3.359066889553305,3.070760803002278,1.0670110415104632,0.02996985529997257,0.20530157946236,-86.12765060225975,7.667917018586984,2.980414521055223,146.1043924027455,3.7559610082591552,1,0.11897670610366833,0.11801576057580064,0.05631511961814758
R0041,41,EASY,46.78,16.0,132.17,1.0,0.6666666666666666,1.0,0.33333333333333337,1,1,1,0,0,4.056212210908544,0.5839476417596513,-3.472264569148893,0.0,1.7146623471856666,0.019616084272546103,-0.014193430170687915,-65.27704551712674,11.619727131993212,1.528332425424889,91.55547711692698,9.44664626793511,4,0.007821367168460948,0.04802036457031878,0.3147475617763139
R0042,42,EASY,36.68,4.0,155.45,1.0,1.0,1.0,0.0,1,1,1,0,0,3.813567779011683,0.55501229371926,-3.258555485292423,0.8270666293692776,1.780661356300318,0.032037129908885895,0.07764966111061161,-60.496738590043236,11.10998145196679,2.899752439204833,128.2002544341048,10.876031496456532,3,0.14341881602180506,0.02535517497386634,0.37676717665537535
R0043,43,EASY,43.14,16.0,22.73,1.0,0.6666666666666666,1.0,0.33333333333333337,1,1,1,0,0,8.246215221947308,0.5061519429504008,-7.7400632789969075,0.0,1.4513625874746228,0.03136391803047285,-0.10579689842048484,-50.59640036222612,13.728717773980453,1.67321079255454,196.33623315631803,11.12167347341214,4,0.11966200362805429,0.19373574778353858,0.19623752134506284
R0044,44,EASY,320.0,1.0,272.09,1.0,1.0,1.0,0.0,1,1,1,0,0,0.6921993572768436,0.551613860949968,-0.14058549632687556,0.298185433959777,1.3850012099813687,0.012328738987373493,0.023101196789896694,-71.98101153415381,13.381567629648929,2.795315711879031,185.52549526339007,9.299687533324338,2,0.025299876310144454,0.10801899283531251,0.29409112001391663
R0045,45,EASY,46.78,4.0,133.21,1.0,1.0,1.0,0.0,1,1,1,0,0,2.8985934600626755,0.8268072727411084,-2.071786187321567,3.481719508274678,1.521628841025291,0.016667615690072954,0.22283664019774768,-83.38435572785984,11.2765948547689,2.560080737138366,161.60759924209515,3.576930797188008,4,0.0260899069128491,0.029396669330714442,0.10336936264843738
R0046,46,EASY,46.78,16.0,81.89,1.0,1.0,1.0,0.0,1,1,1,0,0,3.301909107903611,0.769199836118679,-2.532709271784932,0.0,1.094280806870708,0.013931546783642666,-0.14349867543723374,-50.208581171155586,7.100695105838308,2.0209348396153963,74.24572392621995,2.286080278548168,5,0.00661863161516784,0.04805698727848291,0.10134077509530204
R0047,47,FRAGILE,252.87,1.0,50.74,1.0,0.0,1.0,1.0,0,1,0,0,1,16.726276097060776,1.614717094145793,-15.111559002914984,3.9212780356828807,1.5632436339678502,0.022694587843839154,0.24049103931214538,-86.43624295382278,13.605863739934513,2.5259988759444743,115.28564611432887,5.7750617101496085,6,0.13946774451242144,0.23725910729697616,0.32832483991957084
