rocket_id,td,latency_steps,best_Kp,best_Kd,ablation,sr,rms,final_label
R2069,81.02526498825114,5,36.97,1.0,no_noise,1.0,0.9847479987304182,EASY
R2069,81.02526498825114,5,36.97,1.0,no_backlash,1.0,3.248645989205394,EASY
R2069,81.02526498825114,5,36.97,1.0,no_deadband,1.0,3.652250405616029,EASY
R2069,81.02526498825114,5,36.97,1.0,min_latency,1.0,1.5078334880604707,EASY
R1080,89.61299441200431,5,113.27,1.0,full,0.9,2.479886698794343,FRAGILE
R1080,89.61299441200431,5,113.27,1.0,no_wind,1.0,2.3562617102632455,FRAGILE
R1080,89.61299441200431,5,113.27,1.0,no_slew,1.0,1.8443726609823234,FRAGILE
R1080,89.61299441200431,5,113.27,1.0,no_noise,1.0,1.0090772242163528,FRAGILE
R1080,89.61299441200431,5,113.27,1.0,no_backlash,0.9,2.3899619896356104,FRAGILE
R1080,89.61299441200431,5,113.27,1.0,no_deadband,0.9,2.6602748106998946,FRAGILE
R1080,89.61299441200431,5,113.27,1.0,min_latency,1.0,0.6013227808020416,FRAGILE
R0859,99.38261865341676,4,59.21,1.0,full,1.0,3.172504379754506,EASY
R0859,99.38261865341676,4,59.21,1.0,no_wind,1.0,2.3922845158958017,EASY
R0859,99.38261865341676,4,59.21,1.0,no_slew,1.0,2.987533813493873,EASY
R0859,99.38261865341676,4,59.21,1.0,no_noise,1.0,0.6674360018337577,EASY
R0859,99.38261865341676,4,59.21,1.0,no_backlash,1.0,2.912407873612802,EASY
R0859,99.38261865341676,4,59.21,1.0,no_deadband,1.0,2.549246817855635,EASY
R0859,99.38261865341676,4,59.21,1.0,min_latency,1.0,1.2095584961282024,EASY
R0130,100.2223417295385,4,24.65,1.0,full,1.0,2.351195455788509,EASY
R0130,100.2223417295385,4,24.65,1.0,no_wind,1.0,1.7999303626704237,EASY
R0130,100.2223417295385,4,24.65,1.0,no_slew,1.0,2.5628775694053294,EASY
R0130,100.2223417295385,4,24.65,1.0,no_noise,1.0,0.5218885943172438,EASY
R0130,100.2223417295385,4,24.65,1.0,no_backlash,1.0,2.234255960268169,EASY
R0130,100.2223417295385,4,24.65,1.0,no_deadband,1.0,2.2103180219922494,EASY
R0130,100.2223417295385,4,24.65,1.0,min_latency,1.0,1.0295845557378012,EASY
R2252,105.9973858673699,2,168.58,1.0,full,1.0,0.8088655837576703,EASY
R2252,105.9973858673699,2,168.58,1.0,no_wind,1.0,0.8925312380452757,EASY
