cell_id,regime,rank,factor,importance_pct,success_recovery,rms_recovery_deg,s2r_reduction,p_unstable,servo_slew_deg_s,max_gimbal_deg,u_max_frac,tuned_Kp,tuned_Kd
20,FRAGILE,3,deadband,4.85050074550301,0,0.978939544248545,-0.0117884544278055,0,20,12,0.8,10,32
21,FRAGILE,1,backlash,74.6323086142017,0.833333333333333,11.1746980671591,0.328537391384729,3,90,8,0.533333333333333,10,32
21,FRAGILE,2,sensor_noise,13.2405481972738,0.166666666666667,2.24939184730132,0.0113847291551119,3,90,8,0.533333333333333,10,32
21,FRAGILE,3,thrust_mismatch,8.3310614469302,0.166666666666667,-1.44117716564558,-0.0194127842484748,3,90,8,0.533333333333333,10,32
22,FRAGILE,1,backlash,96.0912710050695,0.5,8.87391005740138,0.315635977075245,2,45,8,0.533333333333333,10,32
22,FRAGILE,2,aero_mismatch,3.90872899493054,0,0.891018359497115,0.0033284803105933,2,45,8,0.533333333333333,10,32
22,FRAGILE,3,deadband,0,-0.333333333333333,-6.99819948926377,-0.0298125808837124,2,45,8,0.533333333333333,10,32
23,FRAGILE,1,backlash,70.9961541915964,0.166666666666667,4.81616826652183,0.229533878720651,2,90,12,0.8,10,32
23,FRAGILE,2,aero_mismatch,27.7689562365507,0.166666666666667,1.17363549443386,0.0318903679053429,2,90,12,0.8,10,32
23,FRAGILE,3,sensor_noise,1.23488957185284,-0.166666666666667,0.0905121253038281,0.00722268441486418,2,90,12,0.8,10,32
24,FRAGILE,1,backlash,85.6191113330935,0.166666666666667,9.950202166375,0.180426603808467,0,20,15,1,10,32
24,FRAGILE,2,aero_mismatch,9.35622076061185,0,1.53363028930876,0.0171921797004992,0,20,15,1,10,32
24,FRAGILE,3,deadband,5.02466790629464,0,0.978939544248545,-0.0170574505453872,0,20,15,1,10,32
25,FRAGILE,1,backlash,57.9086742698049,0.333333333333333,5.09680514223393,0.0867699667221297,1,75,15,1,10,16
25,FRAGILE,2,aero_mismatch,28.4171848571314,0.333333333333333,0.797454155322599,0.0148363838047698,1,75,15,1,10,16
25,FRAGILE,3,deadband,12.5419112604393,0.166666666666667,0.194401821076407,-0.00235995562950642,1,75,15,1,10,16
26,FRAGILE,1,backlash,95.6844385047673,0.5,8.87391005740138,0.25462654834535,2,45,12,0.8,10,32
26,FRAGILE,2,aero_mismatch,4.31556149523268,0,0.891018359497115,0.00873613422074315,2,45,12,0.8,10,32
26,FRAGILE,3,deadband,0,-0.333333333333333,-6.99819948926377,-0.0212157977445,2,45,12,0.8,10,32
27,FRAGILE,1,backlash,82.5418693609434,0.166666666666667,7.84413615498959,0.183126733222407,0,45,10,0.666666666666667,10,16
27,FRAGILE,2,sensor_noise,8.66316098938002,-0.166666666666667,0.80007638150281,0.0425940562026254,0,45,10,0.666666666666667,10,16
27,FRAGILE,3,aero_mismatch,7.23065631531691,0,0.952933015106717,0.0152516638935108,0,45,10,0.666666666666667,10,16
28,FRAGILE,1,backlash,85.89944407728,0.166666666666667,9.950202166375,0.268196986503975,0,20,10,0.666666666666667,10,32
28,FRAGILE,2,aero_mismatch,7.76438281912526,0,1.53363028930876,0.00401968940654474,0,20,10,0.666666666666667,10,32
28,FRAGILE,3,deadband,4.77050486018828,0,0.978939544248545,-0.00984724533185433,0,20,10,0.666666666666667,10,32
29,FRAGILE,1,backlash,94.8107303099507,0.5,11.6014646020577,0.25215566648179,1,30,8,0.533333333333333,10,16
29,FRAGILE,2,aero_mismatch,3.57588460276739,0,0.917102474776573,0.00914979663523752,1,30,8,0.533333333333333,10,16
29,FRAGILE,3,sensor_noise,1.61338508728185,-0.333333333333333,-1.7633071216224,0.0273400813459049,1,30,8,0.533333333333333,10,16
30,FRAGILE,1,backlash,96.6752917676405,0.5,11.6014646020577,0.149826215566648,1,30,12,0.8,10,16
30,FRAGILE,2,aero_mismatch,3.25112265836132,0,0.917102474776573,-0.00180416897762992,1,30,12,0.8,10,16
30,FRAGILE,3,sensor_noise,0.073585573998137,-0.333333333333333,-1.7633071216224,0.000995100757995915,1,30,12,0.8,10,16
31,FRAGILE,1,backlash,69.9642978461101,0.166666666666667,6.33582470847154,0.295944259567388,1,60,8,0.533333333333333,10,32
31,FRAGILE,2,aero_mismatch,21.3670090783454,0.166666666666667,1.02796378190626,0.00665649842854488,1,60,8,0.533333333333333,10,32
31,FRAGILE,3,deadband,5.10766161663748,0,0.832861268222331,0.00207871140691451,1,60,8,0.533333333333333,10,32
32,FRAGILE,1,backlash,68.7449479181321,0.166666666666667,6.33582470847154,0.223287576261786,1,60,12,0.8,10,32
32,FRAGILE,2,aero_mismatch,21.9132753585316,0.166666666666667,1.02796378190626,0.0063791828434091,1,60,12,0.8,10,32
32,FRAGILE,3,deadband,5.57410507749447,0,0.832861268222331,0.00707039193936043,1,60,12,0.8,10,32
33,FRAGILE,1,backlash,95.4103171750372,0.5,8.87391005740138,0.20748289887225,2,45,15,1,10,32
33,FRAGILE,2,aero_mismatch,4.58968282496278,0,0.891018359497115,0.0112319744869661,2,45,15,1,10,32
33,FRAGILE,3,deadband,0,-0.333333333333333,-6.99819948926377,-0.0346656036235904,2,45,15,1,10,32
34,FRAGILE,1,backlash,82.3510404425271,0.166666666666667,7.84413615498959,0.082599833610649,0,45,15,1,10,16
34,FRAGILE,2,sensor_noise,8.01838500952944,-0.166666666666667,0.80007638150281,0.0227659918654096,0,45,15,1,10,16
34,FRAGILE,3,aero_mismatch,7.91709991864533,0,0.952933015106717,0.0127558236272879,0,45,15,1,10,16
35,FRAGILE,1,backlash,73.9047834036877,0.833333333333333,11.1746980671591,0.268359909410242,3,90,12,0.8,10,32
35,FRAGILE,2,sensor_noise,13.5610844064562,0.166666666666667,2.24939184730132,0.0173470142355334,3,90,12,0.8,10,32
35,FRAGILE,3,thrust_mismatch,8.38499374664689,0.166666666666667,-1.44117716564558,-0.0194127842484748,3,90,12,0.8,10,32
36,FRAGILE,1,backlash,72.6338907648937,0.166666666666667,4.81616826652183,0.302606535403956,2,90,8,0.533333333333333,10,32
36,FRAGILE,2,aero_mismatch,26.1337384425208,0.166666666666667,1.17363549443386,0.0174699574782771,2,90,8,0.533333333333333,10,32
36,FRAGILE,3,sensor_noise,1.23237079258555,-0.166666666666667,0.0905121253038281,0.00833194675540772,2,90,8,0.533333333333333,10,32
37,FRAGILE,1,backlash,69.2093511512212,0.166666666666667,4.81616826652183,0.186411305232021,2,90,15,1,10,32
37,FRAGILE,2,aero_mismatch,29.2162004767596,0.166666666666667,1.17363549443386,0.0474200406729526,2,90,15,1,10,32
37,FRAGILE,3,sensor_noise,1.57444837201919,-0.166666666666667,0.0905121253038281,0.0112437603993345,2,90,15,1,10,32
38,FRAGILE,1,backlash,74.4414187436309,0.833333333333333,11.1746980671591,0.294704889998151,3,90,10,0.666666666666667,10,32
