rocket_id,td,keff,u_max,latency_steps,Iyy,motor_scale,max_gimbal_deg,wind_strength,servo_slew,static_margin,opt_Kd,kp_floor,kp_ceiling,window_ratio,peak_sr,floor_censored,ceil_censored,td_bin,lat_bin,Pi,Kp_ZN,Kp_cons,Kp_floor_theory,ZN_inside,cons_inside,ZN_above_floor,ZN_below_ceil
R4332,335.1705207718114,32.949792818448024,10.172158672395511,5,0.0064606459775776,2.7104334636290277,12.71519834049439,0.4471696191862452,131.30806172569595,0.1941828988143328,1.0,24.672686679826995,58.87552997104207,2.3862634310993043,0.9333333333333332,False,False,td300+,lat5-6,823.7448204612006,45.6,38.0,9.884937845534408,True,True,True,True
R4780,50.07501088592857,16.78685382582116,2.982989630189328,5,0.0054876559932222,1.1729143674861846,3.72873703773666,0.3334507641586605,191.0343195843897,-0.0190409596606348,1.0,5.790096482248505,140.49252415648894,24.26428032541706,1.0,False,False,td40-80,lat5-6,419.671345645529,45.6,38.0,5.036056147746349,True,True,True,True
R4812,15.585100831469523,1.436026222916032,10.852936097379905,5,0.0852360758703777,1.558460992050756,13.56617012172488,0.0798575728237658,61.51479161547624,-0.2110737675509937,1.0,0.760926835001139,58.87552997104207,77.37344415111072,1.0,False,False,td0-40,lat5-6,35.9006555729008,45.6,38.0,0.43080786687480965,True,True,True,True
R4935,42.30743313867473,10.747982580783878,3.9363138915311806,4,0.0127227769993925,1.741081045786327,4.920392364413976,0.2950397274202047,83.55437244684846,-0.2547902080555855,1.0,1.8157718801053533,250.87967161476035,138.1669549812634,1.0,False,False,td40-80,lat4,171.96772129254205,57.0,47.5,2.579515819388131,True,True,True,True
R4987,53.16130472806418,4.945154207269621,10.75018138967526,3,0.0277998488677066,1.7503802019973709,13.437726737094074,0.3667840885320389,170.61723634900363,0.0229586102711797,1.0,0.2386263431099305,335.2521727374652,1404.925241564889,1.0,False,False,td40-80,lat2-3,44.50638786542659,76.0,63.333333333333336,0.8901277573085318,True,True,True,True
R5026,86.56100357319131,9.285742857988671,9.321925547262117,2,0.017914590780252,2.118037590919781,11.652406934077645,0.1592106424063774,114.06467545427772,-0.0370734018230332,1.0,1.016831587375873,447.9997067987973,440.58397905885823,1.0,False,False,td80-120,lat2-3,37.142971431954685,114.0,95.0,1.1142891429586406,True,True,True,True
R5227,42.36013992517124,22.089549263870538,1.917655241361357,5,0.0106492894608944,2.9951432933591287,2.3970690517016964,0.3271305162990275,198.6249529901956,-0.2446192155149369,1.0,4.332910036713837,140.49252415648894,32.42451907980097,1.0,False,False,td40-80,lat5-6,552.2387315967635,45.6,38.0,6.626864779161162,True,True,True,True
R5585,243.65953153464736,28.01746350162252,8.696702023740901,5,0.0075838680829868,2.7053888985054515,10.870877529676124,0.3036084527740457,68.9451061234715,-0.2438378237762229,2.0,44.05839790588585,44.05839790588585,1.0,0.9333333333333332,False,False,td180-300,lat5-6,700.436587540563,45.6,38.0,8.405239050486756,False,False,True,False
R5654,157.00589489845993,20.49535595136254,7.660559556567355,5,0.0100889449023694,2.6327603830047144,9.575699445709194,0.3390953364506354,174.01924355509078,-0.0506363385536612,1.0,10.33946477085338,78.67576203691237,7.609268350011388,0.9333333333333332,False,False,td120-180,lat5-6,512.3838987840635,45.6,38.0,6.148606785408762,True,True,True,True
R5852,113.43477793367096,10.835513808566809,10.46879547548422,5,0.0195554283055399,2.697906912851902,13.085994344355273,0.0940543736466913,126.37272085890253,0.080808962035266,1.0,4.332910036713837,105.13494375563756,24.264280325417037,1.0,False,False,td80-120,lat5-6,270.8878452141702,45.6,38.0,3.2506541425700424,True,True,True,True
