method,p_unstable,gust_std,Kp,Kd,seed,theta0_deg,success,rms_error_deg,peak_error_deg,end_error_deg,max_theta_deg,u_cmd_sat_frac,slew_sat_frac,control_rms,cmd_deg,slew_code,u_max_code,servo_deadband
AMATEUR_BASIC_PID,0,1.5,45,8,102,0,1,0.327166509304689,1.34297845019432,0.0635798245209747,20.9769131524394,0,0.0208333333333333,0.552651644173002,20,60,12,0.05
AMATEUR_BASIC_PID,0,1.5,45,8,103,0,1,0.680597310699784,1.89245395582349,1.09486188206808,20.5000266305314,0,0.0152777777777778,0.522820136983117,20,60,12,0.05
AMATEUR_BASIC_PID,0,1.5,45,8,104,0,1,0.36529441873609,1.38569262339325,0.128591522146705,21.3856926233933,0,0.0166666666666667,0.585377042507462,20,60,12,0.05
AMATEUR_BASIC_PID,0,1.5,45,8,105,0,1,0.324416225614612,0.948283915438002,0.176119692954958,20.948283915438,0,0.0152777777777778,0.499002478593325,20,60,12,0.05
AMATEUR_BASIC_PID,0,1.5,45,8,106,0,1,0.89684289557314,2.07193889006424,1.28716603773194,20.770526717707,0,0.0166666666666667,0.540712950512861,20,60,12,0.05
AMATEUR_BASIC_PID,0,1.5,45,8,201,3,1,0.526830802425166,2.38611608040077,0.0721824994197282,20.8996901867544,0,0.0208333333333333,0.590074375937001,20,60,12,0.05
AMATEUR_BASIC_PID,0,1.5,45,8,202,3,1,0.528503603234248,2.80676179770569,0.384943801645438,20.6308637935142,0,0.0138888888888889,0.535758176362104,20,60,12,0.05
AMATEUR_BASIC_PID,0,1.5,45,8,203,3,1,0.649557911960437,3.64224363451644,0.054473439126945,20.7917772627004,0,0.0152777777777778,0.604346597349033,20,60,12,0.05
AMATEUR_BASIC_PID,0,1.5,45,8,204,3,1,0.843854395204158,3.78467835417692,1.51079000760242,20.9022013619903,0,0.0194444444444444,0.552497864083188,20,60,12,0.05
AMATEUR_BASIC_PID,0,1.5,45,8,205,3,1,1.32931904831453,3.41883169698147,2.17375585189111,20.3204520440876,0,0.0194444444444444,0.594770506656039,20,60,12,0.05
AMATEUR_BASIC_PID,0,1.5,45,8,206,3,1,1.1957787494451,2.71578269531987,2.14570536367758,21.6943072685905,0,0.0208333333333333,0.560034054339886,20,60,12,0.05
BENCH_TUNED_PID,0,1.5,45,8,101,0,1,0.306624419831171,1.04715456937499,0.764754473131618,20.8260764110116,0,0.0194444444444444,0.541742789357748,20,60,12,0.05
BENCH_TUNED_PID,0,1.5,45,8,102,0,1,0.327166509304689,1.34297845019432,0.0635798245209747,20.9769131524394,0,0.0208333333333333,0.552651644173002,20,60,12,0.05
BENCH_TUNED_PID,0,1.5,45,8,103,0,1,0.680597310699784,1.89245395582349,1.09486188206808,20.5000266305314,0,0.0152777777777778,0.522820136983117,20,60,12,0.05
BENCH_TUNED_PID,0,1.5,45,8,104,0,1,0.36529441873609,1.38569262339325,0.128591522146705,21.3856926233933,0,0.0166666666666667,0.585377042507462,20,60,12,0.05
BENCH_TUNED_PID,0,1.5,45,8,105,0,1,0.324416225614612,0.948283915438002,0.176119692954958,20.948283915438,0,0.0152777777777778,0.499002478593325,20,60,12,0.05
BENCH_TUNED_PID,0,1.5,45,8,106,0,1,0.89684289557314,2.07193889006424,1.28716603773194,20.770526717707,0,0.0166666666666667,0.540712950512861,20,60,12,0.05
BENCH_TUNED_PID,0,1.5,45,8,201,3,1,0.526830802425166,2.38611608040077,0.0721824994197282,20.8996901867544,0,0.0208333333333333,0.590074375937001,20,60,12,0.05
BENCH_TUNED_PID,0,1.5,45,8,202,3,1,0.528503603234248,2.80676179770569,0.384943801645438,20.6308637935142,0,0.0138888888888889,0.535758176362104,20,60,12,0.05
BENCH_TUNED_PID,0,1.5,45,8,203,3,1,0.649557911960437,3.64224363451644,0.054473439126945,20.7917772627004,0,0.0152777777777778,0.604346597349033,20,60,12,0.05
