rocket_id,keff,latency,Pi,window_ratio,fsat_floor,residual,abs_residual,Pi_quintile
R4332,32.949792818448024,5,823.7448204612006,2.3862634310993043,0.7625,-1.5560179898665623,1.5560179898665623,4
R4780,16.78685382582116,5,419.671345645529,24.26428032541706,0.0,0.10861718082543659,0.10861718082543659,3
R4812,1.436026222916032,5,35.9006555729008,77.37344415111072,0.09225,-1.1184646553926818,1.1184646553926818,1
R4935,10.747982580783878,4,171.96772129254205,138.1669549812634,0.2918333333333333,0.9820339318762406,0.9820339318762406,2
R4987,4.945154207269621,3,44.50638786542659,1404.925241564889,0.0264166666666666,1.9892162237337674,1.9892162237337674,1
R5026,9.285742857988671,2,37.142971431954685,440.58397905885823,0.1081666666666666,0.6540156509150625,0.6540156509150625,1
R5227,22.089549263870538,5,552.2387315967635,32.42451907980097,0.0,0.6649971316069463,0.6649971316069463,4
R5585,28.01746350162252,5,700.436587540563,1.0,0.7641666666666667,-2.583155390582821,2.583155390582821,4
R5654,20.49535595136254,5,512.3838987840635,7.609268350011388,0.5246666666666666,-0.8572636256897623,0.8572636256897623,4
R5852,10.835513808566809,5,270.88784521417017,24.26428032541704,0.5738333333333332,-0.31633112753117,0.31633112753117,3
R5897,30.685848953832885,4,490.97358326132616,13.587988089338308,0.6460833333333333,-0.31887842902311725,0.31887842902311725,4
R6078,26.96839792639544,1,26.96839792639544,329.70275205813306,0.111,0.053370686248690014,0.053370686248690014,0
R6086,2.813746463031553,2,11.254985852126213,103.39464770853374,0.1258333333333333,-1.954533896122678,1.954533896122678,0
R6119,28.763431212013614,5,719.0857803003405,3.1887796841046794,0.82975,-1.3980097111974263,1.3980097111974263,4
R6149,30.72001518930482,2,122.88006075721928,246.72686679827,0.3969166666666666,1.2355966852754348,1.2355966852754348,1
R6154,8.93399741371011,5,223.34993534275276,57.90096482248502,0.5588333333333335,0.3660828856789795,0.3660828856789795,2
R6425,32.11457571911433,4,513.8332115058292,13.587988089338308,0.6991666666666666,-0.2747026100891592,0.2747026100891592,4
R6456,25.57715896270712,5,639.428974067678,13.587988089338308,0.1761666666666666,-0.0624290827702767,0.0624290827702767,4
R6700,4.184945615799983,4,66.95912985279973,103.39464770853388,0.0,-0.22348048134529908,0.22348048134529908,1
R6715,6.368597687972353,4,101.89756300755764,440.5839790588584,0.12675,1.633657884282539,1.633657884282539,1
R6774,1.5471422690416885,2,6.188569076166754,1404.9252415648882,0.0,0.07405874911854138,0.07405874911854138,0
R6883,8.18587443372066,1,8.18587443372066,246.7268667982698,0.09,-1.3938829176016743,1.3938829176016743,0
R7019,8.962559787785517,2,35.85023915114207,329.70275205813283,0.0,0.32971905097942944,0.32971905097942944,1
R7102,43.259635473998415,2,173.03854189599366,103.39464770853388,0.4718333333333332,0.6981501498932108,0.6981501498932108,2
R7136,15.742776509062583,1,15.742776509062583,246.72686679826984,0.1388333333333333,-0.7590609454972679,0.7590609454972679,0
R7309,37.37955890267901,2,149.51823561071603,77.37344415111072,0.4409166666666667,0.2664225695970339,0.2664225695970339,2
R7647,35.39950437348753,2,141.59801749395012,138.16695498126347,0.4394166666666666,0.7934092460439945,0.7934092460439945,2
R7720,6.462201326800688,4,103.395221228811,138.16695498126344,0.1460833333333333,0.4881830591899128,0.4881830591899128,1
R7735,11.723609831956248,4,187.5777573113,138.1669549812634,0.0096666666666666,1.0663763866306715,1.0663763866306715,2
R7792,14.390161265655516,3,129.51145139089965,77.37344415111072,0.419,0.12697984767503367,0.12697984767503367,1
R7835,31.818395807032903,4,509.09433291252645,10.168315873758727,0.7070000000000001,-0.5736062677621048,0.5736062677621048,4
R7900,6.801190570243423,2,27.204762280973693,1051.3494375563755,0.0866666666666666,1.2214797701825457,1.2214797701825457,0
R8015,12.149701351540616,5,303.74253378851546,32.42451907980095,0.6097499999999999,0.08470190575405567,0.08470190575405567,3
R8162,16.237805571512183,6,584.5610005744386,13.587988089338316,0.6306666666666667,-0.14951647371969523,0.14951647371969523,4
R8333,17.141966303414087,3,154.27769673072677,57.900964822485065,0.4626666666666666,0.00693125908643033,0.00693125908643033,2
R8400,4.350727668718048,6,156.62619607384974,138.16695498126344,0.1210833333333333,0.8913254409492364,0.8913254409492364,2
R8769,2.094458996547181,1,2.094458996547181,1404.9252415648882,0.0,-0.9776254573223735,0.9776254573223735,0
R8909,7.706380767058687,2,30.825523068234748,588.7552997104206,0.0869166666666666,0.7629527784210062,0.7629527784210062,0
R8922,8.664746237406142,4,138.63593979849827,1404.925241564889,0.4224166666666667,3.0921640696983053,3.0921640696983053,2
R8959,11.897967175472928,4,190.36747480756685,103.3946477085338,0.4640000000000001,0.790797343606922,0.790797343606922,2
R9127,12.30579546930998,6,443.00863689515927,43.32910036713835,0.6339166666666667,0.7409690357566898,0.7409690357566898,3
R9699,8.934699477774997,3,80.41229529997497,588.7552997104206,0.1786666666666666,1.6937005375773326,1.6937005375773326,1
R9812,4.194965412404011,1,4.194965412404011,184.63342031600004,0.0,-2.3327416697056336,2.3327416697056336,0
