step,metric,metric_val,success,mass,Iyy,static_margin,Cm_alpha,control_effectiveness,thrust,servo_slew_deg_s,max_gimbal_deg,deadband,backlash,wind_strength,latency_steps,rocket_id,design_id,regime_label
5,rms_error_deg,4.424762260143774,1,1.6601037899653175,0.02965049343910538,0.06291721021032089,-49.86513746811887,6.011183536765064,30.1355676647213,115.39311181156384,14.107789529273383,0.13552966960229051,0.15705235304283377,0.27974050190758587,2,R0790,790,EASY
0,rms_error_deg,43.53072654961718,0,1.4310338188018776,0.0261910559777429,0.1833334900942108,-54.88794699836773,13.274385564406517,33.703079849190665,34.779742435901895,12.52368579686647,0.1176369156190263,0.0926256932085572,0.3036843767494873,3,R0791,791,INFEASIBLE
1,rms_error_deg,39.908647051520425,0,1.4273986573262107,0.02585350485984262,0.1796062336839252,-54.34801261308032,13.30790369241679,33.92578131793287,36.979870083433596,12.5086620427171,0.11780869127926372,0.08967817460049861,0.30213666259236227,2,R0791,791,INFEASIBLE
2,rms_error_deg,29.89366921215135,0,1.4378868168999417,0.026108074286803767,0.17524116375728307,-54.110445335414745,13.331557838299085,34.315149400462644,38.77746992190531,12.47865518902361,0.11774465723685934,0.08957239624942494,0.2966590516486474,1,R0791,791,INFEASIBLE
3,rms_error_deg,22.844036183847685,0,1.4470007363696837,0.025984177471941084,0.17324588230084315,-53.67520097921792,13.38673518387147,34.53032125384859,41.32518620901997,12.435710141510377,0.11774465723685934,0.0860164542098503,0.2939214400624577,1,R0791,791,INFEASIBLE
4,rms_error_deg,22.073706972369852,0,1.436315257841197,0.026069460994972045,0.1709228741888777,-53.372939188612314,13.487971975472115,34.76563923328045,43.23462399904951,12.372583749450788,0.117742671010544,0.08276023366121493,0.2910137376848056,2,R0791,791,INFEASIBLE
5,rms_error_deg,14.95355116642664,0,1.456487179191764,0.026010633518550454,0.16980706620500743,-53.363029308597504,13.573436208274167,34.82342671307264,45.95052057289388,12.309526633586534,0.117742671010544,0.07938941711390024,0.2854359591466899,3,R0791,791,INFEASIBLE
0,rms_error_deg,3.716094236479737,1,1.7301151874472502,0.0263602404037407,0.0893196470152017,-55.338693008021984,10.249423443164948,35.12275014344481,111.91858730213391,8.022095690754572,0.1084204339677896,0.1173685114864889,0.3395977653334679,3,R0792,792,EASY
1,rms_error_deg,4.041553914520311,1,1.7539798385867753,0.02640972546012074,0.08956448420375093,-55.260263283022695,10.189316723115777,35.05081919832356,111.03390527845158,8.323871207779437,0.1084204339677896,0.12073158450861553,0.33972284415086834,3,R0792,792,EASY
2,rms_error_deg,4.792123370267461,0,1.7361102438271205,0.025767977729174014,0.08797761155921614,-54.99634542311141,10.117696873878606,35.71687823049044,110.49635441046117,8.290831419730276,0.1084204339677896,0.1202029657355875,0.3406727219409701,3,R0792,792,EASY
3,rms_error_deg,3.2622582155113324,1,1.7436978984546965,0.025409550026094404,0.09093257585014226,-55.26756635856638,10.110601656083558,35.79949830129689,110.58982050852558,8.21058414803015,0.1084204339677896,0.1164051215658508,0.3520690921615972,3,R0792,792,EASY
4,rms_error_deg,4.221443691220653,1,1.7162248681903534,0.02586517757461715,0.0898707493702454,-55.199320384186656,10.158414295324823,35.76851556578364,111.78709971735654,8.080510559248818,0.1084204339677896,0.11602475828825264,0.35857906418493746,3,R0792,792,EASY
5,rms_error_deg,6.291250045965407,1,1.70618769158136,0.025772946769294935,0.0866651254340924,-55.64210095065818,10.29162453161952,35.405898574595454,111.60367026241855,8.194454656911253,0.1084204339677896,0.11436004329886088,0.3556242672324701,4,R0792,792,EASY
0,rms_error_deg,4.175789355866385,1,1.3654206534056157,0.0136593615412603,0.1877382657805591,-68.13953874890919,6.97457704552194,26.540140767460077,95.45073333234836,13.947455153894326,0.0283990763763717,0.0253800223819432,0.1643556727467007,1,R0793,793,FRAGILE
1,rms_error_deg,5.010036331028225,1,1.3684616510918286,0.013686633003818524,0.1880341087732712,-67.73840644005628,7.075804823676014,26.508936499212254,96.67405586132247,13.807395294882635,0.02795571444685316,0.025120429387351036,0.14982860577211687,2,R0793,793,FRAGILE
2,rms_error_deg,3.5983879424502794,1,1.3771342408848624,0.013393056822895573,0.18827171780439572,-67.65617269858188,7.13317336515871,26.76702364926759,98.99883306039841,13.69037930126493,0.02795571444685316,0.02451155448011044,0.15808679374151993,2,R0793,793,FRAGILE
3,rms_error_deg,1.662869103139056,1,1.3940346903798324,0.013976548901635254,0.18913153860552048,-67.43902679491129,7.2628280475934,27.003529518541608,99.06646965333663,13.627054281887617,0.028501555996623264,0.026041290769888613,0.1634435168782655,2,R0793,793,FRAGILE
