rocket_id,Iyy,motor_scale,latency_steps,keff,wind_strength,ref_kd,floor_kd1,ceil_kd1,window_kd1,floorcens_kd1,ceilcens_kd1,npass_kd1,floor_frozen,ceil_frozen,window_frozen,floorcens_frozen,ceilcens_frozen,npass_frozen,floor_free,ceil_free,window_free,floorcens_free,ceilcens_free,npass_free
R2070,0.0068147792574294,2.471468260938062,4.0,1305.5867847336797,0.1330169227480045,0.1,10.33946477085338,105.13494375563756,10.168315873758727,0,0,7,0.17857154544060705,24.672686679826995,138.16695498126344,0,0,18,0.17857154544060705,105.13494375563756,588.7552997104204,0,0,23
R2200,0.0492595533513631,1.8750070994478036,1.0,137.02977592721732,0.2864902541470724,0.1,0.1,447.9997067987973,4479.9970679879725,1,0,30,0.1,44.05839790588585,440.58397905885846,1,0,22,0.1,800.0,8000.0,1,1,32
R2208,0.0080727747375141,2.015432290003314,4.0,898.7685746135633,0.2631747435107146,0.1,2.4264280325417045,105.13494375563756,43.32910036713835,0,0,13,0.760926835001139,18.463342031599993,24.264280325417037,0,0,12,0.569425316260183,800.0,1404.9252415648873,0,1,26
R2200,0.0492595533513631,1.8750070994478036,1.0,137.02977592721732,0.2864902541470724,0.1,0.1,447.9997067987973,4479.9970679879725,1,0,30,0.1,44.05839790588585,440.58397905885846,1,0,22,0.1,800.0,8000.0,1,1,32
R2208,0.0080727747375141,2.015432290003314,4.0,898.7685746135633,0.2631747435107146,0.1,2.4264280325417045,105.13494375563756,43.32910036713835,0,0,13,0.760926835001139,18.463342031599993,24.264280325417037,0,0,12,0.569425316260183,800.0,1404.9252415648873,0,1,26
R2226,0.0067527558705578,1.063116278889828,1.0,566.7639519873892,0.2172271075547726,0.1,3.2424519079800946,800.0,246.7268667982696,0,1,20,4.332910036713837,18.463342031599993,4.261187487198083,0,0,6,3.2424519079800946,800.0,246.7268667982696,0,1,20
R2338,0.0397312609422355,0.8473352779650355,2.0,76.77599271538486,0.1029122695507646,0.1,0.1,187.74109386255512,1877.4109386255511,1,0,27,0.1,58.87552997104207,588.7552997104207,1,0,23,0.1,800.0,8000.0,1,1,32
R2340,0.0183268206422548,2.819563096060888,1.0,553.856413174913,0.1902383784724846,0.1,0.1,800.0,8000.0,1,1,32,0.1,44.05839790588585,440.58397905885846,1,0,22,0.1,800.0,8000.0,1,1,32
R2226,0.0067527558705578,1.063116278889828,1.0,566.7639519873892,0.2172271075547726,0.1,3.2424519079800946,800.0,246.7268667982696,0,1,20,4.332910036713837,18.463342031599993,4.261187487198083,0,0,6,3.2424519079800946,800.0,246.7268667982696,0,1,20
R2338,0.0397312609422355,0.8473352779650355,2.0,76.77599271538486,0.1029122695507646,0.1,0.1,187.74109386255512,1877.4109386255511,1,0,27,0.1,58.87552997104207,588.7552997104207,1,0,23,0.1,800.0,8000.0,1,1,32
R2340,0.0183268206422548,2.819563096060888,1.0,553.856413174913,0.1902383784724846,0.1,0.1,800.0,8000.0,1,1,32,0.1,44.05839790588585,440.58397905885846,1,0,22,0.1,800.0,8000.0,1,1,32
R2362,0.0316921144637765,1.9839469601029645,1.0,225.36233940887993,0.2923668196584603,0.1,0.1,335.2521727374652,3352.5217273746516,1,0,29,0.31887796841046784,58.87552997104207,184.63342031599998,0,0,19,0.1,800.0,8000.0,1,1,32
R2377,0.0108624698807267,2.553985061718905,2.0,846.432378928995,0.1683831320334438,0.1,0.760926835001139,800.0,1051.3494375563748,0,1,25,0.569425316260183,13.816695498126338,24.264280325417047,0,0,12,0.1,800.0,8000.0,1,1,32
R2362,0.0316921144637765,1.9839469601029645,1.0,225.36233940887993,0.2923668196584603,0.1,0.1,335.2521727374652,3352.5217273746516,1,0,29,0.31887796841046784,58.87552997104207,184.63342031599998,0,0,19,0.1,800.0,8000.0,1,1,32
R2377,0.0108624698807267,2.553985061718905,2.0,846.432378928995,0.1683831320334438,0.1,0.760926835001139,800.0,1051.3494375563748,0,1,25,0.569425316260183,13.816695498126338,24.264280325417047,0,0,12,0.1,800.0,8000.0,1,1,32
R2449,0.0052949170396993,0.8179280309438202,4.0,556.1070908799308,0.1327141892888852,0.1,4.332910036713837,140.49252415648894,32.42451907980097,0,0,11,0.569425316260183,13.816695498126338,24.264280325417047,0,0,12,0.23862634310993056,800.0,3352.521727374649,0,1,28
R2557,0.0176104539106834,1.878504758107868,4.0,384.0115174479277,0.0942825906373357,0.1,2.4264280325417045,187.74109386255512,77.37344415111076,0,0,16,0.1,18.463342031599993,184.63342031599993,1,0,19,0.1,800.0,8000.0,1,1,32
R2611,0.0184469671620035,2.0088122211225663,2.0,392.02780232280804,0.2337399562298437,0.1,0.569425316260183,598.6649859805054,1051.3494375563769,0,0,25,0.1,32.9702752058133,329.702752058133,1,0,21,0.1,800.0,8000.0,1,1,32
R2449,0.0052949170396993,0.8179280309438202,4.0,556.1070908799308,0.1327141892888852,0.1,4.332910036713837,140.49252415648894,32.42451907980097,0,0,11,0.569425316260183,13.816695498126338,24.264280325417047,0,0,12,0.23862634310993056,800.0,3352.521727374649,0,1,28
R2557,0.0176104539106834,1.878504758107868,4.0,384.0115174479277,0.0942825906373357,0.1,2.4264280325417045,187.74109386255512,77.37344415111076,0,0,16,0.1,18.463342031599993,184.63342031599993,1,0,19,0.1,800.0,8000.0,1,1,32
R2611,0.0184469671620035,2.0088122211225663,2.0,392.02780232280804,0.2337399562298437,0.1,0.569425316260183,598.6649859805054,1051.3494375563769,0,0,25,0.1,32.9702752058133,329.702752058133,1,0,21,0.1,800.0,8000.0,1,1,32
