cell_id,regime_label,regime_code,p_unstable,servo_slew_deg_s,max_gimbal_deg,u_max_frac,Kp,Kd,cmd_deg,success_rate,rms_error_deg,peak_error_deg,end_error_deg,max_theta_deg,u_cmd_sat_frac,slew_sat_frac,settling_time_s,n_trials
28,INFEASIBLE,0,1,20,15,1,10,8,25,0,52.8393756188632,90,90,90,0.406265296133138,0.992647058823529,3.4,6
28,INFEASIBLE,0,1,20,15,1,10,8,30,0,56.4387620740535,90,90,90,0.432941752325012,0.993137254901961,3.4,6
29,FRAGILE,1,1,30,8,0.533333333333333,10,8,5,0,43.7998385751351,84.5556345180693,81.6813816400639,84.5556345180693,0.499510523739599,0.994607843137255,3.4,6
29,FRAGILE,1,1,30,8,0.533333333333333,10,8,10,0,56.8593157403489,90,90,90,0.530347528144885,0.995833333333333,3.4,6
29,FRAGILE,1,1,30,8,0.533333333333333,10,8,15,0,62.1217286259045,90,90,90,0.574155653450808,0.995343137254902,3.4,6
29,FRAGILE,1,1,30,8,0.533333333333333,10,8,20,0,66.2763995142213,90,90,90,0.644150758688204,0.995833333333333,3.4,6
29,FRAGILE,1,1,30,8,0.533333333333333,10,8,25,0,71.6347922528696,90,90,90,0.690651003426334,0.995343137254902,3.4,6
29,FRAGILE,1,1,30,8,0.533333333333333,10,8,30,0,75.0215723621044,90,90,90,0.707537934410181,0.996078431372549,3.4,6
30,FRAGILE,1,1,30,10,0.666666666666667,10,8,5,0,43.7998385751351,84.5556345180693,81.6813816400639,84.5556345180693,0.462555066079295,0.994607843137255,3.4,6
30,FRAGILE,1,1,30,10,0.666666666666667,10,8,10,0,56.8593157403489,90,90,90,0.482868330885952,0.995833333333333,3.4,6
30,FRAGILE,1,1,30,10,0.666666666666667,10,8,15,0,62.1217286259045,90,90,90,0.49632892804699,0.995343137254902,3.4,6
30,FRAGILE,1,1,30,10,0.666666666666667,10,8,20,0,66.2763995142213,90,90,90,0.527655408712677,0.995833333333333,3.4,6
30,FRAGILE,1,1,30,10,0.666666666666667,10,8,25,0,71.6347922528696,90,90,90,0.595203132648067,0.995343137254902,3.4,6
30,FRAGILE,1,1,30,10,0.666666666666667,10,8,30,0,75.0215723621044,90,90,90,0.656387665198238,0.996078431372549,3.4,6
31,FRAGILE,1,1,30,12,0.8,10,8,5,0,43.7998385751351,84.5556345180693,81.6813816400639,84.5556345180693,0.435389133627019,0.994607843137255,3.4,6
31,FRAGILE,1,1,30,12,0.8,10,8,10,0,56.8593157403489,90,90,90,0.452031326480666,0.995833333333333,3.4,6
31,FRAGILE,1,1,30,12,0.8,10,8,15,0,62.1217286259045,90,90,90,0.459618208516887,0.995343137254902,3.4,6
