cell_id,regime_label,regime_code,p_unstable,servo_slew_deg_s,max_gimbal_deg,u_max_frac,Kp,Kd,envelope_cmd_deg,envelope_cmd_ratio,reference_cmd_deg,pass_at_reference_cmd,success_at_reference_cmd,rms_err_at_reference_cmd_deg,peak_err_at_reference_cmd_deg,slew_sat_at_reference_cmd
155,INFEASIBLE,0,6,45,12,0.8,10,4,0,0,20,0,0,90,90,0.992156862745098
156,INFEASIBLE,0,6,45,15,1,10,4,0,0,20,0,0,90,90,0.992156862745098
157,INFEASIBLE,0,6,60,8,0.533333333333333,10,4,0,0,20,0,0,90,90,0.988725490196078
158,INFEASIBLE,0,6,60,10,0.666666666666667,10,4,0,0,20,0,0,90,90,0.988725490196078
159,INFEASIBLE,0,6,60,12,0.8,10,4,0,0,20,0,0,90,90,0.988725490196078
160,INFEASIBLE,0,6,60,15,1,10,4,0,0,20,0,0,90,90,0.988725490196078
161,INFEASIBLE,0,6,75,8,0.533333333333333,10,4,0,0,20,0,0,90,90,0.991176470588235
162,INFEASIBLE,0,6,75,10,0.666666666666667,10,4,0,0,20,0,0,90,90,0.991176470588235
163,INFEASIBLE,0,6,75,12,0.8,10,4,0,0,20,0,0,90,90,0.991176470588235
164,INFEASIBLE,0,6,75,15,1,10,4,0,0,20,0,0,90,90,0.991176470588235
165,INFEASIBLE,0,6,90,8,0.533333333333333,10,4,0,0,20,0,0,90,90,0.988725490196078
166,INFEASIBLE,0,6,90,10,0.666666666666667,10,4,0,0,20,0,0,90,90,0.988725490196078
167,INFEASIBLE,0,6,90,12,0.8,10,4,0,0,20,0,0,90,90,0.988725490196078
168,INFEASIBLE,0,6,90,15,1,10,4,0,0,20,0,0,90,90,0.988725490196078
