rocket_id,regime,theta_ddot,Iyy,motor_scale,max_gimbal_deg,servo_slew_deg_s,latency_steps,A_deg,T_u_s,K_u,probe_rms,probe_slew_sat
R0178,EASY,35.13566614151283,0.0406940285245301,1.9885744523798592,11.443454652612838,137.87807041636665,3,4.150659209312681,2.705,160.90250816762136,2.690306038831735,0.23399999999999999
R1058,EASY,38.30691247201044,0.0222652003919726,2.360937660758176,5.749623002243913,94.94845287764612,3,6.6994978760087545,2.705,50.086404155503146,4.1883097349691365,0.45500000000000007
R1695,EASY,42.15203303048671,0.0341665377873469,2.078432869557215,11.028174465723383,149.11967042844853,5,5.875021352931707,0.5,109.5511438917335,3.6019297831229773,0.23466666666666666
R0615,EASY,48.00978780726881,0.0293981002290979,2.638697783125587,8.512939210327898,60.64692301054325,1,9.26605465293915,2.705,53.61760522664819,5.382244695447054,0.6239999999999999
R0429,EASY,57.27792662583058,0.0193817371640461,1.271270402936298,13.898316074146052,146.67289720738788,4,4.7731679720037175,0.541,169.93318774276426,2.8975195409097525,0.23733333333333334
R0561,EASY,69.22017847709323,0.0236645071064037,2.3905225218432715,10.905798518426456,67.56040727406867,3,9.650210150710123,2.705,65.95434884673612,6.099542961789285,0.5753333333333333
R1306,EASY,85.34451832930962,0.0143945240255083,1.588358613090947,12.309616128887138,189.6982871664891,5,16.163665561984285,0.5,44.44545861391368,9.439135586567831,0.586
R1312,EASY,114.5730498461068,0.0191020334982325,2.742763795833314,12.69970987500148,132.3074990759803,2,7.182575609720777,2.705,103.18969557268436,4.091087366701186,0.34433333333333327
R0028,EASY,411.8370450147294,0.0060272854846315,2.833556025773941,13.94233453894132,191.00307543303805,3,29.421451123475844,2.705,27.656304490269775,16.984581118346718,0.78
R0026,FRAGILE,367.97884529976704,0.006392292542218,2.63630825228428,14.200493487560284,94.10356561609927,5,35.25288777073855,2.705,23.508854964321404,19.80775199999103,0.8456666666666667
R0179,FRAGILE,98.96797353395854,0.0149729386683518,2.302873762497589,10.24122065167166,127.17309790220908,5,13.216427410962421,1.0691190476190477,45.22310591780709,7.723758641856499,0.7006666666666665
R0236,FRAGILE,168.5998668667279,0.0104257984760115,2.852079435939528,9.809007525851747,81.17030283425109,6,25.1925705152492,1.1721666666666666,22.723505142518192,15.075305312863424,0.841
R0303,FRAGILE,217.5129605955632,0.0099819950123292,2.7128505627837542,12.7378681302187,148.83908861813364,6,31.80152251067968,0.5,23.37607403374486,19.616254398968145,0.8246666666666667
R0333,FRAGILE,150.66632825684047,0.0076547515774573,1.81989676466564,10.086039955876757,175.94079469524036,4,25.48533388135718,1.8935,23.096868125724562,15.184816333860956,0.6966666666666667
R0400,FRAGILE,214.6999063287188,0.0111108159048153,2.7415838167943605,13.84829832129062,111.72748121265472,5,23.07179266726394,2.02875,35.02981214362541,13.46205262791635,0.7876666666666667
R0540,FRAGILE,143.03955295219828,0.0129091650358681,2.240942997444165,13.114254854204326,195.3323249931532,6,17.312047044588077,1.21725,44.209737236270236,10.372594158952255,0.745
R0581,FRAGILE,227.87584343420303,0.0054230276576866,1.553494848087563,12.660487325344938,121.49197870499896,5,16.950071144947973,1.8935,43.591482123357196,9.694968074285276,0.8053333333333332
R0709,FRAGILE,120.15969202344482,0.0090262583140325,2.620973334375196,6.586035900551872,170.15741959210277,5,21.801302828957297,2.4044444444444446,17.63049006371582,12.259279350524178,0.143
R0769,FRAGILE,178.93312424290602,0.008766702863541,1.6734044104507455,14.919224675507785,106.543451184477,5,18.5367543998886,2.705,46.97159378767641,10.27439255248057,0.751
R0840,FRAGILE,112.45188096717152,0.0052289147416004,2.0010147150062325,4.6767928509889085,100.86845739725416,5,18.056251823502315,2.705,15.116222268044151,10.91999574875873,0.40266666666666673
R0864,FRAGILE,297.6144442048734,0.005986111627521,2.274495426775329,12.466193967558317,144.28739135533203,4,32.27515256005078,2.254166666666667,22.5417855717876,16.44349406103465,0.8073333333333335
R0906,FRAGILE,79.44097470036105,0.0205570055440943,2.495617170973617,10.414695664551042,152.86356774014212,5,16.908978598602463,2.02875,35.94611399214192,9.243385137073114,0.6186666666666667
R0969,FRAGILE,115.84897376423488,0.0130342960845899,2.4294052671087893,9.892360531275102,186.49476624944185,5,27.256698947614808,1.7603968253968254,21.18114419005062,15.623433867920008,0.5256666666666666
R1080,FRAGILE,89.61299441200431,0.0263892701894122,2.735954284307045,13.756554227477356,156.2521199638685,5,16.433650491460607,0.5,48.85380069059862,10.369509263779477,0.5633333333333334
R1217,FRAGILE,143.54577869065147,0.0123577389769815,1.9957363521995284,14.146415405031206,133.40673468881488,5,14.105059516651568,1.8634444444444445,58.53211563060128,8.865556246620837,0.7059999999999998
R1229,FRAGILE,58.81504741996059,0.0290439832656389,2.48086039394616,10.958785721605365,197.7762511074025,5,9.106985865762471,1.082,70.22803399614561,5.668386103093005,0.413
R1300,FRAGILE,174.62530282827237,0.0104039866863238,2.761997755856317,10.468965540662058,120.81010031931709,5,23.750971463325318,1.082,25.724392683292653,13.908510052278706,0.7869999999999999
R1319,FRAGILE,90.03227526313664,0.0180054689230995,2.8533855856920733,9.041954777027506,108.23168083209026,4,11.152544485428054,2.254166666666667,47.316335703306756,6.322809845493546,0.6239999999999999
R1439,FRAGILE,96.30208815896428,0.014054470599812,2.439573255554976,8.829913793337845,156.97570942515574,5,18.961381408644577,0.5,27.177482667877783,10.910765200821105,0.596
R1641,FRAGILE,209.91106234246683,0.0075829148039415,2.4583347587718283,10.305062095331472,186.34718617121013,4,28.876404816504742,0.7728571428571429,20.827168447373854,17.37924640009041,0.669
R1701,FRAGILE,173.3475551633541,0.0137002264580723,2.6873914999238906,14.064835569605528,171.71322768710448,5,23.32084336517687,1.8033333333333335,35.19760760069799,14.275423172398064,0.7443333333333333
R1707,FRAGILE,166.3271113441963,0.0059266841401157,1.5134612137517198,10.3662973826193,195.8159825522434,4,29.226153604268546,0.5,20.70020941414003,16.49362699685509,0.5936666666666667
R1713,FRAGILE,122.16500398486026,0.0122068298334922,2.750252214176776,8.629732076454832,98.58368487379546,6,21.473691330491565,1.2022222222222223,23.453806860974336,13.192204753546951,0.8053333333333335
R1714,FRAGILE,133.65978526451477,0.0203388900641141,2.9271792347951,14.780830064744729,130.10614614547825,5,11.697766074607394,1.5779166666666669,73.74263121581838,7.208759673561995,0.6783333333333335
R1715,FRAGILE,170.13315758703897,0.0080459545353752,2.619146346338,8.318152968574827,76.22832333256515,6,30.654932507376866,2.705,15.836137955017145,20.395513052191266,0.8543333333333333
R2072,FRAGILE,351.3367592924232,0.0059453018392763,2.533947622642136,13.119581973685822,110.78143875084272,6,38.39495769906417,0.5,19.94199219840216,23.398536311656596,0.8786666666666667
R2080,FRAGILE,311.79245101667595,0.0051067155336095,1.9250389690235168,13.163999848965132,160.66868612849976,5,24.3020319098129,2.1038888888888887,31.613168044629717,15.315905757535054,0.8266666666666668
R2083,FRAGILE,177.62159173197742,0.0058242421106357,1.4863720963308586,11.077143085552237,180.51651555410515,5,20.71424456917793,1.746979166666667,31.20911144753283,12.862318128516572,0.742
R2106,FRAGILE,144.84147635852042,0.0054104842844326,2.1945805836828898,5.683262056672838,133.6971546299515,6,29.85532754269267,0.5,11.109604023601763,18.269113278032435,0.28500000000000003
R2107,FRAGILE,92.08421691730304,0.0220493377102106,2.8480702315072617,11.346193493278474,159.3601593406497,4,15.938921195947552,2.254166666666667,41.544544357428755,9.071605209110398,0.5653333333333334
R2139,FRAGILE,175.57769106028084,0.0079151948742685,1.781374329139231,12.416405497120476,164.3957429074082,4,15.05632887346412,2.705,48.12819043630045,9.041658708984965,0.718
R2176,FRAGILE,89.82990230716528,0.0280497174726269,2.9939417260667502,13.39449076814462,157.960731872964,5,9.754428502763677,2.705,80.1395898604857,5.63940403625216,0.5753333333333334
R2264,FRAGILE,211.0291414122912,0.0105026682461652,2.397112600840877,14.71545775084925,154.6437668769962,6,22.467955874503428,1.8033333333333335,38.22372007307407,14.153697534235608,0.8103333333333333
R2287,FRAGILE,148.84459105291927,0.0050402369741997,2.311612849779972,5.165222626542212,95.1695763936994,4,33.594243752373146,1.3525,8.973191035742,19.629767121838633,0.6733333333333332
R2353,FRAGILE,231.4961711621065,0.0050161104523513,1.9127011461142207,9.662375627840024,174.21998351518934,4,25.662046671461194,0.5,21.974315938839997,16.609331184481327,0.6876666666666666
