rocket_id,design_id,p_unstable,mass,Iyy,static_margin,Cm_alpha,control_effectiveness,motor_scale,servo_slew_deg_s,max_gimbal_deg,latency_steps,deadband,backlash,wind_strength,best_Kp,best_Kd,nominal_success_rate,under_success_rate,over_success_rate,robustness,n_success_gain_sets,nominal_diverge_rate,nominal_band_30_rate,nominal_band_20_rate,nominal_band_10_rate,under_diverge_rate,over_diverge_rate,rms_error_deg,peak_error_deg,end_error_deg,max_theta_deg,u_cmd_sat_frac,slew_sat_frac,settling_time_s,oscillation_score,under_u_sat_frac,over_u_sat_frac,regime_label,regime_code,is_stable
R0038,38,0.0,1.2765452238780644,0.0140551609507432,-0.1514625685747084,-84.01064346236224,12.865629436405507,1.6171547801656203,64.12413638861332,13.8820078405887,4,0.0353355729849772,0.1610231763976628,0.3616101907273984,80.0,32.0,0.6666666666666666,0.0,0.0,0.3333333333333333,1,0.0,1.0,0.6666666666666666,0.0,0.0,0.0,10.505131509747846,25.375373466216665,13.767442808696885,25.375373466216665,0.0,0.0355555555555555,3.0,1.6666666666666667,0.0,0.0,FRAGILE,1,True
R0657,657,0.0,1.5514380904536615,0.0387202106390955,-0.2962198818899287,-15.940830249068457,5.035686484055922,1.4168283504192276,110.29414554093172,2.632610638858127,5,0.0634574161835707,0.1677747723014013,0.3426589508064031,40.0,2.0,0.6666666666666666,1.0,0.0,0.6666666666666666,2,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0,7.4254446946603325,34.063303098930525,14.930302936938924,34.063303098930525,0.0,0.13,3.0,2.6666666666666665,0.0,0.0,FRAGILE,1,True
R0331,331,0.0,1.460044667978875,0.0197597008201038,-0.0710776850669441,-31.2862694617128,6.311347995748879,1.1204866610707056,65.77591368343232,5.991056082099948,1,0.0506810562831196,0.1730201168738505,0.3638575091452282,5.0,1.0,0.6666666666666666,1.0,0.0,0.6666666666666666,2,0.0,1.0,1.0,0.0,0.0,0.0,7.176925463547221,19.871489576987397,15.306220945597564,19.871489576987397,0.0,0.0466666666666666,3.0,2.333333333333333,0.0,0.0,FRAGILE,1,True
R0977,977,0.0,1.9297629182364455,0.0156143995811871,-0.2169775996437328,-20.973338796851863,9.60431925357653,2.2517220524999426,63.325589895733074,14.415677185398186,1,0.0301804207390379,0.0533016928927117,0.3218571628322537,15.0,2.0,1.0,0.0,1.0,0.6666666666666666,2,0.0,1.0,1.0,0.0,0.0,0.0,7.245665399180393,17.762356521754672,11.718394441990752,17.762356521754672,0.0,0.0922222222222222,3.0,1.6666666666666667,0.0,0.0,FRAGILE,1,True
R0205,205,0.0,1.3889648833145567,0.0188242885849733,-0.2742290065637081,-62.6972532109173,12.391316634884474,2.796912117699656,62.25358512605517,6.199460826692646,2,0.0907693345579309,0.2142608134374984,0.3521352399868943,40.0,8.0,0.6666666666666666,0.0,0.0,0.3333333333333333,1,0.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.0,7.02457208807482,21.080495393324828,14.25007180222515,21.080495393324828,0.0,0.0283333333333333,3.0,2.6666666666666665,0.0,0.0,FRAGILE,1,True
R0240,240,0.0,1.3008518726323104,0.0195331768684029,-0.1851976683979111,-32.43369733534044,13.61629237219426,2.1264880043735985,75.90333805723016,4.545544437357418,4,0.1268018122822977,0.232768154945443,0.3232521590844368,15.0,8.0,1.0,0.0,1.0,0.6666666666666666,2,0.0,1.0,1.0,0.3333333333333333,0.0,0.0,6.945880294162952,19.534762603371675,6.836392603182142,19.534762603371675,0.0,0.0261111111111111,3.0,1.6666666666666667,0.0,0.0,FRAGILE,1,True
R0285,285,0.0,1.0625238996372957,0.010683576416796,-0.0836215395773004,-25.86692782390766,8.201589578804521,1.0577689074790504,62.51631719307266,12.681781453121744,2,0.0359301168218575,0.0973463194321475,0.3722352048695018,40.0,32.0,0.6666666666666666,1.0,0.0,0.6666666666666666,2,0.0,1.0,0.6666666666666666,0.0,0.0,0.0,9.448210142917285,22.032289032171096,13.958218471855076,22.032289032171096,0.0,0.0438888888888888,3.0,2.333333333333333,0.0,0.0,FRAGILE,1,True
R0775,775,0.0,1.0348884927302366,0.0177056782272661,-0.0041542716740736,-36.01662898537179,8.956430537557935,0.8979214812316103,23.98279144215515,12.872304645881844,5,0.0053387635308648,0.1806925549563595,0.4435359406923044,15.0,1.0,1.0,0.0,1.0,0.6666666666666666,2,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,11.945176438105008,25.222359083687444,3.4401699487856128,25.222359083687444,0.0,0.2972222222222222,2.9599999999999995,2.0,0.0,0.0,FRAGILE,1,True
R0812,812,0.0,0.9764434207412298,0.0106128220127367,-0.0229287093636795,-41.671997958292735,10.425887560485034,1.3968560459003023,30.992657832203992,7.7285916430847,1,0.0083348559075191,0.1519341774639067,0.3971289988233165,40.0,32.0,0.6666666666666666,0.0,0.0,0.3333333333333333,1,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,13.190234168926636,25.57938548231824,4.797697855545525,25.57938548231824,0.0,0.0238888888888888,2.953333333333333,1.6666666666666667,0.0,0.0,FRAGILE,1,True
R0907,907,0.0,1.479208834304934,0.0353190330438144,-0.0494406552365727,-54.07546850550308,10.921805226482263,1.966325995040464,90.11472838319423,3.343913074296544,2,0.1409785869910927,0.0878430896871926,0.4147988358642317,15.0,1.0,0.6666666666666666,1.0,0.0,0.6666666666666666,2,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0,7.713018517912789,47.691869743532166,20.440143145582464,47.691869743532166,0.0,0.1555555555555555,2.9683333333333337,2.333333333333333,0.0,0.0,FRAGILE,1,True
R0293,293,0.0,1.1141732975939982,0.0141917443470188,-0.2838819949644576,-66.01044604411607,5.561941333159327,2.601474934018025,104.28117989108183,10.597200611091669,4,0.0961615778609898,0.1750700863689087,0.4145051076852169,5.0,1.0,1.0,0.0,1.0,0.6666666666666666,2,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,10.35873362775471,24.01766935536593,10.100076636570224,24.01766935536593,0.0,0.0461111111111111,3.0,2.6666666666666665,0.0,0.0,FRAGILE,1,True
R0361,361,0.0,1.2215277595718388,0.0177599033658078,-0.1766707236639871,-24.035259107011782,5.745464013318775,2.74744692744908,42.44337247656072,8.521672824114544,5,0.0603124803487722,0.0722551700943005,0.2821056406053663,40.0,8.0,0.6666666666666666,0.0,0.0,0.3333333333333333,1,0.0,1.0,1.0,0.0,0.0,0.0,7.647300524439049,19.19018409772689,12.787632620818044,19.19018409772689,0.0,0.0577777777777777,3.0,1.6666666666666667,0.0,0.0,FRAGILE,1,True
R1179,1179,0.0,1.000387796204827,0.020132598038617,-0.2405740995203627,-28.48150907796745,7.673597295392693,0.8197229028435804,109.37024517918218,3.9006943486693935,3,0.0798558429998873,0.0021552892323032,0.1749832088286455,40.0,32.0,1.0,1.0,0.0,0.6666666666666666,2,0.0,1.0,1.0,1.0,0.0,0.0,3.3558553759050143,7.891015093844895,3.1881982375344093,7.891015093844895,0.0,0.3238888888888889,3.0,1.6666666666666667,0.0,0.0,FRAGILE,1,True
R0385,385,0.0,1.9884687241068617,0.0220530630983489,-0.0901284401127379,-85.18983416000104,6.362453712394364,1.4950869372979143,103.06032619812598,5.971533588871064,6,0.1009873807988417,0.0757967985466934,0.1637649915811173,40.0,2.0,0.6666666666666666,0.0,0.0,0.3333333333333333,1,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,8.689401610504284,54.31019434660612,25.92473540695032,54.31019434660612,0.0,0.2061111111111111,3.0,2.6666666666666665,0.0,0.0,FRAGILE,1,True
R0030,30,0.0,1.294009986410223,0.0181567679919692,-0.1326960202370853,-27.98863776069087,5.166603450687656,2.260265489318057,44.05466966160034,6.1854510607405455,1,0.1176437640034631,0.1551407048796619,0.1483432342650507,15.0,1.0,1.0,0.0,1.0,0.6666666666666666,2,0.0,1.0,1.0,0.0,0.0,0.0,6.137081474281323,16.073306411257143,10.981747791416,16.073306411257143,0.0,0.0961111111111111,3.0,2.0,0.0,0.0,FRAGILE,1,True
R0519,519,0.0,1.997674190406272,0.0164200715516354,-0.0519534170191534,-48.04924747738509,7.228079207590422,2.634173154717166,68.14530289337632,7.435947958991416,6,0.1352066966903189,0.1825733277366866,0.1627404501089642,15.0,2.0,1.0,0.0,1.0,0.6666666666666666,2,0.0,1.0,1.0,0.3333333333333333,0.0,0.0,4.770152846270558,15.582921587641756,8.026433389666174,15.582921587641756,0.0,0.0327777777777777,2.9883333333333333,1.6666666666666667,0.0,0.0,FRAGILE,1,True
R0171,171,0.0,1.9170930421581451,0.014065692753006,-0.003363217541428,-30.02896715624164,7.117270902764103,1.401494306337212,119.32409026206084,9.224610384365471,5,0.1074752154548232,0.2175631162406859,0.0777923364969682,15.0,2.0,1.0,0.0,1.0,0.6666666666666666,2,0.0,1.0,1.0,0.6666666666666666,0.0,0.0,3.485106823914641,10.73288370821056,5.232095739353412,10.73288370821056,0.0,0.0222222222222222,3.0,1.0,0.0,0.0,FRAGILE,1,True
R0643,643,0.0,1.1059804020544084,0.0145010608693846,-0.0048936845944935,-74.0782438376464,13.144960304952397,2.6355232685307977,62.857271914955874,13.99886375207899,4,0.0822627066491555,0.1937819862761919,0.2188465060162773,2.0,1.0,0.6666666666666666,0.0,0.0,0.3333333333333333,1,0.0,1.0,0.6666666666666666,0.0,0.0,0.0,8.752237166955396,21.759359021912413,14.644668331157694,21.759359021912413,0.0,0.0127777777777777,3.0,1.0,0.0,0.0,FRAGILE,1,True
