keff_target,wind_strength,Kp,sr,rms
4.0,0.4,40,1.0,4.70136230995057
4.0,0.4,80,1.0,3.3278219576338195
4.0,0.4,160,1.0,2.882825754272442
8.0,0.0,1,0.375,13.97049617372839
8.0,0.0,2,0.5,16.33813861630974
8.0,0.0,5,0.25,14.25297327151521
8.0,0.0,10,0.375,10.363942864195323
8.0,0.0,20,0.875,7.533336756510094
8.0,0.0,40,0.875,5.5037053671855904
8.0,0.0,80,1.0,4.196183748760372
8.0,0.0,160,1.0,3.0402202064324886
8.0,0.05,1,0.125,17.457142351533843
8.0,0.05,2,0.375,10.924082217991216
8.0,0.05,5,0.25,15.570356578221649
8.0,0.05,10,0.625,10.224338868702974
8.0,0.05,20,0.875,4.659690523186131
8.0,0.05,40,0.875,5.949723722502661
8.0,0.05,80,1.0,4.03420059794731
8.0,0.05,160,1.0,2.4681817610215706
8.0,0.1,1,0.25,15.357096555048091
8.0,0.1,2,0.25,21.799988304079005
8.0,0.1,5,0.25,19.259498053811516
8.0,0.1,10,0.5,12.857330343187707
8.0,0.1,20,1.0,4.713588148705053
8.0,0.1,40,0.75,6.273872849467537
8.0,0.1,80,0.875,3.7716948315980967
8.0,0.1,160,1.0,3.0955813421565788
8.0,0.15,1,0.5,16.2952917996081
8.0,0.15,2,0.25,15.716646475136594
8.0,0.15,5,0.5,12.167788150437833
8.0,0.15,10,0.375,12.75753637782524
8.0,0.15,20,0.625,7.591575021311587
8.0,0.15,40,0.875,5.591043717879369
8.0,0.15,80,0.875,3.845589980770061
8.0,0.15,160,1.0,3.3085851720684283
8.0,0.2,1,0.375,15.791819464599598
8.0,0.2,2,0.125,20.461517782969715
8.0,0.2,5,0.375,11.05129860455171
8.0,0.2,10,0.875,8.07343663566201
8.0,0.2,20,0.625,8.208898283330049
8.0,0.2,40,0.875,6.481858352077088
8.0,0.2,80,0.875,6.031018192497084
8.0,0.2,160,1.0,2.7014708839351287
8.0,0.25,1,0.375,14.964467456572754
8.0,0.25,2,0.5,15.8949464868437
8.0,0.25,5,0.5,13.449958641753268
8.0,0.25,10,0.375,10.24684382221929
8.0,0.25,20,0.75,6.5020597248638135
8.0,0.25,40,0.875,6.598284780097304
8.0,0.25,80,1.0,4.7091676293798095
8.0,0.25,160,1.0,2.6142125001003556
8.0,0.3,1,0.125,19.508490377381516
8.0,0.3,2,0.5,11.473768068110163
8.0,0.3,5,0.25,13.916937476892253
8.0,0.3,10,0.5,11.885819043842968
