rocket_id,td,latency_steps,Iyy,motor_scale,max_gimbal_deg,new_Kp,new_Kd,nom_sr,under_sr,over_sr,margin,nom_rms
R1463,17.017898518116667,1,0.0995599549362476,2.1207317394434857,12.715253305018914,82.35745631970453,1.0,1.0,1.0,1.0,1.0,0.5736925534584668
R0867,15.50368347409094,6,0.0536314449260947,0.9616246009040634,13.76160085759275,58.65987877815546,1.0,1.0,1.0,0.9333333333333332,0.9333333333333332,1.844121318404757
R3395,16.82635852982266,3,0.0725991995322242,1.6077642876720757,12.092601035280452,82.35745631970453,1.0,1.0,1.0,1.0,1.0,0.709626793736453
R1664,16.124495392489354,3,0.0701365500923843,1.7118510419033994,10.514404782937271,82.35745631970453,1.0,1.0,1.0,1.0,1.0,1.0159327692043816
R2739,14.059070765698907,2,0.0942494136271294,1.692597154216929,12.459533988576986,82.35745631970453,1.0,0.9333333333333332,1.0,0.6666666666666666,0.6666666666666666,2.5783836216708838
R3539,15.475306479793142,3,0.0839927629399931,1.3999532019949918,14.777049896430269,82.35745631970453,1.0,0.9333333333333332,1.0,0.8666666666666667,0.8666666666666667,1.967797150980296
R3675,13.94795876329771,4,0.0905571478792025,1.3694141245851856,14.679752018234282,41.78105458855241,1.0,1.0,1.0,1.0,1.0,0.4652708624264829
R3544,17.5642977886938,4,0.0287192792505584,0.5933437779353846,13.530631525473298,29.758952096260835,1.0,1.0,1.0,1.0,1.0,0.6877392363705647
R1462,13.76322539216254,2,0.069005777825338,1.5154090235115836,9.974610374234343,82.35745631970453,1.0,1.0,1.0,1.0,1.0,1.170095094004849
R0125,16.57991382651632,5,0.0619059940509535,2.222440429717778,7.350298447574743,58.65987877815546,1.0,1.0,1.0,1.0,1.0,0.6964022877490122
R0304,14.458156878646214,2,0.0735648122229955,1.7253396049796794,9.811346271986864,82.35745631970453,1.0,1.0,1.0,1.0,1.0,0.497991180026255
R1727,14.993687416255208,3,0.0316913084533743,0.973624300873784,7.767430028612593,82.35745631970453,1.0,1.0,1.0,1.0,1.0,0.566493691864536
R0789,18.080690999468665,2,0.0545433039010793,2.3270950957043164,6.744697342576519,58.65987877815546,1.0,1.0,1.0,1.0,1.0,0.5897808731823881
R3210,20.114181524699763,3,0.0855964511677846,1.8896002535259224,14.501346087084546,58.65987877815546,1.0,1.0,1.0,0.8666666666666667,0.8666666666666667,1.7913998705194525
R1077,19.353117841170864,3,0.0748948275944462,2.8816990776556004,8.005238411105768,58.65987877815546,1.0,1.0,1.0,1.0,1.0,0.606272638240369
R3116,20.1203931331184,1,0.0986345865648297,2.2920359779587764,13.780481483990233,82.35745631970453,1.0,1.0,1.0,1.0,1.0,0.4501014979089422
R1761,19.05747159043265,5,0.096623079083268,2.4889497004420384,11.774708536953256,5.455176632911242,1.0,1.0,1.0,1.0,1.0,0.6268593195610059
R1172,21.85505516750791,1,0.0777061562199692,2.1661807186580164,12.477649434948534,82.35745631970453,1.0,1.0,1.0,1.0,1.0,0.7733205741682917
R1523,18.969397703413303,5,0.0432904461104017,1.0248186726109625,12.75318632821532,58.65987877815546,1.0,1.0,1.0,0.9333333333333332,0.9333333333333332,1.4672162771746655
R2058,21.259717901851552,3,0.0694165891621355,2.7146276630055555,8.652281272021828,58.65987877815546,1.0,1.0,1.0,1.0,1.0,0.925599853693976
R2645,18.475062981908746,2,0.0538295317667268,2.8314937285167767,5.5899903392902015,162.34034009544706,1.0,1.0,1.0,1.0,1.0,0.8209765855898148
R2657,22.249457304825253,3,0.0277731481118348,1.4815116139810334,6.638341707416875,41.78105458855241,1.0,1.0,1.0,1.0,1.0,1.5065093660576765
R3390,21.516527381241705,5,0.0146805867470909,0.8342348662553705,6.026253390841836,58.65987877815546,1.0,1.0,1.0,1.0,1.0,1.394882856677212
R2359,20.532564050120698,5,0.0556716678604772,2.1082899558347057,8.629133951080792,58.65987877815546,1.0,1.0,1.0,1.0,1.0,0.9849501881550417
R2289,21.770804192341064,6,0.0410093451057839,1.1387267462720754,12.478371638063267,41.78105458855241,1.0,1.0,1.0,1.0,1.0,1.5055554060306384
R0101,23.117601037779995,5,0.0531460919250224,1.3909149963876772,14.058326999688592,82.35745631970453,1.0,1.0,1.0,1.0,1.0,0.4557052375919089
R0779,23.770214943219965,5,0.0442101964672632,2.275029852073754,7.351713697936501,82.35745631970453,1.0,1.0,1.0,1.0,1.0,0.5467222763594018
R2789,23.847558924931405,5,0.0767294619197132,2.098375483410337,13.878515390539816,58.65987877815546,1.0,1.0,1.0,1.0,1.0,0.4955478178622272
R2398,27.584173852756624,5,0.0278828772505496,1.1501297994951367,10.643166195364492,58.65987877815546,1.0,1.0,1.0,1.0,1.0,1.7185531336240911
R1991,26.61738144515875,3,0.0633117701907035,1.90505255072238,14.078713020263905,82.35745631970453,1.0,1.0,1.0,1.0,1.0,0.5687646466588855
R3211,22.765721190141743,3,0.0392860277581494,1.2911878911224948,11.02427959180033,58.65987877815546,1.0,1.0,1.0,1.0,1.0,1.029206874135734
R1122,28.521723003535318,5,0.0494712281342848,2.8423153027510133,7.900895689553812,58.65987877815546,1.0,1.0,1.0,1.0,1.0,1.0090898621667497
R3417,26.771653151270066,4,0.0709019925916114,2.390576948952457,12.637205108679575,58.65987877815546,1.0,1.0,1.0,1.0,1.0,1.3171340829775464
R3156,28.51022458310345,3,0.0622461469005388,2.9477138806206478,9.581817986144902,58.65987877815546,1.0,1.0,1.0,1.0,1.0,1.038652911807468
R0844,26.412646646583976,1,0.0700679568687941,2.665247854181526,11.05131364145974,58.65987877815546,1.0,1.0,1.0,1.0,1.0,0.9854911214188254
R3641,28.359380858841103,6,0.0535439363780194,2.481506426399787,9.73894175474688,82.35745631970453,1.0,1.0,1.0,1.0,1.0,0.4062639890183381
R3902,27.525012909468305,5,0.0624122744727841,2.313522780318249,11.817997466334644,82.35745631970453,1.0,1.0,1.0,1.0,1.0,0.7919296698095376
R3608,27.732670639084517,6,0.0661694073281527,2.978018786918833,9.80712333558436,82.35745631970453,1.0,1.0,1.0,1.0,1.0,0.5248016490833665
R2100,31.709191046451235,1,0.0412525077317698,2.977334065133943,6.992429271679005,58.65987877815546,1.0,1.0,1.0,1.0,1.0,1.228990305391511
R0507,33.10992355978905,5,0.0470940202759797,2.159896143862784,11.489766612184894,82.35745631970453,1.0,1.0,1.0,1.0,1.0,0.4267881610004688
R3751,29.14844226421158,3,0.0952824058562316,2.9998352589414305,14.735022084679027,58.65987877815546,1.0,1.0,1.0,1.0,1.0,0.8107916898116037
R2420,33.943498592816574,4,0.010105442770522,0.6476743756778089,8.428986667361531,82.35745631970453,1.0,1.0,1.0,1.0,1.0,0.7460829839665447
R2357,38.42839311637741,5,0.058198188569811,2.462369335145503,14.455350607477516,82.35745631970453,1.0,1.0,1.0,1.0,1.0,0.4468279789357842
R3575,34.93043488018705,2,0.0662960737559785,2.5290751838675973,14.57304121200538,58.65987877815546,1.0,1.0,1.0,1.0,1.0,0.8036598151987208
R1237,38.69953602087967,4,0.0353900775392693,2.668087437300529,8.169723268771758,58.65987877815546,1.0,1.0,1.0,1.0,1.0,1.1831478589157072
R0764,40.609908295065686,2,0.0147267784371989,0.8295476965920197,11.474097385798876,58.65987877815546,1.0,1.0,1.0,1.0,1.0,1.6664370994097075
R3297,39.72372362147526,4,0.0159990846308272,0.9204317197076264,10.989391414980942,58.65987877815546,1.0,1.0,1.0,1.0,1.0,1.3119778928584216
R0357,31.446897509523858,6,0.0356786453608743,2.2025237731166056,8.107476322187985,41.78105458855241,1.0,1.0,1.0,1.0,1.0,1.02961333449771
