rocket_id,regime_label,ablated_modules,kp_ablated,kd_ablated,kp_full,kd_full,kp_delta,kp_ratio,kp_misselected,kp_underselected,sr_ablated_in_full,sr_full_in_full,sr_gap,rms_ablated_in_full,rms_full_in_full,rms_gap,go_ablated,go_full,decision_agrees,false_approval,false_rejection,p_unstable,mass,Iyy,static_margin,Cm_alpha,control_effectiveness,motor_scale,servo_slew_deg_s,max_gimbal_deg,latency_steps,deadband,backlash,wind_strength
R0554,EASY,sensor_noise,5.0,1.0,40.0,1.0,35.0,8.0,1,1,1.0,1.0,0.0,5.794509841263146,2.015371830565235,3.779138010697911,1,1,1,0,0,4.511273440825517,1.086920238033052,0.0285385709046964,0.2943608345231593,-88.15644038767178,10.872431432970988,2.97418996603644,118.49888704605291,14.02175683347368,6,0.1171075396504407,0.1460865298116238,0.1471266235423351
R0554,EASY,slew,40.0,32.0,40.0,1.0,0.0,1.0,0,0,0.6666666666666666,1.0,0.33333333333333337,14.747135748250164,2.015371830565235,12.73176391768493,1,1,1,0,0,4.511273440825517,1.086920238033052,0.0285385709046964,0.2943608345231593,-88.15644038767178,10.872431432970988,2.97418996603644,118.49888704605291,14.02175683347368,6,0.1171075396504407,0.1460865298116238,0.1471266235423351
R0554,EASY,latency,2.0,8.0,40.0,1.0,38.0,20.0,1,1,0.0,1.0,1.0,42.33640287052753,2.015371830565235,40.32103103996229,0,1,0,0,1,4.511273440825517,1.086920238033052,0.0285385709046964,0.2943608345231593,-88.15644038767178,10.872431432970988,2.97418996603644,118.49888704605291,14.02175683347368,6,0.1171075396504407,0.1460865298116238,0.1471266235423351
R0554,EASY,sensor_noise+wind,5.0,8.0,40.0,1.0,35.0,8.0,1,1,0.0,1.0,1.0,28.412034750575387,2.015371830565235,26.39666292001015,0,1,0,0,1,4.511273440825517,1.086920238033052,0.0285385709046964,0.2943608345231593,-88.15644038767178,10.872431432970988,2.97418996603644,118.49888704605291,14.02175683347368,6,0.1171075396504407,0.1460865298116238,0.1471266235423351
R0555,EASY,wind,40.0,32.0,40.0,1.0,0.0,1.0,0,0,0.6666666666666666,1.0,0.33333333333333337,11.436613323277818,0.5575907621135233,10.879022561164295,1,1,1,0,0,0.2469996913713777,1.495691250534091,0.0228704289599576,0.014758090981705,-80.63798153691089,11.404489296359218,2.0866312500407,177.727116109667,12.520819510394142,3,0.1331084552988944,0.0290997860937059,0.315493663354799
R0555,EASY,sensor_noise,5.0,1.0,40.0,1.0,35.0,8.0,1,1,1.0,1.0,0.0,1.1330981293832225,0.5575907621135233,0.5755073672696992,1,1,1,0,0,0.2469996913713777,1.495691250534091,0.0228704289599576,0.014758090981705,-80.63798153691089,11.404489296359218,2.0866312500407,177.727116109667,12.520819510394142,3,0.1331084552988944,0.0290997860937059,0.315493663354799
R0555,EASY,slew,40.0,8.0,40.0,1.0,0.0,1.0,0,0,0.3333333333333333,1.0,0.6666666666666667,13.952301700413278,0.5575907621135233,13.394710938299754,0,1,0,0,1,0.2469996913713777,1.495691250534091,0.0228704289599576,0.014758090981705,-80.63798153691089,11.404489296359218,2.0866312500407,177.727116109667,12.520819510394142,3,0.1331084552988944,0.0290997860937059,0.315493663354799
R0555,EASY,latency,40.0,32.0,40.0,1.0,0.0,1.0,0,0,0.6666666666666666,1.0,0.33333333333333337,11.436613323277818,0.5575907621135233,10.879022561164295,1,1,1,0,0,0.2469996913713777,1.495691250534091,0.0228704289599576,0.014758090981705,-80.63798153691089,11.404489296359218,2.0866312500407,177.727116109667,12.520819510394142,3,0.1331084552988944,0.0290997860937059,0.315493663354799
R0555,EASY,sensor_noise+wind,5.0,1.0,40.0,1.0,35.0,8.0,1,1,1.0,1.0,0.0,1.1330981293832225,0.5575907621135233,0.5755073672696992,1,1,1,0,0,0.2469996913713777,1.495691250534091,0.0228704289599576,0.014758090981705,-80.63798153691089,11.404489296359218,2.0866312500407,177.727116109667,12.520819510394142,3,0.1331084552988944,0.0290997860937059,0.315493663354799
R0556,EASY,wind,15.0,8.0,40.0,1.0,25.0,2.6666666666666665,1,1,0.3333333333333333,1.0,0.6666666666666667,9.889173984535876,2.335984551752829,7.553189432783047,0,1,0,0,1,2.416379510337889,1.5189015549280551,0.0116633465069055,0.2648151911757293,-38.06970851690591,5.179582313414302,1.5646365422449289,94.64345571947982,12.07902420390641,5,0.1042495335112242,0.1375714442943648,0.4198376368547336
R0556,EASY,sensor_noise,5.0,8.0,40.0,1.0,35.0,8.0,1,1,0.0,1.0,1.0,21.43973100797869,2.335984551752829,19.10374645622586,0,1,0,0,1,2.416379510337889,1.5189015549280551,0.0116633465069055,0.2648151911757293,-38.06970851690591,5.179582313414302,1.5646365422449289,94.64345571947982,12.07902420390641,5,0.1042495335112242,0.1375714442943648,0.4198376368547336
R0556,EASY,slew,15.0,32.0,40.0,1.0,25.0,2.6666666666666665,1,1,0.6666666666666666,1.0,0.33333333333333337,13.576328150800437,2.335984551752829,11.240343599047609,1,1,1,0,0,2.416379510337889,1.5189015549280551,0.0116633465069055,0.2648151911757293,-38.06970851690591,5.179582313414302,1.5646365422449289,94.64345571947982,12.07902420390641,5,0.1042495335112242,0.1375714442943648,0.4198376368547336
R0556,EASY,latency,15.0,32.0,40.0,1.0,25.0,2.6666666666666665,1,1,0.6666666666666666,1.0,0.33333333333333337,13.576328150800437,2.335984551752829,11.240343599047609,1,1,1,0,0,2.416379510337889,1.5189015549280551,0.0116633465069055,0.2648151911757293,-38.06970851690591,5.179582313414302,1.5646365422449289,94.64345571947982,12.07902420390641,5,0.1042495335112242,0.1375714442943648,0.4198376368547336
R0556,EASY,sensor_noise+wind,5.0,1.0,40.0,1.0,35.0,8.0,1,1,1.0,1.0,0.0,2.107259515636038,2.335984551752829,-0.22872503611679118,1,1,1,0,0,2.416379510337889,1.5189015549280551,0.0116633465069055,0.2648151911757293,-38.06970851690591,5.179582313414302,1.5646365422449289,94.64345571947982,12.07902420390641,5,0.1042495335112242,0.1375714442943648,0.4198376368547336
R0557,EASY,wind,5.0,8.0,80.0,1.0,75.0,16.0,1,1,0.3333333333333333,1.0,0.6666666666666667,11.242602080209698,0.6243096891386976,10.618292391071,0,1,0,0,1,0.1000230923132926,1.7508290483470954,0.0325436961890066,0.0063135160540195,-60.32972125318997,8.544711531847204,1.3034774626373016,134.3395004903251,13.355231068419268,5,0.0948306130378249,0.0242925234457598,0.1354757337269527
R0557,EASY,sensor_noise,5.0,8.0,80.0,1.0,75.0,16.0,1,1,0.3333333333333333,1.0,0.6666666666666667,11.242602080209698,0.6243096891386976,10.618292391071,0,1,0,0,1,0.1000230923132926,1.7508290483470954,0.0325436961890066,0.0063135160540195,-60.32972125318997,8.544711531847204,1.3034774626373016,134.3395004903251,13.355231068419268,5,0.0948306130378249,0.0242925234457598,0.1354757337269527
R0557,EASY,slew,15.0,32.0,80.0,1.0,65.0,5.333333333333333,1,1,0.0,1.0,1.0,14.495178823952704,0.6243096891386976,13.870869134814006,0,1,0,0,1,0.1000230923132926,1.7508290483470954,0.0325436961890066,0.0063135160540195,-60.32972125318997,8.544711531847204,1.3034774626373016,134.3395004903251,13.355231068419268,5,0.0948306130378249,0.0242925234457598,0.1354757337269527
R0557,EASY,latency,5.0,8.0,80.0,1.0,75.0,16.0,1,1,0.3333333333333333,1.0,0.6666666666666667,11.242602080209698,0.6243096891386976,10.618292391071,0,1,0,0,1,0.1000230923132926,1.7508290483470954,0.0325436961890066,0.0063135160540195,-60.32972125318997,8.544711531847204,1.3034774626373016,134.3395004903251,13.355231068419268,5,0.0948306130378249,0.0242925234457598,0.1354757337269527
R0557,EASY,sensor_noise+wind,5.0,8.0,80.0,1.0,75.0,16.0,1,1,0.3333333333333333,1.0,0.6666666666666667,11.242602080209698,0.6243096891386976,10.618292391071,0,1,0,0,1,0.1000230923132926,1.7508290483470954,0.0325436961890066,0.0063135160540195,-60.32972125318997,8.544711531847204,1.3034774626373016,134.3395004903251,13.355231068419268,5,0.0948306130378249,0.0242925234457598,0.1354757337269527
R0558,EASY,wind,40.0,8.0,40.0,1.0,0.0,1.0,0,0,0.6666666666666666,1.0,0.33333333333333337,5.994956714038657,1.215396011277183,4.779560702761474,1,1,1,0,0,0.8979769685692364,0.986152845533352,0.0250525745136919,0.2260930241048132,-21.09199045307265,8.41699059676529,2.5349997847628387,126.1528693091433,4.91674188631978,6,0.0994212491700217,0.0352477365013502,0.3898071975162793
R0558,EASY,sensor_noise,40.0,32.0,40.0,1.0,0.0,1.0,0,0,0.3333333333333333,1.0,0.6666666666666667,15.587803421508985,1.215396011277183,14.372407410231801,0,1,0,0,1,0.8979769685692364,0.986152845533352,0.0250525745136919,0.2260930241048132,-21.09199045307265,8.41699059676529,2.5349997847628387,126.1528693091433,4.91674188631978,6,0.0994212491700217,0.0352477365013502,0.3898071975162793
