rocket_id,regime,sr_adrc,sr_pid_best,sr_kp2
R0368,EASY,1.0,1.0,1.0
R0369,EASY,1.0,0.0,1.0
R0370,EASY,1.0,1.0,1.0
R0371,EASY,1.0,1.0,0.3333333333333333
R0372,EASY,1.0,1.0,0.3333333333333333
R0373,FRAGILE,1.0,0.0,0.0
R0374,EASY,1.0,0.0,0.6666666666666666
R0375,EASY,1.0,0.0,1.0
R0376,EASY,1.0,1.0,0.3333333333333333
R0377,EASY,1.0,0.0,1.0
R0378,EASY,1.0,0.0,0.6666666666666666
R0379,EASY,1.0,0.0,1.0
R0380,EASY,1.0,0.0,0.6666666666666666
R0381,EASY,1.0,0.0,1.0
R0382,EASY,1.0,1.0,0.3333333333333333
R0383,EASY,1.0,0.6666666666666666,0.3333333333333333
R0384,EASY,1.0,1.0,0.6666666666666666
R0385,EASY,1.0,0.0,0.3333333333333333
R0386,EASY,1.0,0.3333333333333333,0.6666666666666666
R0387,EASY,1.0,0.0,0.3333333333333333
R0388,EASY,1.0,0.0,0.6666666666666666
R0389,EASY,1.0,0.3333333333333333,0.3333333333333333
R0390,EASY,1.0,0.0,0.6666666666666666
R0391,EASY,1.0,1.0,1.0
R0392,EASY,1.0,0.0,0.6666666666666666
R0393,EASY,1.0,0.0,0.6666666666666666
R0394,EASY,1.0,0.6666666666666666,0.3333333333333333
R0395,EASY,1.0,0.0,0.6666666666666666
R0396,EASY,1.0,0.3333333333333333,1.0
R0397,EASY,1.0,0.0,1.0
R0398,EASY,1.0,1.0,0.6666666666666666
R0399,EASY,1.0,0.0,0.3333333333333333
R0400,EASY,1.0,0.0,0.6666666666666666
R0401,EASY,1.0,0.0,1.0
R0402,EASY,1.0,0.0,0.6666666666666666
R0403,EASY,1.0,0.0,0.6666666666666666
R0404,EASY,1.0,0.6666666666666666,0.6666666666666666
R0405,EASY,1.0,1.0,0.0
R0406,EASY,1.0,0.0,1.0
R0407,EASY,1.0,0.0,0.6666666666666666
R0408,EASY,1.0,1.0,0.6666666666666666
R0409,EASY,1.0,1.0,0.3333333333333333
R0410,EASY,1.0,0.0,1.0
R0411,EASY,1.0,1.0,0.6666666666666666
R0412,EASY,1.0,0.0,0.6666666666666666
R0413,EASY,1.0,1.0,0.6666666666666666
R0414,EASY,1.0,1.0,1.0
R0415,EASY,1.0,0.6666666666666666,0.3333333333333333
R0416,EASY,1.0,0.3333333333333333,0.6666666666666666
R0417,EASY,1.0,0.0,0.6666666666666666
R0418,EASY,1.0,0.0,0.6666666666666666
R0419,EASY,1.0,0.0,0.6666666666666666
R0420,MARGINAL,1.0,0.0,0.0
R0421,EASY,1.0,0.3333333333333333,1.0
R0422,EASY,1.0,0.0,1.0
R0423,EASY,1.0,0.0,0.3333333333333333
R0424,EASY,1.0,1.0,1.0
R0425,EASY,1.0,0.0,1.0
R0426,EASY,1.0,0.0,0.6666666666666666
R0427,EASY,1.0,0.0,1.0
R0428,EASY,1.0,0.0,1.0
R0429,EASY,1.0,0.0,1.0
R0430,FRAGILE,1.0,0.6666666666666666,0.0
R0431,EASY,1.0,0.0,0.6666666666666666
R0432,EASY,1.0,0.0,0.6666666666666666
R0433,EASY,1.0,0.0,0.6666666666666666
R0434,EASY,1.0,0.0,0.6666666666666666
R0435,EASY,1.0,1.0,0.3333333333333333
R0436,EASY,1.0,0.0,1.0
R0437,EASY,1.0,1.0,0.3333333333333333
R0438,EASY,1.0,0.0,0.6666666666666666
R0439,MARGINAL,1.0,0.0,1.0
R0440,EASY,1.0,0.0,0.6666666666666666
R0441,EASY,1.0,0.0,0.3333333333333333
R0442,EASY,1.0,0.6666666666666666,1.0
