ablation,recommendation,uncertainty_level,epsilon_model,eta_hardware,residual_rms,residual_hf_ratio,estimated_lag_ms,post_burnout_bias_ratio,residual_burst_time_s,attitude_surge_time_s,residual_lead_ms,aero_transition_delay_ms,burst_snr,theta_surge_threshold_deg,q_surge_threshold_deg
C_latency_error,KeepPID,0.7,0.63,0.798224374495562,5.03117645011494,0.00511291689760485,-80,1.01203552455072,1.21,1.59,380,-42,36.9463443017741,12,120
C_latency_error,KeepPID,0.8,0.72,0.799354317998386,5.02059784227875,0.00517490385858263,-80,1.03964704949283,1.65,1.574,-76.0000000000001,-36,35.3418469986376,12,120
C_latency_error,KeepPID,0.9,0.81,0.782041969330104,5.00608505730105,0.00522440338263763,-80,1.05424538784415,1.44,1.556,116,-42,35.4350825739656,12,120
C_latency_error,KeepPID,1,0.9,0.78135593220339,4.99173713063694,0.00524929554103614,-78,1.07088717249524,1.376,1.55,174,-34,37.4296813597549,12,120
D_thrust_misalignment,SwitchToADRC,0,0,0.837247780468119,5.10469313787369,0.00491421982308419,-88,0.924149865917178,1.65,1.678,27.9999999999998,-46,43.2345708629073,12,120
D_thrust_misalignment,SwitchToADRC,0.1,0.07,0.830044390637611,5.12074048376685,0.00498370114552812,-94,0.884625501942556,1.65,1.704,53.9999999999998,-30,33.8381190629941,12,120
D_thrust_misalignment,KeepPID,0.2,0.14,0.820984665052462,5.15202067437786,0.00513236238578459,-100,0.850449329216941,1.766,1.732,-34,-14,35.3121980112364,12,120
D_thrust_misalignment,KeepPID,0.3,0.21,0.806618240516546,5.16918396056919,0.00516452181745198,-102,0.818262498369459,1.398,1.742,344,-48,38.2594020478216,12,120
D_thrust_misalignment,KeepPID,0.4,0.28,0.777905569007264,5.19005917909045,0.00507305671113486,-110,0.781365757692127,1.418,1.756,338,-30,36.3703704440353,12,120
D_thrust_misalignment,KeepPID,0.5,0.35,0.777703793381759,5.23463420284553,0.00514597164499739,-114,0.746909032022441,1.426,1.768,342,0,39.0131829914203,12,120
D_thrust_misalignment,KeepPID,0.6,0.42,0.752199354317998,5.27554991938443,0.00521654261029321,-122,0.691729539576101,1.838,1.784,-54,-12,37.8606854488145,12,120
D_thrust_misalignment,KeepPID,0.7,0.49,0.675302663438257,5.31052740413713,0.00532722522278287,-124,0.658457723184786,1.65,1.792,142,-38,39.3578903880453,12,120
D_thrust_misalignment,SwitchToADRC,0.8,0.56,0.655387409200968,5.35555274059602,0.00534632599088705,-130,0.60353440859232,1.252,1.808,556,-16,38.1170409604792,12,120
D_thrust_misalignment,SwitchToADRC,0.9,0.63,0.658938660209846,5.41543620430884,0.00533305317178574,-134,0.54283117757947,1.24,1.824,584,0,35.2718171182288,12,120
D_thrust_misalignment,SwitchToADRC,1,0.7,0.63724778046812,5.45416537741373,0.00533120974061314,-136,0.491603039042573,1.65,1.834,184,-42,36.7877508293129,12,120
E_observer_bandwidth,KeepPID,0,0,0.837348668280871,3.72457345503231,0.00928999150920355,16,2.10653640864986,1.65,1.618,-32,0,19.1580949956431,12,120
E_observer_bandwidth,KeepPID,0.1,0.035,0.836924939467312,3.51367728181857,0.0104507971434198,-24,1.80632819129964,1.266,1.604,338,-44,21.3229276773399,12,120
E_observer_bandwidth,SwitchToADRC,0.2,0.07,0.837631154156577,4.02080365187248,0.0079656982683966,-54,1.34815594659613,1.214,1.638,424,-42,27.0393981586834,12,120
E_observer_bandwidth,SwitchToADRC,0.3,0.105,0.835996771589992,4.82166126864133,0.00579670855808143,-82,0.997592907233352,1.56,1.68,120,-32,32.9296636214315,12,120
E_observer_bandwidth,SwitchToADRC,0.4,0.14,0.83728813559322,5.69754137691732,0.00417123826260351,-108,0.788039389615371,1.162,1.722,560,0,43.5146023097786,12,120
E_observer_bandwidth,SwitchToADRC,0.5,0.175,0.838599677158999,6.54876535107242,0.00353318899223912,-128,0.684240697664916,1.85,1.748,-102,0,47.2347477911398,12,120
E_observer_bandwidth,SwitchToADRC,0.6,0.21,0.83680387409201,7.42466591180616,0.00364412836128409,-152,0.605707851256225,1.688,1.77,82.0000000000001,-24,50.5516523801464,12,120
E_observer_bandwidth,SwitchToADRC,0.7,0.245,0.837086359967716,8.13719391373904,0.00426480187963319,-166,0.540007050748187,1.922,1.8,-122,71.9999999999998,33.2222003353385,12,120
E_observer_bandwidth,SwitchToADRC,0.8,0.28,0.838115415657789,8.92830401614093,0.00581705286984053,-178,0.514583197348798,2.172,1.81,-362,322,31.1475109692885,12,120
E_observer_bandwidth,SwitchToADRC,0.9,0.315,0.838720742534301,9.78324161837378,0.00809226400178672,-188,0.456610778126688,2.068,1.844,-224,218,26.5056938611446,12,120
E_observer_bandwidth,SwitchToADRC,1,0.35,0.839830508474576,10.4349286756847,0.0126034836949792,-198,0.480060919853147,2.192,1.832,-360,342,18.6127059679415,12,120
