factor,factor_value,signed_delta_rmse_pid,signed_delta_rmse_adrc,rmse_pid,rmse_adrc,thd_pid,thd_adrc,stable_pid,stable_adrc,abs_delta_rmse_pid,abs_delta_rmse_adrc
mmi_inertia_scale,1.35,-0.712474521134126,-1.19358407979581,64.8287156827521,61.7141260285673,124.56839455874,64.7869704638888,1,1,0.712474521134126,1.19358407979581
cg_moment_coeff,0,-0.0596179638542367,-0.338542736696006,65.481572240032,62.5691673716671,125.000334465487,64.2519934580341,1,1,0.0596179638542367,0.338542736696006
cg_moment_coeff,0.0533333333333333,0.150335735912549,-0.230509453646533,65.6915259397988,62.6772006547165,123.032488857826,64.3496776941324,1,1,0.150335735912549,0.230509453646533
cg_moment_coeff,0.106666666666667,-0.265497654215466,-0.15873314134722,65.2756925496707,62.7489769670158,125.890494007725,64.7083902684754,1,1,0.265497654215466,0.15873314134722
cg_moment_coeff,0.16,-0.111269888063319,-0.0410601280974063,65.4299203158229,62.8666499802657,126.617984065226,64.9572863138841,1,1,0.111269888063319,0.0410601280974063
cg_moment_coeff,0.213333333333333,-0.11882022406472,0.0417184098291727,65.4223699798215,62.9494285181922,126.440873229268,64.90803668791,1,1,0.11882022406472,0.0417184098291727
cg_moment_coeff,0.266666666666667,-0.266429110304315,0.105783272606224,65.2747610935819,63.0134933809693,128.469759982114,65.2819019052413,1,1,0.266429110304315,0.105783272606224
cg_moment_coeff,0.32,-0.168177851608817,0.174284918366439,65.3730123522774,63.0819950267295,127.543786173732,65.2243543351421,1,1,0.168177851608817,0.174284918366439
cg_moment_coeff,0.373333333333333,-0.368166785435875,0.266688910321029,65.1730234184503,63.1743990186841,126.770781939435,65.5059672197148,1,1,0.368166785435875,0.266688910321029
cg_moment_coeff,0.426666666666667,-0.393270760950116,0.322578573658085,65.1479194429361,63.2302886820212,127.254655502931,65.5985711045755,1,1,0.393270760950116,0.322578573658085
cg_moment_coeff,0.48,-0.347233389519388,0.387650329301664,65.1939568143668,63.2953604376647,127.198472873856,65.8637589824069,1,1,0.347233389519388,0.387650329301664
