rocket_id,regime_label,regime_code,boundary_distance,p_unstable,servo_slew_deg_s,max_gimbal_deg,best_u_max_frac,best_Kp,best_Kd,nominal_success_rate,under_success_rate,over_success_rate,robustness,mass,Iyy,static_margin,Cm_alpha,control_effectiveness,thrust,deadband,backlash,latency_steps,wind_strength,nominal_servo_slew_deg_s,nominal_max_gimbal_deg,design_id
R0477,INFEASIBLE,0,-1.88622055569856,0.620235303185872,88.7077887536788,14.0325759592907,0.935505063952714,20,32,0,0,0,0,1.74602575616429,0.0270845312009304,0.0841002605424295,-42.9608166563243,10.5637267438828,43.922609271813,0.118068415007667,0.127894039009347,4,0.220623134225025,88.7077887536788,14.0325759592907,477
R0478,INFEASIBLE,0,-2.25042042673299,1.6539773353257,64.9766527893332,8.93707504491254,0.595805002994169,20,32,0,0,0,0,1.67029842189899,0.0153287166004255,0.120682089009515,-67.8218345980323,8.33377593836575,31.6976418584478,0.101575414418657,0.154135058508046,5,0.0573228202303952,64.9766527893332,8.93707504491254,478
R0479,EASY,2,2.1609399320626,1.17410820299931,51.8807669461401,12.7656918045685,0.851046120304565,20,32,1,1,1,1,2.03431808463094,0.0132108580835444,0.100200799374154,-51.6940203329203,6.20746827984858,25.1923164828789,0.144038106917029,0.0253453349632291,5,0.234578591755856,51.8807669461401,12.7656918045685,479
R0480,EASY,2,2.34593435797567,0.566636876323489,84.4975162753483,14.5737306447574,0.971582042983824,20,16,1,1,1,1,1.78630246250045,0.0292896148496384,0.0512580761586554,-67.4610642438864,5.33436780606192,48.2039545335477,0.00209483806417603,0.048932658586866,2,0.138970619019512,84.4975162753483,14.5737306447574,480
R0481,EASY,2,2.23079835013373,2.32641839458196,102.627357309821,14.5257427698914,0.968382851326096,20,8,1,1,1,1,1.39747397948165,0.0306592172869098,0.230001364220921,-55.749621051641,11.1838334434557,39.3215269558645,0.0506294400182077,0.0262615186350637,5,0.084691128602583,102.627357309821,14.5257427698914,481
R0482,EASY,2,2.12979618775296,0.549171717747426,71.493880864676,8.403803704269,0.5602535802846,20,32,1,1,1,1,2.03143141502248,0.0275323368904485,0.0603805591889161,-56.0769827247894,6.97958359719178,49.2049243443635,0.0704882743975025,0.0558460993146109,4,0.304148931541181,71.493880864676,8.403803704269,482
R0483,INFEASIBLE,0,-2.75666526303831,1.65182770896662,42.8781738924903,11.4170543968235,0.761136959788234,20,32,0,0,0,0,1.75777509080261,0.0101109504841466,0.147185513885276,-66.1698230633215,7.85429869007638,44.9968328691599,0.0755906801104288,0.208289229372918,1,0.449357279990042,42.8781738924903,11.4170543968235,483
R0484,INFEASIBLE,0,-2.26867572151088,0.609143360217012,111.191228029031,12.0132140831824,0.800880938878829,20,32,0,0,0,0,0.918196613708343,0.0268312228127375,0.0574345474220428,-55.7898348539023,8.94385718006309,35.8161488142517,0.0162760587620383,0.164831269412444,4,0.379394193104918,111.191228029031,12.0132140831824,484
R0485,EASY,2,1.87550703623102,0.905553845312778,47.027149074792,10.2733472807289,0.684889818715258,20,32,1,1,1,1,1.57742022431598,0.0256426879791836,0.0743545365541347,-59.8389517444582,8.58833818962707,31.2475300910184,0.00973959793980169,0.0717892621728415,5,0.126929384450762,47.027149074792,10.2733472807289,485
R0486,INFEASIBLE,0,-2.68122200730466,1.27903207861549,54.0418556134879,11.1953048765354,0.746353658435693,20,32,0,0,0,0,1.00602078455874,0.0393824451511013,0.228262922353003,-34.7924825998036,10.0221792606034,49.904541154657,0.0203885905119539,0.241057029788221,6,0.350923309400429,54.0418556134879,11.1953048765354,486
R0487,EASY,2,1.83317805524995,1.88163809005561,111.732075880303,14.3794177156561,0.958627847710404,20,32,1,1,1,1,1.10166417263896,0.0149770578865184,0.135414244607398,-65.3006807503938,12.0785222120627,28.5859931685511,0.111813545465527,0.0611618061397177,3,0.400869019666449,111.732075880303,14.3794177156561,487
R0488,INFEASIBLE,0,-2.49561383899862,0.951317958881295,80.2170873151908,13.3346689187203,0.888977927914689,20,32,0,0,0,0,1.49328422208105,0.0143813622052481,0.182327317503985,-30.0929754843301,9.86711458015064,43.0569947268704,0.0544285691500345,0.190938863556447,2,0.437350715026006,80.2170873151908,13.3346689187203,488
R0489,INFEASIBLE,0,-2.20933582534358,1.24048404917023,66.561925040381,13.321953396148,0.888130226409864,20,32,0,0,0,0,1.75134418055358,0.032016999452188,0.120229958796294,-57.8553221670928,11.5735240721854,40.6996821659853,0.0520896262064521,0.0974800322801558,1,0.170012790572063,66.561925040381,13.321953396148,489
R0490,EASY,2,1.42418608982551,1.66649013825922,96.9111466715671,12.1642504762954,0.810950031753024,20,32,1,1,1,1,1.13548742625605,0.012980738289166,0.150575867066502,-59.64862939904,7.79902874515741,37.5982424699871,0.120390106040124,0.0776515777263363,2,0.178245341406099,96.9111466715671,12.1642504762954,490
R0491,INFEASIBLE,0,-1.72947245449066,1.08479384956253,102.792748547613,9.95321372868052,0.663547581912034,20,32,0,0,0,0,1.76883186066592,0.015995036254709,0.174871985723483,-32.0319656520592,8.30317299899219,34.5123547668368,0.124136542154499,0.129427055170021,5,0.212156138683111,102.792748547613,9.95321372868052,491
R0492,FRAGILE,1,0,0.83917112723747,31.8453243189151,12.258841079545,0.817256071969668,20,32,1,1,0,0.666666666666667,1.90373063542838,0.0373589583666114,0.115145242690599,-38.5172306669178,9.15930779465083,36.1545032563671,0.088438986374753,0.0695726999723331,5,0.300723921415947,31.8453243189151,12.258841079545,492
R0493,FRAGILE,1,0,1.55641328578005,97.2400101822019,8.46927670822013,0.564618447214675,20,32,1,1,0,0.666666666666667,1.11838353417628,0.0304804288131408,0.176131167331718,-43.6728366359627,7.53194609558672,31.6159857745545,0.0344525485198018,0.166762335804105,5,0.331461485589319,97.2400101822019,8.46927670822013,493
R0494,EASY,2,1.98256021169787,1.15463734048197,71.5542720069843,8.55318165040885,0.570212110027257,20,32,1,1,1,1,1.40050753352752,0.0137749309217075,0.157526735138304,-36.7280720244206,10.6893230015275,32.4993718786389,0.000453214025740093,0.0728152303681979,4,0.204700903990031,71.5542720069843,8.55318165040885,494
R0495,INFEASIBLE,0,-2.57224136639739,0.996353892037173,28.2547915612428,9.88857036008633,0.659238024005756,20,32,0,0,0,0,1.58374364237767,0.0147377787814197,0.137420320067637,-43.2323066000971,10.0497445780256,46.0206597043158,0.145781916352964,0.165876614388892,6,0.108265513074728,28.2547915612428,9.88857036008633,495
R0496,FRAGILE,1,0,1.23745078531936,64.2953012798019,13.0296779781626,0.868645198544176,20,16,1,1,0,0.666666666666667,1.75253397020265,0.025294942543154,0.127976743484813,-44.1296906306097,11.4619814908218,26.9605880933012,0.0370970785034269,0.0607277804708819,4,0.226193372163456,64.2953012798019,13.0296779781626,496
R0497,INFEASIBLE,0,-2.03816992020287,1.25191631702468,112.514490031933,11.1237640161962,0.741584267746412,20,32,0,0,0,0,1.48134909297837,0.031369677245914,0.123788724427242,-54.1484220460738,9.14172471243288,37.1060344438567,0.0288036502135887,0.228469537826542,3,0.401593712891547,112.514490031933,11.1237640161962,497
