scenario_idx,ctrl_idx,disturb_amp,seed,rms_post_deg,peak_post_deg
2,2,0.5,7,3.03846814477497,4.12821969444107
2,2,0.5,8,3.01009305379607,4.31928959976953
2,2,1,1,6.82936249206853,9.97860214339303
2,2,1,2,0.466298558281809,1.19320270364541
2,2,1,3,0.552191684816745,1.0010360938092
2,2,1,4,0.488395158457893,0.903867762869637
2,2,1,5,2.44897985455912,4.43140077270371
2,2,1,6,2.54235344913066,3.35613959728667
2,2,1,7,3.06498063265683,4.28301832860644
2,2,1,8,3.00016377005836,4.22612404617603
2,2,1.5,1,6.85908412118659,10.053140909848
2,2,1.5,2,0.535762231372525,1.43860437002278
2,2,1.5,3,0.597820176290142,1.15740305126938
2,2,1.5,4,0.560255982533921,1.07835159847484
2,2,1.5,5,2.48565281730564,4.52723402018872
2,2,1.5,6,2.57584300444442,3.53263551688767
2,2,1.5,7,3.09483156941446,4.44400681933597
2,2,1.5,8,2.9907793877461,4.17587992695153
2,2,2,1,6.88567851108617,10.1527439292316
2,2,2,2,0.631533377930662,1.8436780386495
2,2,2,3,0.665416542031444,1.30049266365045
2,2,2,4,0.648599030574627,1.51182580021949
2,2,2,5,2.52970957656228,4.62503330782101
2,2,2,6,2.63030012014763,3.70572296151763
2,2,2,7,3.14873236842377,4.60570953539977
2,2,2,8,2.99576912150146,4.15401159856893
2,2,2.5,1,6.91632425590431,10.2991978237119
2,2,2.5,2,0.764260850812522,2.39942345081573
2,2,2.5,3,0.77794426049667,1.47265881633902
2,2,2.5,4,62.0940245036081,210.577779135217
2,2,2.5,5,157.669036692454,377.071416482653
2,2,2.5,6,297.862279060892,811.571251056922
2,2,2.5,7,219.904205429576,494.588309432696
2,2,2.5,8,112.432777182248,435.168475488766
2,2,3,1,7.01364758911513,10.4506443533388
2,2,3,2,182.760051747539,416.234814198259
2,2,3,3,167.915229566169,508.699871309376
2,2,3,4,250.114665756424,845.464756226585
2,2,3,5,141.192935118466,345.163880890066
2,2,3,6,206.434309681896,455.077496195344
2,2,3,7,156.650542119851,494.148069796974
2,2,3,8,266.815379064566,864.570958861976
2,2,3.5,1,137.655923227873,332.563000801064
2,2,3.5,2,308.152815751685,663.214020447461
2,2,3.5,3,181.295804187315,404.17830987318
2,2,3.5,4,347.29265253116,780.826036948025
2,2,3.5,5,354.543978344067,882.274831082553
2,2,3.5,6,309.154782629092,932.608005410025
2,2,3.5,7,335.982044918005,977.726739018846
2,2,3.5,8,352.3255975463,850.811755453883
2,2,4,1,354.561315901582,807.389259219872
2,2,4,2,315.354328400125,930.281796177252
2,2,4,3,328.217379147607,981.748377191837
2,2,4,4,317.295140032432,955.486993858101
2,2,4,5,287.717167993141,858.992149053292
2,2,4,6,267.18060040126,572.067946948044
2,2,4,7,276.552324253213,672.714116057709
2,2,4,8,297.345190499658,833.264020680313
2,3,0.5,1,6.94798122210864,10.3270461633947
2,3,0.5,2,0.598299608162729,1.14384535424818
2,3,0.5,3,0.641413604853476,1.39985057754329
2,3,0.5,4,0.750511734337583,1.45421718613278
2,3,0.5,5,2.48454859656333,4.77621676661589
2,3,0.5,6,2.61063293612878,4.09264802319383
2,3,0.5,7,3.14838773201359,4.92018125719483
2,3,0.5,8,2.86944749334055,4.40518754524287
2,3,1,1,7.09048690587734,10.9447579346242
2,3,1,2,1.04012099437786,1.80144638346711
2,3,1,3,1.01034317245768,1.64444991755024
2,3,1,4,1.20578009566462,2.15854988816143
2,3,1,5,2.69047550835183,5.50850822209429
2,3,1,6,2.81379208808953,4.81986860577735
2,3,1,7,3.3725511506134,5.63638444877861
2,3,1,8,2.92959613299336,4.6594594564629
2,3,1.5,1,7.2685643995292,11.6146936623877
2,3,1.5,2,1.53067316301979,2.61222765385947
2,3,1.5,3,1.47130850431516,2.33860621862502
2,3,1.5,4,1.6991747981372,2.87273804924585
2,3,1.5,5,2.96845159291552,6.21305047753832
2,3,1.5,6,3.0911406314933,5.54188701188218
2,3,1.5,7,3.64730124389678,6.35692670973052
2,3,1.5,8,3.06841840726945,5.33570106869514
2,3,2,1,7.47395960817471,12.3033655706028
2,3,2,2,2.04073609429182,3.42217853460395
