gust_idx,amp_idx,seed,disturb_amp,gust_std,pass,cause_code,rms_post_deg,peak_post_deg,false_sat,late_detection,conf_collapse,authority_exhaust,shield_dominated
2,8,9,4.5,0.2,1,0,3.66346214407154,7.98917486601242,1,0,0,0,0
2,8,10,4.5,0.2,1,0,13.9309893426527,27.970996259779,1,0,0,0,0
2,9,1,5,0.2,1,0,7.49035084786022,13.7747939878474,1,0,0,0,0
2,9,2,5,0.2,0,1,5268.76420754171,7044.56407484685,1,0,0,1,0
2,9,3,5,0.2,1,0,4.07259312157013,10.3975000720977,1,0,0,0,0
2,9,4,5,0.2,0,1,181.841144579639,403.929689105289,1,0,0,1,0
2,9,5,5,0.2,1,0,7.85182926589072,26.6050487005078,1,0,0,0,0
2,9,6,5,0.2,0,1,188.101111108535,662.020784573314,1,0,0,1,0
2,9,7,5,0.2,1,0,4.49087581758255,9.13661799138379,1,0,0,0,0
2,9,8,5,0.2,1,0,4.91855188056692,12.82139003985,1,0,0,0,0
2,9,9,5,0.2,1,0,4.86989249068113,13.6113710764722,1,0,0,0,0
2,9,10,5,0.2,1,0,4.69764248211493,10.6819165058501,1,0,0,0,0
2,10,1,5.5,0.2,0,1,2715.43599008081,4118.11745387728,1,0,0,1,0
2,10,2,5.5,0.2,1,0,3.57687208634239,7.38575953252396,1,0,0,0,0
2,10,3,5.5,0.2,1,0,3.69028994191805,8.23506947854909,1,0,0,0,0
2,10,4,5.5,0.2,0,1,150.229213917781,347.541016195398,1,0,0,1,0
2,10,5,5.5,0.2,1,0,6.23365449482968,18.4204639034264,1,0,0,0,0
2,10,6,5.5,0.2,1,0,6.5248792686875,16.7002804460379,1,0,0,0,0
2,10,7,5.5,0.2,1,0,4.74667186723738,10.2315224593025,1,0,0,0,0
2,10,8,5.5,0.2,1,0,4.85433902387764,9.92445415670806,1,0,0,0,0
2,10,9,5.5,0.2,1,0,5.96314445672042,14.5016293397737,1,0,0,0,0
2,10,10,5.5,0.2,1,0,5.72270450306975,12.7083304005424,1,0,0,0,0
2,11,1,6,0.2,0,1,4412.97552679808,6288.05279698441,1,0,0,1,0
2,11,2,6,0.2,0,1,1414.41364994153,3318.15665605938,1,0,0,1,0
2,11,3,6,0.2,1,0,6.82910317990475,22.2978418565395,1,0,0,0,0
2,11,4,6,0.2,0,1,1424.35349013615,2289.44071119053,1,0,0,1,0
2,11,5,6,0.2,1,0,4.57472613437982,9.17468413847587,1,0,0,0,0
2,11,6,6,0.2,0,1,1078.55794764223,1814.09603137842,1,0,0,1,0
2,11,7,6,0.2,1,0,4.78259886173598,10.7118373699949,1,0,0,0,0
2,11,8,6,0.2,0,1,570.432345273988,1411.49948306744,1,0,0,1,0
2,11,9,6,0.2,1,0,4.86856541387386,13.8569992633452,1,0,0,0,0
2,11,10,6,0.2,1,0,5.8128111749479,14.7920425006956,1,0,0,0,0
3,1,1,1,0.3,1,0,6.82574156535699,11.730100910481,0,0,1,0,0
3,1,2,1,0.3,1,0,1.2503377288548,3.16166884276736,0,0,1,0,0
3,1,3,1,0.3,1,0,1.5968165231704,4.52234261309556,0,0,1,0,0
3,1,4,1,0.3,1,0,1.44989990404263,3.69140607888363,0,0,1,0,0
3,1,5,1,0.3,1,0,2.69630694690474,5.6676943836497,0,0,1,0,0
3,1,6,1,0.3,1,0,2.91148855912213,5.8703489689834,0,0,1,0,0
3,1,7,1,0.3,1,0,3.58122825752923,6.52192367639959,0,0,1,0,0
3,1,8,1,0.3,1,0,3.11297437811681,6.38983427603731,0,0,1,0,0
3,1,9,1,0.3,1,0,2.32449914155531,7.47498524307562,0,0,1,0,0
3,1,10,1,0.3,1,0,3.70969820299699,7.92153790420136,0,0,1,0,0
3,2,1,1.5,0.3,1,0,7.40285219424717,12.7967246495419,0,0,0,0,0
3,2,2,1.5,0.3,1,0,1.73668117820454,3.71393926880635,0,0,1,0,0
3,2,3,1.5,0.3,1,0,1.87942904804963,4.49927688838695,0,0,1,0,0
3,2,4,1.5,0.3,1,0,1.5924677110665,4.61962618416805,0,0,1,0,0
3,2,5,1.5,0.3,1,0,2.5523656289689,5.61968738083276,0,0,1,0,0
3,2,6,1.5,0.3,1,0,3.22900682638502,6.96153331194797,0,0,1,0,0
3,2,7,1.5,0.3,1,0,3.1684045733653,6.48303242941156,0,0,1,0,0
3,2,8,1.5,0.3,1,0,3.23531752655614,6.71586516241733,0,0,1,0,0
3,2,9,1.5,0.3,1,0,2.54403609838263,7.60816340428718,0,0,1,0,0
3,2,10,1.5,0.3,1,0,3.81225846327642,8.40329443601531,0,0,1,0,0
3,3,1,2,0.3,1,0,7.00394471304917,11.6182095202876,0,0,0,0,0
3,3,2,2,0.3,1,0,1.99899138386497,4.63078722599351,0,0,0,0,0
3,3,3,2,0.3,1,0,1.9146046729158,5.29581350078359,0,0,0,0,0
3,3,4,2,0.3,1,0,1.94171366469808,4.75001604133234,0,0,0,0,0
3,3,5,2,0.3,1,0,3.03880939631636,7.25841400370926,0,0,0,0,0
3,3,6,2,0.3,1,0,3.36893363113383,8.05245900666827,0,0,0,0,0
3,3,7,2,0.3,1,0,3.45081510072621,7.11764015336529,0,0,1,0,0
3,3,8,2,0.3,1,0,3.67950178595854,9.00143784204969,0,0,0,0,0
3,3,9,2,0.3,1,0,2.34876167625791,6.17537458903382,0,0,0,0,0
3,3,10,2,0.3,1,0,3.90670046062459,8.87851974020199,0,0,0,0,0
3,4,1,2.5,0.3,1,0,7.03591925938022,12.044506311713,0,0,0,0,0
3,4,2,2.5,0.3,1,0,2.18537533676342,6.2489850667241,0,0,0,0,0
3,4,3,2.5,0.3,1,0,2.26534356941385,6.14301445973185,0,0,0,0,0
3,4,4,2.5,0.3,1,0,2.64393650772633,8.44564732110245,0,0,0,0,0
3,4,5,2.5,0.3,1,0,3.72294838657871,10.5773615816014,0,0,0,0,0
3,4,6,2.5,0.3,1,0,2.77220792365629,5.8312987251868,0,0,0,0,0
3,4,7,2.5,0.3,1,0,3.96468225452874,8.61881160704918,0,0,0,0,0
3,4,8,2.5,0.3,1,0,4.22114203928497,10.8836707360358,0,0,0,0,0
3,4,9,2.5,0.3,1,0,2.61556684584124,6.58409517952751,0,0,0,0,0
3,4,10,2.5,0.3,1,0,4.25711986655795,10.8530072943357,0,0,0,0,0
3,5,1,3,0.3,1,0,7.41767728915109,12.4222493232296,0,0,0,0,0
3,5,2,3,0.3,1,0,2.40867379943394,5.35765253657939,0,0,0,0,0
3,5,3,3,0.3,1,0,2.78689997321001,8.26072344290384,0,0,0,0,0
3,5,4,3,0.3,1,0,2.29208925379531,4.90714092671505,0,0,0,0,0
3,5,5,3,0.3,1,0,3.30649050559152,7.2022089279931,0,0,0,0,0
3,5,6,3,0.3,1,0,4.12423001083721,10.7681190565532,1,0,0,0,0
3,5,7,3,0.3,1,0,3.67013690631053,7.98945817206178,0,0,0,0,0
3,5,8,3,0.3,1,0,4.29742415511612,12.9680572781848,0,0,0,0,0
3,5,9,3,0.3,1,0,3.49912048314348,8.97933013203704,1,0,0,0,0
3,5,10,3,0.3,1,0,4.11259614803661,9.75211572416386,0,0,0,0,0
3,6,1,3.5,0.3,1,0,7.72437211854733,12.7589889603423,0,0,0,0,0
3,6,2,3.5,0.3,1,0,2.61508363536446,6.62015234732305,0,0,0,0,0
3,6,3,3.5,0.3,1,0,3.18261769417133,8.63935782900298,0,0,0,0,0
3,6,4,3.5,0.3,1,0,3.00703316246419,7.66145650388622,0,0,0,0,0
3,6,5,3.5,0.3,1,0,3.38279409362911,6.89822409900222,0,0,0,0,0
3,6,6,3.5,0.3,1,0,3.86711288469237,9.09059098849694,0,0,0,0,0
3,6,7,3.5,0.3,1,0,3.92441197112352,8.8483235090531,0,0,0,0,0
3,6,8,3.5,0.3,1,0,3.68913574228998,8.65620367254802,0,0,0,0,0
