feature,class_label,grid_value,partial_dependence
best_u_max_frac,INFEASIBLE,0.5673269407817045,0.5286578683215314
best_u_max_frac,INFEASIBLE,0.5890399192730541,0.5332631879571152
best_u_max_frac,INFEASIBLE,0.6107528977644036,0.5353763612723395
best_u_max_frac,INFEASIBLE,0.6324658762557531,0.5403126149320799
best_u_max_frac,INFEASIBLE,0.6541788547471026,0.542072163260585
best_u_max_frac,INFEASIBLE,0.6758918332384521,0.5407987062822943
best_u_max_frac,INFEASIBLE,0.6976048117298017,0.5432849242510585
best_u_max_frac,INFEASIBLE,0.7193177902211512,0.5400445547698307
best_u_max_frac,INFEASIBLE,0.7410307687125007,0.539463885255834
best_u_max_frac,INFEASIBLE,0.7627437472038502,0.5426183259236521
best_u_max_frac,INFEASIBLE,0.7844567256951998,0.5443204861873157
best_u_max_frac,INFEASIBLE,0.8061697041865492,0.5429847619024333
best_u_max_frac,INFEASIBLE,0.8278826826778988,0.543928114711865
best_u_max_frac,INFEASIBLE,0.8495956611692483,0.5461885554928151
best_u_max_frac,INFEASIBLE,0.8713086396605978,0.5570007840096206
best_u_max_frac,INFEASIBLE,0.8930216181519474,0.5628628766878274
best_u_max_frac,INFEASIBLE,0.9147345966432969,0.5642057147701376
best_u_max_frac,INFEASIBLE,0.9364475751346464,0.564135288823934
best_u_max_frac,INFEASIBLE,0.9581605536259958,0.5643806140933434
best_u_max_frac,INFEASIBLE,0.9798735321173454,0.5547757732253334
mass,EASY,0.9587406431836532,0.30631034104982946
mass,EASY,1.0148616466141196,0.3073763169983273
mass,EASY,1.0709826500445858,0.30771035864245583
mass,EASY,1.1271036534750523,0.30585166060962554
mass,EASY,1.1832246569055185,0.30403415058887046
mass,EASY,1.239345660335985,0.3032009051401871
mass,EASY,1.2954666637664511,0.3042986759479448
mass,EASY,1.3515876671969176,0.3023170875235744
mass,EASY,1.4077086706273838,0.30238593172100786
mass,EASY,1.4638296740578502,0.3025894659061532
mass,EASY,1.5199506774883167,0.3022225109261855
mass,EASY,1.576071680918783,0.3024238553865424
mass,EASY,1.6321926843492491,0.30411588499049913
mass,EASY,1.6883136877797156,0.3065815266340182
mass,EASY,1.744434691210182,0.3072101855539728
mass,EASY,1.8005556946406482,0.30880515035192097
mass,EASY,1.8566766980711145,0.31018010565098625
mass,EASY,1.912797701501581,0.3086448791435195
mass,EASY,1.9689187049320473,0.30617936212593505
mass,EASY,2.0250397083625136,0.3054654839184909
mass,FRAGILE,0.9587406431836532,0.14138817646404084
mass,FRAGILE,1.0148616466141196,0.14181433383135225
mass,FRAGILE,1.0709826500445858,0.14076767329024328
mass,FRAGILE,1.1271036534750523,0.14285267281084157
mass,FRAGILE,1.1832246569055185,0.1447058932070178
mass,FRAGILE,1.239345660335985,0.146416608696798
mass,FRAGILE,1.2954666637664511,0.1449935176070146
mass,FRAGILE,1.3515876671969176,0.14924669751607966
mass,FRAGILE,1.4077086706273838,0.15030456572722548
mass,FRAGILE,1.4638296740578502,0.1500892449682199
mass,FRAGILE,1.5199506774883167,0.15143327130796014
mass,FRAGILE,1.576071680918783,0.15224204403688862
mass,FRAGILE,1.6321926843492491,0.15503226247218815
mass,FRAGILE,1.6883136877797156,0.150740244075918
mass,FRAGILE,1.744434691210182,0.15092010001267556
mass,FRAGILE,1.8005556946406482,0.14931454178065534
mass,FRAGILE,1.8566766980711145,0.14981140985529104
mass,FRAGILE,1.912797701501581,0.14833838768831825
mass,FRAGILE,1.9689187049320473,0.1502412270028843
mass,FRAGILE,2.0250397083625136,0.15427138021839154
mass,INFEASIBLE,0.9587406431836532,0.5523014824861295
mass,INFEASIBLE,1.0148616466141196,0.5508093491703201
mass,INFEASIBLE,1.0709826500445858,0.5515219680673005
mass,INFEASIBLE,1.1271036534750523,0.5512956665795328
mass,INFEASIBLE,1.1832246569055185,0.5512599562041118
mass,INFEASIBLE,1.239345660335985,0.550382486163015
mass,INFEASIBLE,1.2954666637664511,0.5507078064450411
mass,INFEASIBLE,1.3515876671969176,0.5484362149603463
mass,INFEASIBLE,1.4077086706273838,0.5473095025517668
mass,INFEASIBLE,1.4638296740578502,0.5473212891256272
mass,INFEASIBLE,1.5199506774883167,0.5463442177658547
mass,INFEASIBLE,1.576071680918783,0.5453341005765693
mass,INFEASIBLE,1.6321926843492491,0.5408518525373127
mass,INFEASIBLE,1.6883136877797156,0.5426782292900638
mass,INFEASIBLE,1.744434691210182,0.5418697144333515
mass,INFEASIBLE,1.8005556946406482,0.5418803078674236
mass,INFEASIBLE,1.8566766980711145,0.540008484493722
mass,INFEASIBLE,1.912797701501581,0.543016733168162
mass,INFEASIBLE,1.9689187049320473,0.5435794108711807
mass,INFEASIBLE,2.0250397083625136,0.5402631358631175
Iyy,EASY,0.011949513100078217,0.29827811726353487
Iyy,EASY,0.01336863768774803,0.2971859378316535
Iyy,EASY,0.01478776227541784,0.2992211558315842
Iyy,EASY,0.016206886863087654,0.30072213738965664
Iyy,EASY,0.017626011450757467,0.3004236367260033
Iyy,EASY,0.01904513603842728,0.3049557605474925
Iyy,EASY,0.02046426062609709,0.3027861383692516
Iyy,EASY,0.021883385213766902,0.30485432742090796
Iyy,EASY,0.023302509801436715,0.3067003086725233
Iyy,EASY,0.024721634389106528,0.3067245109830215
Iyy,EASY,0.02614075897677634,0.30781498595854606
Iyy,EASY,0.02755988356444615,0.308123664992926
Iyy,EASY,0.028979008152115966,0.3123048431866583
Iyy,EASY,0.030398132739785776,0.3153008132590276
Iyy,EASY,0.031817257327455585,0.3154762559055536
Iyy,EASY,0.0332363819151254,0.3122103898173666
Iyy,EASY,0.03465550650279521,0.3112337631322971
Iyy,EASY,0.03607463109046503,0.3081953693172787
Iyy,EASY,0.03749375567813484,0.30651176377485573
Iyy,EASY,0.03891288026580465,0.3063528435949527
Iyy,FRAGILE,0.011949513100078217,0.1622848324771678
Iyy,FRAGILE,0.01336863768774803,0.16265856160164624
Iyy,FRAGILE,0.01478776227541784,0.1595789623887146
Iyy,FRAGILE,0.016206886863087654,0.15601895749550773
Iyy,FRAGILE,0.017626011450757467,0.1563773545985313
Iyy,FRAGILE,0.01904513603842728,0.15607400237317218
Iyy,FRAGILE,0.02046426062609709,0.15636578869336132
Iyy,FRAGILE,0.021883385213766902,0.1543846210002987
Iyy,FRAGILE,0.023302509801436715,0.15130746818307692
Iyy,FRAGILE,0.024721634389106528,0.15214639381881367
Iyy,FRAGILE,0.02614075897677634,0.1498206619697398
Iyy,FRAGILE,0.02755988356444615,0.1512589286920863
Iyy,FRAGILE,0.028979008152115966,0.13795459960301756
Iyy,FRAGILE,0.030398132739785776,0.1329885856194144
Iyy,FRAGILE,0.031817257327455585,0.13292432739306143
Iyy,FRAGILE,0.0332363819151254,0.13246657036994997
Iyy,FRAGILE,0.03465550650279521,0.13409838359644632
Iyy,FRAGILE,0.03607463109046503,0.13896405419309477
Iyy,FRAGILE,0.03749375567813484,0.13624480727034088
Iyy,FRAGILE,0.03891288026580465,0.1364352504547023
Iyy,INFEASIBLE,0.011949513100078217,0.5394370502592973
