case_id,controller,regime_name,rate_center_deg_s,tau_actuator_ms,tau_sensor_ms,processing_delay_ms,aero_scale,thrust_scale,rms_angle_error_deg,rms_rate_deg_s,max_abs_angle_deg,max_abs_delta_deg,final_error_deg,unstable,precision_success,mean_abs_alpha_deg,cp_ahead_share,zero_crossings_error,slew_tracking_error_deg,overshoot_error_deg
15,ADRC,HIGH_RATE,250,8,15,6,1,0.9,10.9115400237204,44.5972239629767,37.5413813100393,10,1.61292451410941,0,0,108.777665413464,0,1,0.0630530060291247,1.97613806602733
15,AI,HIGH_RATE,250,8,15,6,1,0.9,135.822998729227,60.3300968719603,219.550050105346,9.99962891024988,-219.550050105346,1,0,80.8513900958729,0,0,3.0622840572109,0
16,PID,LOW_RATE,40,25,15,6,1,0.9,1.36818033631315,15.0568156386701,7.40063879593555,9.88495276925723,-0.534097033710336,0,1,94.7584561820967,0,52,5.97183052036184,0.29564964098945
16,ADRC,LOW_RATE,40,25,15,6,1,0.9,2.05586874471133,6.92604903088157,8.11657773992664,4.58484526397926,0.301854648140183,0,0,96.4505817298072,0,1,0.0742773747363035,0.323826250873315
16,AI,LOW_RATE,40,25,15,6,1,0.9,1.71145655422613,9.54225261097753,7.62901598903752,8.37404600589102,-0.695124895832523,0,1,93.8859351921114,0,4,1.48843762247231,1.4881028926256
16,PID,MID_RATE,130,25,15,6,1,0.9,3.77079114558973,26.0167734973448,16.7861898948887,9.99927468092714,-0.375480767907226,0,0,100.757006436844,0,48,5.75097249216048,0.26052963954482
16,ADRC,MID_RATE,130,25,15,6,1,0.9,4.2397124211885,20.4697904676761,16.848913939144,9.78380356666198,0.587913208819258,0,0,101.408132170876,0,1,0.166079659869012,0.658437608493797
16,AI,MID_RATE,130,25,15,6,1,0.9,121.872094731942,51.2951834743713,205.943395512265,9.5955266501785,-205.943395512265,1,0,80.8149704864769,0,0,4.02760032346228,0
16,PID,HIGH_RATE,250,25,15,6,1,0.9,11.5484763428451,55.7674621526079,41.6754816544038,9.99999980432049,-0.1414657280536,0,0,109.561222987202,0,46,5.30567308904451,0.221329553565605
16,ADRC,HIGH_RATE,250,25,15,6,1,0.9,12.2169177039105,49.1777964909992,41.6754816544038,9.99997582731248,1.80927171120343,0,0,109.331669306673,0,1,0.19268447755098,2.21885456972648
16,AI,HIGH_RATE,250,25,15,6,1,0.9,140.484358672365,62.9369351019745,226.183316820717,9.49998435805174,-226.183316820717,1,0,79.5879049732405,0,0,3.85070462345411,0
17,PID,LOW_RATE,40,8,3,1,1.3,0.9,1.30445448145326,6.66464557659614,6.974712271315,9.99977997162642,-0.234111226270382,0,1,96.3410581065204,0,0,0.0604793008951937,0
17,ADRC,LOW_RATE,40,8,3,1,1.3,0.9,2.08889847505827,5.59788019453378,7.59841729482018,5.77999100119511,0.368620207353786,0,0,98.4398991854601,0,1,0.0264971711618588,0.379468008676207
17,AI,LOW_RATE,40,8,3,1,1.3,0.9,4.79451505741118,3.9879922379433,7.13829631173201,9.62464878249654,-4.93209098718363,0,0,101.967018614739,0,0,1.15161618503228,0
17,PID,MID_RATE,130,8,3,1,1.3,0.9,3.36152862980304,19.0136728879224,14.8693765395822,9.99999999999103,-0.243746393129517,0,0,101.8647211784,0,0,0.0703703316564267,0
17,ADRC,MID_RATE,130,8,3,1,1.3,0.9,4.22911244304352,17.1296580168467,15.0713584379408,9.99990241549128,0.689588911056345,0,0,103.37669296817,0,1,0.046743727958029,0.742020211476738
17,AI,MID_RATE,130,8,3,1,1.3,0.9,113.82166404919,47.2295862761233,191.913628012565,9.9933388694106,-191.913628012565,1,0,84.3243377587966,0,0,4.66535118420915,0
17,PID,HIGH_RATE,250,8,3,1,1.3,0.9,10.3564708325032,47.0587399170407,37.5743051385603,10,-0.257770396038748,0,0,110.427612943546,0,0,0.0923346700094662,0
17,ADRC,HIGH_RATE,250,8,3,1,1.3,0.9,11.265594769885,43.8130910338908,37.5743051385603,10,1.76970964141509,0,0,110.472289909637,0,1,0.0497130597159111,2.06997749696149
17,AI,HIGH_RATE,250,8,3,1,1.3,0.9,132.039446671261,58.7746094345429,212.140024693209,9.99766478300862,-212.140024693209,1,0,83.235938432313,0,0,4.27034408563515,0
18,PID,LOW_RATE,40,25,3,1,1.3,0.9,1.42262173291776,7.52001358055344,7.40037236643193,9.785948094447,-0.234725306336125,0,1,96.5751010370419,0,0,0.262938248344428,0
18,ADRC,LOW_RATE,40,25,3,1,1.3,0.9,2.12950733823112,6.2765225750132,8.00716051341046,4.99008243902477,0.374771753921025,0,0,98.5045179709193,0,1,0.0742479745919651,0.385394248758542
18,AI,LOW_RATE,40,25,3,1,1.3,0.9,2.05267353034813,6.28740363442618,7.62385382675114,8.05312390423338,-1.01829563300685,0,0,98.5961620223448,0,0,1.87163652130848,0
18,PID,MID_RATE,130,25,3,1,1.3,0.9,3.86237370438439,21.7514531753998,16.7874311561458,9.99892047274081,-0.245112846175776,0,0,102.462905372765,0,0,0.294964666611241,0
18,ADRC,MID_RATE,130,25,3,1,1.3,0.9,4.56682008178925,19.4309842597476,16.8398119658737,9.8713193290241,0.734394052155494,0,0,103.659140060774,0,1,0.142495345328712,0.792498779856308
18,AI,MID_RATE,130,25,3,1,1.3,0.9,115.484072879429,48.0251199344272,193.990603176474,9.44954767722769,-193.990603176474,1,0,84.015288599955,0,0,4.2163150723435,0
18,PID,HIGH_RATE,250,25,3,1,1.3,0.9,11.7025022378518,52.2354641790149,41.7114946271797,9.99999969153883,-0.258781482947805,0,0,111.097057392197,0,0,0.323786015183821,0
18,ADRC,HIGH_RATE,250,25,3,1,1.3,0.9,12.5529426587889,48.1709057940732,41.7114946271797,9.99994226029601,1.96803788440893,0,0,110.978255548344,0,1,0.157754485998725,2.31305255780444
18,AI,HIGH_RATE,250,25,3,1,1.3,0.9,135.091329636966,60.7792690669984,215.636967859348,9.07548943908071,-215.636967859348,1,0,82.5735942504983,0,0,3.89705029935008,0
19,PID,LOW_RATE,40,8,15,1,1.3,0.9,1.27772465946591,7.05692851015504,6.97483211381786,9.99994678119772,-0.234006813687621,0,1,96.2738762134721,0,0,0.124417995443077,0
19,ADRC,LOW_RATE,40,8,15,1,1.3,0.9,2.07420886155591,5.97164931130604,7.73608551350582,5.5552075772119,0.3676865929125,0,0,98.3690735859284,0,1,0.0269031905591578,0.378894604393714
19,AI,LOW_RATE,40,8,15,1,1.3,0.9,1.92611364972943,5.89617436995281,7.14554495709235,9.63759039445636,-1.00753803439391,0,0,98.3733275147117,0,0,0.927788802825944,0
19,PID,MID_RATE,130,8,15,1,1.3,0.9,3.32730247615135,19.3701126054979,14.8699740387291,9.99999999999827,-0.243575608560912,0,0,101.786956509876,0,0,0.127046372278059,0
19,ADRC,MID_RATE,130,8,15,1,1.3,0.9,4.04435342250893,17.7352525394653,15.2784199286768,9.99495921658682,0.651857821761859,0,0,103.066742091416,0,1,0.0502244320095327,0.699098775164472
19,AI,MID_RATE,130,8,15,1,1.3,0.9,117.202102690541,48.9751347268891,198.504691233429,9.99555628139091,-198.504691233429,1,0,82.9122946015147,0,0,2.78554558948826,0
19,PID,HIGH_RATE,250,8,15,1,1.3,0.9,10.2916317634792,47.8111113674617,37.5755641820596,10,-0.257396637615489,0,0,110.33278527157,0,0,0.132443309224874,0
