scenario,controller,cop_uncertainty,wind_scale,sensor_noise_scale,actuator_delay_ms,adrc_wo_rad_s,success_rate,rms_theta_deg_mean,rms_theta_deg_std,sat_fraction_mean,eso_error_rms,mean_loop_us,loop_utilization
CoP30_Wind25,ADRC,0.3,0.25,1.75,40,8,0.333333333333333,1.53576736084904,0.0791557157937621,0,0.27715026908095,5.02751851851852,0.0010055037037037
CoP30_Wind25,ADRC,0.3,0.25,1.75,40,10,0.555555555555556,1.48675670206831,0.0640308134769905,0,0.283709341776532,4.96329166666667,0.000992658333333334
CoP30_Wind25,ADRC,0.3,0.25,1.75,40,12,0.777777777777778,1.45570026098055,0.0545007924421168,0,0.292372293683172,4.94978703703704,0.000989957407407408
CoP30_Wind25,ADRC,0.3,0.25,1.75,40,14,0.888888888888889,1.43458630489373,0.0482197239394663,0,0.306379627833817,4.94147685185185,0.00098829537037037
CoP30_Wind25,ADRC,0.3,0.25,1.75,40,16,0.944444444444444,1.42130694700297,0.046040735921142,0,0.329174841834181,4.91791203703704,0.000983582407407407
CoP30_Wind25,ADRC,0.3,0.25,1.75,40,18,0.944444444444444,1.41460267272714,0.0475873362523486,0,0.363600559004799,5.19477777777778,0.00103895555555556
CoP30_Wind25,ADRC,0.3,0.25,0.8,50,6,0,1.6873721309195,0.105807862812569,0,0.271208853063257,5.52998611111111,0.00110599722222222
CoP30_Wind25,ADRC,0.3,0.25,0.8,50,8,0.166666666666667,1.58906981237331,0.0755763502154754,0,0.275980738654482,5.60967592592593,0.00112193518518519
CoP30_Wind25,ADRC,0.3,0.25,0.8,50,10,0.277777777777778,1.53924062100216,0.0606552032647375,0,0.280234244940643,6.41069907407408,0.00128213981481482
CoP30_Wind25,ADRC,0.3,0.25,0.8,50,12,0.444444444444444,1.50995003602819,0.0523076462855006,0,0.28442337505549,6.05447222222222,0.00121089444444444
CoP30_Wind25,ADRC,0.3,0.25,0.8,50,14,0.555555555555556,1.49311583578427,0.0504622282521216,0,0.289399880978284,5.87903240740741,0.00117580648148148
CoP30_Wind25,ADRC,0.3,0.25,0.8,50,16,0.666666666666667,1.48431861379055,0.0561010588703448,0,0.296142018473863,5.63725925925926,0.00112745185185185
CoP30_Wind25,ADRC,0.3,0.25,0.8,50,18,0.722222222222222,1.48062198972986,0.068874239247133,0,0.305607800023816,5.63349537037037,0.00112669907407407
CoP30_Wind25,ADRC,0.3,0.25,1,50,6,0,1.67835554935897,0.11850543745745,0,0.269245406160815,5.56725462962963,0.00111345092592593
CoP30_Wind25,ADRC,0.3,0.25,1,50,8,0.166666666666667,1.57972374758147,0.0786488216541549,0,0.272967780271382,5.23255555555556,0.00104651111111111
CoP30_Wind25,ADRC,0.3,0.25,1,50,10,0.333333333333333,1.53062383724197,0.0611462650199466,0,0.27706791849222,5.05905555555556,0.00101181111111111
CoP30_Wind25,ADRC,0.3,0.25,1,50,12,0.555555555555556,1.50272765463096,0.0515400344834126,0,0.281494786090482,5.28159722222222,0.00105631944444444
CoP30_Wind25,ADRC,0.3,0.25,1,50,14,0.611111111111111,1.48516960394255,0.0462707241757481,0,0.287341747600726,5.03278240740741,0.00100655648148148
CoP30_Wind25,ADRC,0.3,0.25,1,50,16,0.611111111111111,1.47342580551576,0.0425842859302132,0,0.296155858885739,5.04934722222222,0.00100986944444444
CoP30_Wind25,ADRC,0.3,0.25,1,50,18,0.666666666666667,1.46696680294834,0.0411130523382001,0,0.309710381314785,5.03442592592592,0.00100688518518519
CoP30_Wind25,ADRC,0.3,0.25,1.25,50,6,0,1.71954362401922,0.111179638093028,0,0.279466796702099,4.97810648148148,0.000995621296296296
CoP30_Wind25,ADRC,0.3,0.25,1.25,50,8,0.0555555555555556,1.61059530933177,0.0736669899049939,0,0.282149699972446,4.9562037037037,0.000991240740740741
CoP30_Wind25,ADRC,0.3,0.25,1.25,50,10,0.166666666666667,1.55650501714407,0.0571063099198536,0,0.285850974531651,4.98414351851852,0.000996828703703704
CoP30_Wind25,ADRC,0.3,0.25,1.25,50,12,0.333333333333333,1.52534520185199,0.0482747010580584,0,0.290566704490309,5.28275,0.00105655
CoP30_Wind25,ADRC,0.3,0.25,1.25,50,14,0.444444444444444,1.50545857667205,0.0433472169817126,0,0.297771303768852,5.30861111111111,0.00106172222222222
CoP30_Wind25,ADRC,0.3,0.25,1.25,50,16,0.444444444444444,1.49227841865365,0.0410637002561808,0,0.309648872411094,5.33792592592593,0.00106758518518519
CoP30_Wind25,ADRC,0.3,0.25,1.25,50,18,0.5,1.48545656186592,0.0420687438389203,0,0.328537468330364,5.38941666666667,0.00107788333333333
CoP30_Wind25,ADRC,0.3,0.25,1.5,50,6,0,1.7271856306247,0.115931510035936,0,0.276463153110497,5.35689814814815,0.00107137962962963
CoP30_Wind25,ADRC,0.3,0.25,1.5,50,8,0.0555555555555556,1.61969600368878,0.0810260843225315,0,0.280897404542474,5.19997222222222,0.00103999444444444
CoP30_Wind25,ADRC,0.3,0.25,1.5,50,10,0.111111111111111,1.56452747482784,0.0645921608643936,0,0.286318424110771,4.98771296296296,0.000997542592592593
CoP30_Wind25,ADRC,0.3,0.25,1.5,50,12,0.388888888888889,1.5321403434507,0.0560076552983671,0,0.293796936400756,4.94323148148148,0.000988646296296297
CoP30_Wind25,ADRC,0.3,0.25,1.5,50,14,0.388888888888889,1.51337814314149,0.0521561028228691,0,0.305541082043187,4.95018518518519,0.000990037037037037
CoP30_Wind25,ADRC,0.3,0.25,1.5,50,16,0.444444444444444,1.50443966599406,0.0535408099574353,0,0.324324132787304,5.05315277777778,0.00101063055555556
CoP30_Wind25,ADRC,0.3,0.25,1.5,50,18,0.444444444444444,1.50540899058852,0.0616120298888801,0,0.352704757388804,5.05863888888889,0.00101172777777778
CoP30_Wind25,ADRC,0.3,0.25,1.75,50,6,0,1.72307781152764,0.115768978956832,0,0.274389246678959,5.41556481481481,0.00108311296296296
CoP30_Wind25,ADRC,0.3,0.25,1.75,50,8,0.0555555555555556,1.61452353442978,0.0778491292722502,0,0.279189520477044,5.28451851851852,0.0010569037037037
CoP30_Wind25,ADRC,0.3,0.25,1.75,50,10,0.166666666666667,1.55761197639657,0.061456179001982,0,0.285296326624267,5.23208333333333,0.00104641666666667
CoP30_Wind25,ADRC,0.3,0.25,1.75,50,12,0.333333333333333,1.52379338547927,0.0533529212846217,0,0.29455503494229,4.99269444444444,0.000998538888888889
CoP30_Wind25,ADRC,0.3,0.25,1.75,50,14,0.388888888888889,1.50538958120731,0.0489773533474673,0,0.309749228652405,5.0759212962963,0.00101518425925926
CoP30_Wind25,ADRC,0.3,0.25,1.75,50,16,0.5,1.49856021058382,0.0468436585060962,0,0.33412519226585,5.05046759259259,0.00101009351851852
CoP30_Wind25,ADRC,0.3,0.25,1.75,50,18,0.5,1.50319385425896,0.049289608908841,0,0.370268568736552,5.29197222222222,0.00105839444444444
CoP30_Wind25,ADRC,0.3,0.25,0.8,60,6,0,1.72053565615291,0.120668129540675,0,0.256779378895139,5.32569444444445,0.00106513888888889
CoP30_Wind25,ADRC,0.3,0.25,0.8,60,8,0.0555555555555556,1.6271135917923,0.0783230997772085,0,0.261461639455407,5.33858333333334,0.00106771666666667
