case_id,regime_id,regime_name,rate_center_deg_s,tau_actuator_ms,tau_sensor_ms,processing_delay_ms,aero_scale,thrust_scale,rms_theta_residual_deg,rms_rate_residual_deg_s,phase_lag_divergence_ms,aero_only_residual_deg,delay_only_residual_deg,actuator_only_residual_deg,sensor_only_residual_deg,processing_only_residual_deg,unstable_truth,delay_perturbed,aero_perturbed,comparison_valid,effect_margin_deg,effect_ratio,unstable_pred_nominal,stability_mismatch,dominant_source,control_limitation_regime,cp_ahead_share_truth,mean_static_margin_cal_truth,mean_abs_alpha_deg_truth,aero_model_required
22,1,LOW_RATE,40,25,3,6,1.3,0.9,0.94157282260191,17.5977769670988,404,0.128972087679807,0.834374941102687,NaN,NaN,NaN,0,1,1,1,0.705402853422881,6.46942261781598,0,0,DELAY,DELAY_LIMITED,0,2.79999999999997,94.8073571774174,0
22,2,MID_RATE,130,25,3,6,1.3,0.9,3.25688126329458,39.5895295724131,50,0.723233828374187,2.5912648710557,NaN,NaN,NaN,0,1,1,1,1.86803104268151,3.58288670882667,0,0,DELAY,DELAY_LIMITED,0,2.79999999999997,99.6695100268467,0
22,3,HIGH_RATE,250,25,3,6,1.3,0.9,10.2589273227036,83.6653648828031,94,3.50491999536907,8.08237355917377,NaN,NaN,NaN,0,1,1,1,4.5774535638047,2.30600800299372,0,0,DELAY,MIXED_INTERACTION_LIMITED,0,2.79999999999997,108.370313224197,0
23,1,LOW_RATE,40,8,15,6,1.3,0.9,0.561836173600363,11.6344429430755,4,0.128972087679807,0.50316515517881,NaN,NaN,NaN,0,1,1,1,0.374193067499004,3.90134923168799,0,0,DELAY,DELAY_LIMITED,0,2.79999999999997,94.634986902167,0
23,2,MID_RATE,130,8,15,6,1.3,0.9,1.8460390442588,26.8144486068716,26,0.723233828374187,1.40288821495398,NaN,NaN,NaN,0,1,1,1,0.679654386579797,1.93974363465222,0,0,DELAY,MIXED_INTERACTION_LIMITED,0,2.79999999999997,99.1379987420836,0
23,3,HIGH_RATE,250,8,15,6,1.3,0.9,6.84130840941243,63.3068471210691,60,3.50491999536907,4.64551568099639,NaN,NaN,NaN,0,1,1,1,1.14059568562732,1.32542702462092,0,0,DELAY,MIXED_INTERACTION_LIMITED,0,2.79999999999997,107.294131082094,0
24,1,LOW_RATE,40,25,15,6,1.3,0.9,4.00147749118941,57.6985244565766,502,0.128972087679807,4.24556892742554,NaN,NaN,NaN,0,1,1,1,4.11659683974574,32.9185097628708,0,0,DELAY,DELAY_LIMITED,0,2.79999999999997,95.3881913289725,0
24,2,MID_RATE,130,25,15,6,1.3,0.9,7.6121219989833,79.4965257721328,46,0.723233828374187,7.50368817749077,NaN,NaN,NaN,0,1,1,1,6.78045434911658,10.3751897147274,0,0,DELAY,DELAY_LIMITED,0,2.79999999999997,100.27935373926,0
24,3,HIGH_RATE,250,25,15,6,1.3,0.9,16.7071938995488,122.029701758771,98,3.50491999536907,16.5676722877683,NaN,NaN,NaN,0,1,1,1,13.0627522923992,4.72697588237637,0,0,DELAY,DELAY_LIMITED,0,2.79999999999997,109.030241467999,0
25,1,LOW_RATE,40,8,3,1,0.85,1.1,0.0940978106006958,2.20298726053658,6,0.0940978106006958,0.00492801737477942,NaN,NaN,NaN,0,0,1,0,-0.0891697932259163,0.0523712224898778,0,0,UNMATCHED,UNMATCHED,0,0.400000000000004,92.4578120778571,0
